Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.002771,8.952546,[ 5 13] ; [21  8],[9.95744681 8.04255319] ; [16.04255319 12.95744681],0
b5,1,0.563352,0.333933,[9 9] ; [17 12],[9.95744681 8.04255319] ; [16.04255319 12.95744681],0
p6,1,0.603821,0.269271,[ 4 13] ; [ 5 24],[ 3.32608696 13.67391304] ; [ 5.67391304 23.32608696],0
s3,1,0.608757,0.261988,[8 9] ; [11 17],[7.17777778 9.82222222] ; [11.82222222 16.17777778],0
p1,1,0.614717,0.253364,[ 2 16] ; [ 2 27],[ 1.53191489 16.46808511] ; [ 2.46808511 26.53191489],0
s7,1,0.615735,0.251908,[ 6 11] ; [ 7 18],[ 5.26190476 11.73809524] ; [ 7.73809524 17.26190476],0
s2,1,0.622224,0.242754,[ 5 13] ; [ 6 22],[ 4.30434783 13.69565217] ; [ 6.69565217 21.30434783],0
n5,1,0.658258,0.195647,[10  8] ; [18 11],[10.72340426  7.27659574] ; [17.27659574 11.72340426],0
n4,1,0.681831,0.168072,[14  4] ; [21  8],[13.40425532  4.59574468] ; [21.59574468  7.40425532],0
p12,1,0.695984,0.152683,[ 1 16] ; [ 1 28],[ 0.73913043 16.26086957] ; [ 1.26086957 27.73913043],0
p9,1,0.711645,0.13664,[11  7] ; [15 12],[10.4  7.6] ; [15.6 11.4],0
s1,1,0.727897,0.121052,[ 1 17] ; [ 1 28],[ 0.76595745 17.23404255] ; [ 1.23404255 27.76595745],0
v1,1,0.753511,0.098604,[ 5 13] ; [ 9 19],[ 5.47826087 12.52173913] ; [ 8.52173913 19.47826087],0
p4,1,0.759908,0.093393,[ 7 11] ; [10 19],[ 6.5106383 11.4893617] ; [10.4893617 18.5106383],0
p2,1,0.760015,0.093306,[8 9] ; [15 14],[8.5 8.5] ; [14.5 14.5],0
a3,1,0.780866,0.07739,[13  5] ; [22  7],[13.40425532  4.59574468] ; [21.59574468  7.40425532],0
r2,1,0.785671,0.07395,[12  5] ; [18  9],[11.59090909  5.40909091] ; [18.40909091  8.59090909],0
u3,1,0.793428,0.068571,[1 4] ; [1 6],[0.83333333 4.16666667] ; [1.16666667 5.83333333],0
r1,1,0.798032,0.065482,[ 8 10] ; [14 15],[8.42553191 9.57446809] ; [13.57446809 15.42553191],0
v2,1,0.908489,0.013212,[9 9] ; [15 14],[9.19148936 8.80851064] ; [14.80851064 14.19148936],0
s6,1,0.911878,0.012248,[ 7 10] ; [12 16],[7.17777778 9.82222222] ; [11.82222222 16.17777778],0
u2,1,0.921159,0.009796,[2 3] ; [3 4],[2.08333333 2.91666667] ; [2.91666667 4.08333333],0
a5,1,0.988613,0.000204,[13  5] ; [21  8],[13.0212766  4.9787234] ; [20.9787234  8.0212766],0
n3,1,1.0,0.0,[3 2] ; [6 4],[3. 2.] ; [6. 4.],0
