Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.000198,13.853119,[96  6] ; [117  36],[85.2 16.8] ; [127.8  25.2],1
b3,1,0.198447,1.653765,[23 39] ; [26 69],[19.35031847 42.64968153] ; [29.64968153 65.35031847],0
p8,1,0.213964,1.544403,[45 56] ; [57 98],[40.2421875 60.7578125] ; [61.7578125 93.2421875],0
r4,1,0.227583,1.455902,[95  9] ; [134  21],[91.95366795 12.04633205] ; [137.04633205  17.95366795],0
d5,1,0.256803,1.28591,[87 17] ; [120  34],[83.44186047 20.55813953] ; [123.55813953  30.44186047],0
a1,1,0.272815,1.202537,[  3 101] ; [  9 146],[ 4.81853282 99.18146718] ; [  7.18146718 147.81853282],0
u2,1,0.310088,1.030303,[10 14] ; [24 20],[12. 12.] ; [22. 22.],0
a3,1,0.318622,0.994595,[79 25] ; [109  46],[75.49034749 28.50965251] ; [112.50965251  42.49034749],0
n4,1,0.322224,0.979898,[72 30] ; [118  37],[75.40856031 26.59143969] ; [114.59143969  40.40856031],0
a4,1,0.350293,0.872395,[47 57] ; [61 94],[43.36679537 60.63320463] ; [64.63320463 90.36679537],0
a2,1,0.356458,0.850333,[28 76] ; [ 34 121],[24.8957529 79.1042471] ; [ 37.1042471 117.8957529],0
p7,1,0.361717,0.831922,[57 41] ; [80 73],[53.49003984 44.50996016] ; [83.50996016 69.49003984],0
b1,1,0.381077,0.767224,[36 68] ; [62 93],[39.35135135 64.64864865] ; [58.64864865 96.35135135],0
p3,1,0.459969,0.545969,[46 58] ; [61 93],[43.13178295 60.86821705] ; [63.86821705 90.13178295],0
n3,1,0.519318,0.415248,[21  6] ; [29 12],[19.85294118  7.14705882] ; [30.14705882 10.85294118],0
b4,1,0.541212,0.373298,[65 39] ; [91 64],[62.64092664 41.35907336] ; [93.35907336 61.64092664],0
r1,1,0.546602,0.36344,[82 19] ; [121  34],[80.08984375 20.91015625] ; [122.91015625  32.08984375],0
p4,1,0.592179,0.286954,[56 47] ; [79 76],[53.89534884 49.10465116] ; [81.10465116 73.89534884],0
n1,1,0.619437,0.246659,[10 16] ; [13 27],[ 9.06060606 16.93939394] ; [13.93939394 26.06060606],0
n5,1,0.64267,0.215267,[75 26] ; [111  44],[73.3828125 27.6171875] ; [112.6171875  42.3828125],0
d2,1,0.682179,0.167684,[52 52] ; [73 81],[50.3875969 53.6124031] ; [74.6124031 79.3875969],0
a7,1,0.718284,0.130143,[73 31] ; [112  43],[74.28571429 29.71428571] ; [110.71428571  44.28571429],0
a6,1,0.7263,0.122537,[66 38] ; [101  53],[67.31782946 36.68217054] ; [99.68217054 54.31782946],0
d1,1,0.803762,0.061743,[62 42] ; [90 65],[61.03474903 42.96525097] ; [90.96525097 64.03474903],0
u1,1,0.826904,0.047818,[19 85] ; [ 30 125],[19.67567568 84.32432432] ; [ 29.32432432 125.67567568],0
p10,1,0.865123,0.028851,[83 19] ; [124  30],[82.4765625 19.5234375] ; [124.5234375  29.4765625],0
u4,1,0.882436,0.021869,[  3 101] ; [  4 151],[  2.81081081 101.18918919] ; [  4.18918919 150.81081081],0
p1,1,0.89677,0.016833,[ 7 95] ; [ 10 145],[ 6.74708171 95.25291829] ; [ 10.25291829 144.74708171],0
u3,1,0.911171,0.012446,[15 10] ; [27 17],[15.2173913  9.7826087] ; [26.7826087 17.2173913],0
p11,1,0.929477,0.007833,[78 26] ; [117  38],[78.3011583 25.6988417] ; [116.6988417  38.3011583],0
s1,1,0.930873,0.007525,[ 5 96] ; [  8 146],[ 5.14901961 95.85098039] ; [  7.85098039 146.14901961],0
d3,1,0.985056,0.000351,[69 35] ; [102  52],[68.93023256 35.06976744] ; [102.06976744  51.93023256],0
b5,1,0.991209,0.000121,[63 41] ; [94 61],[63.04247104 40.95752896] ; [93.95752896 61.04247104],0
r3,1,0.995926,2.6e-05,[99  4] ; [149   6],[99.00775194  3.99224806] ; [148.99224806   6.00775194],0
