Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,2e-06,22.289583,[21 11] ; [113 316],[ 9.30151844 22.69848156] ; [124.69848156 304.30151844],1
a8,1,0.422995,0.64198,[ 3 29] ; [ 57 336],[ 4.51764706 27.48235294] ; [ 55.48235294 337.51764706],0
n5,1,0.467632,0.527565,[26  8] ; [305 127],[24.15021459  9.84978541] ; [306.84978541 125.15021459],0
n1,1,0.476432,0.50702,[3 4] ; [30 70],[2.1588785 4.8411215] ; [30.8411215 69.1588785],0
r4,1,0.498286,0.458586,[31  3] ; [381  56],[29.74097665  4.25902335] ; [382.25902335  54.74097665],0
a3,1,0.513011,0.427921,[25  9] ; [297 139],[23.29361702 10.70638298] ; [298.70638298 137.29361702],0
v2,1,0.535917,0.38316,[19 13] ; [224 193],[17.31848552 14.68151448] ; [225.68151448 191.31848552],0
s6,1,0.539232,0.376964,[22 10] ; [273 158],[20.3887689 11.6112311] ; [274.6112311 156.3887689],0
a4,1,0.59617,0.280811,[12 22] ; [174 262],[13.45531915 20.54468085] ; [172.54468085 263.45531915],0
d3,1,0.671665,0.17966,[24 10] ; [293 144],[22.88322718 11.11677282] ; [294.11677282 142.88322718],0
p11,1,0.681065,0.16893,[28  6] ; [347  90],[27.07006369  6.92993631] ; [347.92993631  89.07006369],0
v4,1,0.69028,0.158782,[32  2] ; [412  19],[32.46451613  1.53548387] ; [411.53548387  19.46451613],0
d5,1,0.703508,0.144848,[28  6] ; [348  89],[27.14225053  6.85774947] ; [348.85774947  88.14225053],0
b4,1,0.718686,0.129755,[19 15] ; [258 179],[19.99575372 14.00424628] ; [257.00424628 179.99575372],0
a5,1,0.727279,0.121625,[25  9] ; [309 128],[24.1104034  9.8895966] ; [309.8895966 127.1104034],0
s1,1,0.74473,0.106012,[ 1 33] ; [  9 420],[ 0.73434125 33.26565875] ; [  9.26565875 419.73434125],0
p7,1,0.793403,0.068589,[20 14] ; [243 187],[19.27155172 14.72844828] ; [243.72844828 186.27155172],0
s2,1,0.867108,0.028001,[15 19] ; [197 235],[15.46781116 18.53218884] ; [196.53218884 235.46781116],0
u1,1,0.903786,0.014612,[ 5 29] ; [ 61 376],[ 4.76433121 29.23566879] ; [ 61.23566879 375.76433121],0
