Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,1.8e-05,18.375,[15  1] ; [ 9 23],[8. 8.] ; [16. 16.],1
d3,1,0.403822,0.696915,[ 5 11] ; [14 18],[6.33333333 9.66666667] ; [12.66666667 19.33333333],0
b5,1,0.413811,0.667826,[7 9] ; [18 14],[8.33333333 7.66666667] ; [16.66666667 15.33333333],0
p12,1,0.460181,0.545455,[ 2 14] ; [ 2 30],[ 1.33333333 14.66666667] ; [ 2.66666667 29.33333333],0
n3,1,0.465693,0.532176,[2 1] ; [7 9],[1.42105263 1.57894737] ; [7.57894737 8.42105263],0
d1,1,0.4795,0.5,[ 5 11] ; [ 7 25],[ 4. 12.] ; [ 8. 24.],0
s8,1,0.4795,0.5,[ 5 11] ; [ 7 25],[ 4. 12.] ; [ 8. 24.],0
s2,1,0.518357,0.417161,[ 5 11] ; [ 7 24],[ 4.08510638 11.91489362] ; [ 7.91489362 23.08510638],0
s6,1,0.537094,0.380952,[8 8] ; [13 19],[7. 9.] ; [14. 18.],0
r1,1,0.665006,0.1875,[ 6 10] ; [10 22],[ 5.33333333 10.66666667] ; [10.66666667 21.33333333],0
d4,1,0.678845,0.171429,[10  6] ; [18 14],[9.33333333 6.66666667] ; [18.66666667 13.33333333],0
s1,1,0.711923,0.136364,[ 1 15] ; [ 3 29],[ 1.33333333 14.66666667] ; [ 2.66666667 29.33333333],0
p1,1,0.738298,0.111628,[ 2 14] ; [ 3 29],[ 1.66666667 14.33333333] ; [ 3.33333333 28.66666667],0
n6,1,0.769646,0.085754,[12  4] ; [22  9],[11.57446809  4.42553191] ; [22.42553191  8.57446809],0
d2,1,0.831013,0.045541,[ 6 10] ; [11 21],[ 5.66666667 10.33333333] ; [11.33333333 20.66666667],0
u2,1,0.901321,0.015374,[3 3] ; [9 8],[3.13043478 2.86956522] ; [8.86956522 8.13043478],0
v2,1,0.92345,0.009233,[7 8] ; [14 17],[6.84782609 8.15217391] ; [14.15217391 16.84782609],0
u1,1,1.0,0.0,[ 1 15] ; [ 2 30],[ 1. 15.] ; [ 2. 30.],0
a7,1,1.0,0.0,[7 9] ; [14 18],[7. 9.] ; [14. 18.],0
a2,1,1.0,0.0,[ 1 15] ; [ 2 30],[ 1. 15.] ; [ 2. 30.],0
