Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.016419,5.75742,[131  31] ; [19 12],[125.90673575  36.09326425] ; [24.09326425  6.90673575],0
p3,1,0.682035,0.167844,[114  53] ; [20 11],[113.02020202  53.97979798] ; [20.97979798 10.02020202],0
n3,1,0.686225,0.163202,[19 11] ; [5 2],[19.45945946 10.54054054] ; [4.54054054 2.45945946],0
u1,1,0.689005,0.160165,[ 43 125] ; [ 9 22],[ 43.89949749 124.10050251] ; [ 8.10050251 22.89949749],0
d3,1,0.69503,0.153694,[128  39] ; [22  8],[127.15736041  39.84263959] ; [22.84263959  7.15736041],0
r4,1,0.723322,0.125332,[154  14] ; [29  2],[154.49246231  13.50753769] ; [28.50753769  2.49246231],0
p9,1,0.723322,0.125332,[154  14] ; [29  2],[154.49246231  13.50753769] ; [28.50753769  2.49246231],0
b4,1,0.746414,0.104569,[92 76] ; [16 15],[91.1758794 76.8241206] ; [16.8241206 14.1758794],0
s4,1,0.775419,0.081392,[ 44 121] ; [ 7 22],[ 43.37628866 121.62371134] ; [ 7.62371134 21.37628866],0
a8,1,0.780044,0.077987,[ 27 132] ; [ 4 23],[ 26.5 132.5] ; [ 4.5 22.5],0
u3,1,0.833108,0.044402,[26 11] ; [6 3],[25.73913043 11.26086957] ; [6.26086957 2.73913043],0
v1,1,0.873042,0.025535,[103  61] ; [19 12],[102.60512821  61.39487179] ; [19.39487179 11.60512821],0
d5,1,0.889691,0.019236,[140  26] ; [25  5],[139.74489796  26.25510204] ; [25.25510204  4.74489796],0
a6,1,0.901906,0.015192,[109  57] ; [20 11],[108.70050761  57.29949239] ; [20.29949239 10.70050761],0
n6,1,0.915915,0.011147,[148  17] ; [28  3],[148.16326531  16.83673469] ; [27.83673469  3.16326531],0
