Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,95.591498,[ 3 34] ; [144  21],[26.92574257 10.07425743] ; [120.07425743  44.92574257],1
p4,1,0.296958,1.087803,[16 21] ; [87 78],[18.86633663 18.13366337] ; [84.13366337 80.86633663],0
d3,1,0.342825,0.899839,[22 16] ; [109  56],[24.52216749 13.47783251] ; [106.47783251  58.52216749],0
s2,1,0.383598,0.759141,[21 16] ; [105  58],[23.31 13.69] ; [102.69  60.31],0
p5,1,0.431924,0.617643,[ 2 36] ; [ 15 148],[ 3.21393035 34.78606965] ; [ 13.78606965 149.21393035],0
n2,1,0.470661,0.520425,[10  5] ; [38 12],[11.07692308  3.92307692] ; [36.92307692 13.07692308],0
a2,1,0.494698,0.466293,[10 28] ; [ 35 130],[ 8.42364532 29.57635468] ; [ 36.57635468 128.42364532],0
v2,1,0.497505,0.460254,[18 19] ; [85 70],[19.84895833 17.15104167] ; [83.15104167 71.84895833],0
d5,1,0.613234,0.255492,[29  9] ; [132  33],[30.13793103  7.86206897] ; [130.86206897  34.13793103],0
u1,1,0.616714,0.250514,[ 8 30] ; [ 29 136],[ 6.92610837 31.07389163] ; [ 30.07389163 134.92610837],0
d1,1,0.641127,0.217271,[21 17] ; [98 67],[22.27586207 15.72413793] ; [96.72413793 68.27586207],0
u2,1,0.667777,0.184213,[7 6] ; [32 21],[7.68181818 5.31818182] ; [31.31818182 21.68181818],0
s5,1,0.668995,0.18278,[12 26] ; [ 55 101],[13.12371134 24.87628866] ; [ 53.87628866 102.12371134],0
n3,1,0.690396,0.158658,[10  5] ; [36 14],[10.61538462  4.38461538] ; [35.38461538 14.61538462],0
b5,1,0.748155,0.103088,[25 13] ; [113  52],[25.83251232 12.16748768] ; [112.16748768  52.83251232],0
p1,1,0.784172,0.075014,[ 4 34] ; [ 15 150],[ 3.55665025 34.44334975] ; [ 15.44334975 149.55665025],0
a4,1,0.787707,0.072517,[16 22] ; [73 91],[16.74257426 21.25742574] ; [72.25742574 91.74257426],0
a8,1,0.788184,0.072183,[ 3 30] ; [ 16 134],[ 3.42622951 29.57377049] ; [ 15.57377049 134.42622951],0
b2,1,0.802885,0.062307,[ 9 18] ; [32 57],[ 9.54310345 17.45689655] ; [31.45689655 57.54310345],0
b3,1,0.802885,0.062307,[ 9 18] ; [32 57],[ 9.54310345 17.45689655] ; [31.45689655 57.54310345],0
a7,1,0.819543,0.052044,[26 12] ; [116  49],[26.58128079 11.41871921] ; [115.41871921  49.58128079],0
a3,1,0.822575,0.050281,[25 13] ; [111  53],[25.58415842 12.41584158] ; [110.41584158  53.58415842],0
b4,1,0.844305,0.038569,[24 14] ; [107  58],[24.52216749 13.47783251] ; [106.47783251  58.52216749],0
v3,1,0.882851,0.021714,[14 23] ; [57 99],[13.61139896 23.38860104] ; [57.38860104 98.61139896],0
d4,1,0.884145,0.021233,[30  8] ; [132  33],[30.32512315  7.67487685] ; [131.67487685  33.32512315],0
u4,1,0.895901,0.017119,[ 1 37] ; [  5 160],[ 1.12315271 36.87684729] ; [  4.87684729 160.12315271],0
r1,1,0.964965,0.001929,[30  8] ; [130  34],[30.0990099  7.9009901] ; [129.9009901  34.0990099],0
