Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.0,42.0,[ 5 65] ; [27 15],[20. 50.] ; [12. 30.],1
u3,1,0.067174,3.350769,[12 14] ; [8 2],[14.44444444 11.55555556] ; [5.55555556 4.44444444],0
r3,1,0.094242,2.800375,[55 15] ; [39  4],[58.2300885 11.7699115] ; [35.7699115  7.2300885],0
n4,1,0.096182,2.767744,[45 25] ; [34  9],[48.9380531 21.0619469] ; [30.0619469 12.9380531],0
r4,1,0.100947,2.690513,[49 21] ; [36  7],[52.65486726 17.34513274] ; [32.34513274 10.65486726],0
n6,1,0.103738,2.64712,[46 23] ; [34  8],[49.72972973 19.27027027] ; [30.27027027 11.72972973],0
u4,1,0.121229,2.401366,[ 1 69] ; [ 3 40],[ 2.47787611 67.52212389] ; [ 1.52212389 41.47787611],0
a4,1,0.137134,2.209825,[27 42] ; [23 20],[30.80357143 38.19642857] ; [19.19642857 23.80357143],0
p12,1,0.139559,2.182816,[ 3 67] ; [ 5 38],[ 4.95575221 65.04424779] ; [ 3.04424779 39.95575221],0
a3,1,0.180119,1.796641,[44 24] ; [33 10],[47.17117117 20.82882883] ; [29.82882883 13.17117117],0
b1,1,0.189751,1.719548,[27 43] ; [22 21],[30.3539823 39.6460177] ; [18.6460177 24.3539823],0
p7,1,0.193508,1.690706,[19 51] ; [16 25],[22.07207207 47.92792793] ; [12.92792793 28.07207207],0
p1,1,0.218101,1.516824,[ 8 62] ; [ 2 41],[ 6.19469027 63.80530973] ; [ 3.80530973 39.19469027],0
p5,1,0.236494,1.401371,[ 4 65] ; [ 5 36],[ 5.64545455 63.35454545] ; [ 3.35454545 37.64545455],0
n2,1,0.255623,1.292308,[15 12] ; [11  4],[16.71428571 10.28571429] ; [9.28571429 5.71428571],0
a8,1,0.271345,1.209937,[ 7 60] ; [ 7 32],[ 8.8490566 58.1509434] ; [ 5.1509434 33.8490566],0
b4,1,0.275669,1.18832,[40 30] ; [29 14],[42.74336283 27.25663717] ; [26.25663717 16.74336283],0
p11,1,0.278508,1.174356,[35 35] ; [26 17],[37.78761062 32.21238938] ; [23.21238938 19.78761062],0
n5,1,0.312989,1.018021,[44 26] ; [31 12],[46.46017699 23.53982301] ; [28.53982301 14.46017699],0
p4,1,0.467507,0.527862,[17 52] ; [13 29],[18.64864865 50.35135135] ; [11.35135135 30.64864865],0
b2,1,0.579908,0.306383,[15 25] ; [10 22],[13.88888889 26.11111111] ; [11.11111111 20.88888889],0
b3,1,0.579908,0.306383,[15 25] ; [10 22],[13.88888889 26.11111111] ; [11.11111111 20.88888889],0
u2,1,0.590359,0.289783,[13 13] ; [6 4],[13.72222222 12.27777778] ; [5.27777778 4.72222222],0
p3,1,0.629845,0.232272,[20 49] ; [14 28],[21.13513514 47.86486486] ; [12.86486486 29.13513514],0
b5,1,0.655765,0.198708,[46 24] ; [30 13],[47.07964602 22.92035398] ; [28.92035398 14.07964602],0
s4,1,0.704639,0.143691,[13 55] ; [ 7 36],[12.25225225 55.74774775] ; [ 7.74774775 35.25225225],0
a1,1,0.721696,0.126873,[ 8 62] ; [ 4 39],[ 7.43362832 62.56637168] ; [ 4.56637168 38.43362832],0
s1,1,0.761136,0.09241,[ 6 64] ; [ 3 40],[ 5.57522124 64.42477876] ; [ 3.42477876 39.57522124],0
p8,1,0.867936,0.027649,[17 52] ; [10 33],[16.63392857 52.36607143] ; [10.36607143 32.63392857],0
n1,1,0.885131,0.020871,[11 15] ; [6 9],[10.7804878 15.2195122] ; [6.2195122 8.7804878],0
n3,1,0.885131,0.020871,[15 11] ; [9 6],[15.2195122 10.7804878] ; [8.7804878 6.2195122],0
