Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,4e-06,21.482685,[13 59] ; [20 11],[23.06796117 48.93203883] ; [ 9.93203883 21.06796117],1
b2,1,0.147826,2.094545,[12 36] ; [10 14],[14.66666667 33.33333333] ; [ 7.33333333 16.66666667],0
b3,1,0.147826,2.094545,[12 36] ; [10 14],[14.66666667 33.33333333] ; [ 7.33333333 16.66666667],0
p5,1,0.148326,2.089384,[ 1 74] ; [ 2 29],[ 2.12264151 72.87735849] ; [ 0.87735849 30.12264151],0
d2,1,0.151429,2.057794,[34 40] ; [19 12],[37.35238095 36.64761905] ; [15.64761905 15.35238095],0
v2,1,0.161809,1.957234,[31 41] ; [18 13],[34.25242718 37.74757282] ; [14.74757282 16.25242718],0
n2,1,0.224114,1.477833,[23  6] ; [4 3],[21.75  7.25] ; [5.25 1.75],0
a7,1,0.240951,1.375019,[41 33] ; [21 10],[43.6952381 30.3047619] ; [18.3047619 12.6952381],0
r3,1,0.272093,1.206164,[67  7] ; [30  1],[68.36190476  5.63809524] ; [28.63809524  2.36190476],0
r1,1,0.289148,1.123586,[53 22] ; [25  6],[55.18867925 19.81132075] ; [22.81132075  8.18867925],0
n3,1,0.294937,1.096949,[23  7] ; [4 3],[21.89189189  8.10810811] ; [5.10810811 1.89189189],0
s5,1,0.30456,1.054119,[15 60] ; [ 8 19],[16.91176471 58.08823529] ; [ 6.08823529 20.91176471],0
a6,1,0.318935,0.993309,[43 32] ; [21 10],[45.28301887 29.71698113] ; [18.71698113 12.28301887],0
u1,1,0.323025,0.976658,[ 9 66] ; [ 6 25],[10.61320755 64.38679245] ; [ 4.38679245 26.61320755],0
p2,1,0.332155,0.940477,[51 24] ; [24  7],[53.06603774 21.93396226] ; [21.93396226  9.06603774],0
n1,1,0.418492,0.654545,[10 20] ; [1 5],[ 9.16666667 20.83333333] ; [1.83333333 4.16666667],0
b1,1,0.453528,0.561819,[28 47] ; [14 17],[29.71698113 45.28301887] ; [12.28301887 18.71698113],0
b5,1,0.454449,0.559531,[45 30] ; [21 10],[46.69811321 28.30188679] ; [19.30188679 11.69811321],0
n6,1,0.45484,0.558563,[52 22] ; [24  7],[53.56190476 20.43809524] ; [22.43809524  8.56190476],0
s4,1,0.465858,0.531785,[ 8 65] ; [ 5 26],[ 9.125 63.875] ; [ 3.875 27.125],0
p7,1,0.494526,0.466664,[34 40] ; [16 14],[35.57692308 38.42307692] ; [14.42307692 15.57692308],0
a1,1,0.588101,0.29332,[ 3 72] ; [ 2 29],[ 3.53773585 71.46226415] ; [ 1.46226415 29.53773585],0
a2,1,0.685383,0.164129,[12 63] ; [ 4 27],[11.32075472 63.67924528] ; [ 4.67924528 26.32075472],0
a4,1,0.70684,0.141454,[32 43] ; [12 19],[31.13207547 43.86792453] ; [12.86792453 18.13207547],0
s1,1,0.862531,0.029982,[ 3 71] ; [ 1 29],[ 2.84615385 71.15384615] ; [ 1.15384615 28.84615385],0
u4,1,0.874529,0.024935,[ 2 73] ; [ 1 30],[ 2.12264151 72.87735849] ; [ 0.87735849 30.12264151],0
a3,1,0.90167,0.015265,[45 30] ; [19 12],[45.28301887 29.71698113] ; [18.71698113 12.28301887],0
b4,1,0.936005,0.006447,[49 26] ; [20 11],[48.82075472 26.17924528] ; [20.17924528 10.82075472],0
