Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,3.7e-05,17.036424,[26  9] ; [ 79 134],[14.81854839 20.18145161] ; [ 90.18145161 122.81854839],1
a4,1,0.400353,0.707266,[ 7 30] ; [ 54 159],[ 9.028 27.972] ; [ 51.972 161.028],0
a2,1,0.412113,0.672696,[ 1 36] ; [ 13 202],[ 2.05555556 34.94444444] ; [ 11.94444444 203.05555556],0
b3,1,0.419062,0.652945,[ 5 15] ; [41 79],[ 6.57142857 13.42857143] ; [39.42857143 80.57142857],0
b2,1,0.419062,0.652945,[ 5 15] ; [41 79],[ 6.57142857 13.42857143] ; [39.42857143 80.57142857],0
a3,1,0.426381,0.632662,[21 15] ; [109 104],[18.79518072 17.20481928] ; [111.20481928 101.79518072],0
d3,1,0.430596,0.621216,[12 25] ; [ 84 130],[14.15139442 22.84860558] ; [ 81.84860558 132.15139442],0
a6,1,0.473325,0.514202,[19 18] ; [124  91],[20.99603175 16.00396825] ; [122.00396825  92.99603175],0
b4,1,0.500603,0.453659,[22 15] ; [115 100],[20.11507937 16.88492063] ; [116.88492063  98.11507937],0
p8,1,0.521261,0.411397,[17 19] ; [ 88 124],[15.24193548 20.75806452] ; [ 89.75806452 122.24193548],0
p9,1,0.553325,0.351394,[27  9] ; [148  63],[25.50607287 10.49392713] ; [149.49392713  61.50607287],0
n2,1,0.587453,0.29434,[8 5] ; [45 20],[8.83333333 4.16666667] ; [44.16666667 20.83333333],0
u2,1,0.616178,0.251277,[7 9] ; [53 52],[7.9338843 8.0661157] ; [52.0661157 52.9338843],0
u3,1,0.642633,0.215315,[8 8] ; [46 59],[7.14049587 8.85950413] ; [46.85950413 58.14049587],0
a7,1,0.755884,0.096653,[22 15] ; [133  81],[22.84860558 14.15139442] ; [132.15139442  81.84860558],0
n4,1,0.784893,0.0745,[25 12] ; [139  74],[24.272 12.728] ; [139.728  73.272],0
n1,1,0.834305,0.043758,[5 7] ; [25 40],[4.67532468 7.32467532] ; [25.32467532 39.67532468],0
s1,1,0.848752,0.036371,[ 1 36] ; [  7 205],[ 1.18875502 35.81124498] ; [  6.81124498 205.18875502],0
a5,1,0.850749,0.035405,[19 18] ; [114 101],[19.52777778 17.47222222] ; [113.47222222 101.52777778],0
u1,1,0.85931,0.031419,[ 1 36] ; [  7 208],[ 1.17460317 35.82539683] ; [  6.82539683 208.17460317],0
d5,1,0.866303,0.028344,[20 17] ; [113 102],[19.52777778 17.47222222] ; [113.47222222 101.52777778],0
n3,1,0.873602,0.025308,[9 4] ; [45 18],[9.23684211 3.76315789] ; [44.76315789 18.23684211],0
r2,1,0.917652,0.01069,[30  6] ; [176  37],[29.78313253  6.21686747] ; [176.21686747  36.78313253],0
n5,1,0.934843,0.006684,[25 12] ; [144  67],[25.21370968 11.78629032] ; [143.78629032  67.21370968],0
b1,1,0.964476,0.001984,[15 22] ; [ 88 127],[15.12301587 21.87698413] ; [ 87.87698413 127.12301587],0
