Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r1,1,0.000913,10.995775,[103  27] ; [157  94],[88.71391076 41.28608924] ; [171.28608924  79.71391076],1
s3,1,0.403785,0.697025,[68 62] ; [119 130],[64.14248021 65.85751979] ; [122.85751979 126.14248021],0
a7,1,0.456376,0.554768,[89 43] ; [159  91],[85.69633508 46.30366492] ; [162.30366492  87.69633508],0
n6,1,0.467537,0.527791,[102  29] ; [187  64],[99.10732984 31.89267016] ; [189.89267016  61.10732984],0
p6,1,0.471752,0.51787,[41 89] ; [ 70 180],[37.97368421 92.02631579] ; [ 73.02631579 176.97368421],0
s1,1,0.475687,0.508736,[  5 123] ; [ 14 236],[  6.43386243 121.56613757] ; [ 12.56613757 237.43386243],0
b1,1,0.539376,0.376697,[59 73] ; [104 147],[56.17754569 75.82245431] ; [106.82245431 144.17754569],0
s7,1,0.555278,0.347947,[49 74] ; [ 88 152],[46.4214876 76.5785124] ; [ 90.5785124 149.4214876],0
d3,1,0.574899,0.314555,[77 55] ; [152  96],[79.54736842 52.45263158] ; [149.45263158  98.54736842],0
s4,1,0.678238,0.172116,[ 30 101] ; [ 52 195],[ 28.41798942 102.58201058] ; [ 53.58201058 193.41798942],0
u2,1,0.678809,0.171469,[20 20] ; [56 48],[21.11111111 18.88888889] ; [54.88888889 49.11111111],0
b5,1,0.703948,0.144397,[81 51] ; [149 102],[79.2689295 52.7310705] ; [150.7310705 100.2689295],0
d4,1,0.734542,0.114982,[98 33] ; [183  67],[96.6167979 34.3832021] ; [184.3832021  65.6167979],0
a1,1,0.794113,0.068107,[  6 126] ; [ 10 241],[  5.51436031 126.48563969] ; [ 10.48563969 240.51436031],0
d1,1,0.829698,0.046263,[62 70] ; [115 136],[61.00261097 70.99738903] ; [115.99738903 135.00261097],0
a6,1,0.849598,0.03596,[80 52] ; [154  96],[80.85863874 51.14136126] ; [153.14136126  96.85863874],0
d2,1,0.859101,0.031513,[55 77] ; [101 147],[54.18947368 77.81052632] ; [101.81052632 146.18947368],0
b4,1,0.892758,0.018175,[73 59] ; [137 114],[72.37597911 59.62402089] ; [137.62402089 113.37597911],0
