Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.0,32.78669,[86 10] ; [18 23],[72.87591241 23.12408759] ; [31.12408759  9.87591241],1
n3,1,0.438716,0.59964,[24  8] ; [13  7],[22.76923077  9.23076923] ; [14.23076923  5.76923077],0
d1,1,0.440173,0.595831,[35 62] ; [12 29],[33.03623188 63.96376812] ; [13.96376812 27.03623188],0
a4,1,0.46414,0.535892,[29 67] ; [15 26],[30.83211679 65.16788321] ; [13.16788321 27.83211679],0
a7,1,0.481454,0.495567,[56 41] ; [21 20],[54.12318841 42.87681159] ; [22.87681159 18.12318841],0
v3,1,0.518886,0.416108,[27 70] ; [ 9 31],[25.48905109 71.51094891] ; [10.51094891 29.48905109],0
p6,1,0.565514,0.330246,[24 69] ; [ 8 30],[22.71755725 70.28244275] ; [ 9.28244275 28.71755725],0
a2,1,0.604029,0.268961,[ 9 88] ; [ 5 36],[ 9.84057971 87.15942029] ; [ 4.15942029 36.84057971],0
p12,1,0.637918,0.221476,[ 4 92] ; [ 1 39],[ 3.52941176 92.47058824] ; [ 1.47058824 38.52941176],0
a5,1,0.704724,0.143604,[46 51] ; [18 23],[44.98550725 52.01449275] ; [19.01449275 21.98550725],0
v1,1,0.760021,0.093302,[30 64] ; [12 29],[29.24444444 64.75555556] ; [12.75555556 28.24444444],0
u2,1,0.775097,0.081633,[17 25] ; [ 8 10],[17.5 24.5] ; [ 7.5 10.5],0
b2,1,0.90646,0.013807,[23 31] ; [11 14],[23.24050633 30.75949367] ; [10.75949367 14.24050633],0
b3,1,0.90646,0.013807,[23 31] ; [11 14],[23.24050633 30.75949367] ; [10.75949367 14.24050633],0
a6,1,0.91583,0.01117,[53 44] ; [22 19],[52.7173913 44.2826087] ; [22.2826087 18.7173913],0
s3,1,0.922359,0.009499,[23 72] ; [10 30],[23.22222222 71.77777778] ; [ 9.77777778 30.22222222],0
s5,1,0.939294,0.0058,[ 9 85] ; [ 4 36],[ 9.11940299 84.88059701] ; [ 3.88059701 36.11940299],0
u3,1,0.95015,0.003909,[12 30] ; [ 5 13],[11.9 30.1] ; [ 5.1 12.9],0
a3,1,0.98686,0.000271,[54 42] ; [23 18],[53.95620438 42.04379562] ; [23.04379562 17.95620438],0
