Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,94.990695,[ 4 61] ; [221  89],[39. 26.] ; [186. 124.],1
s6,1,0.362352,0.829726,[30 34] ; [161 142],[33.30790191 30.69209809] ; [157.69209809 145.30790191],0
b4,1,0.370618,0.80159,[40 25] ; [172 138],[36.74666667 28.25333333] ; [175.25333333 134.74666667],0
s3,1,0.404763,0.694131,[28 36] ; [116 188],[25.04347826 38.95652174] ; [118.95652174 185.04347826],0
p5,1,0.468875,0.524627,[ 7 57] ; [ 25 282],[ 5.52021563 58.47978437] ; [ 26.47978437 280.52021563],0
n4,1,0.471876,0.51758,[46 18] ; [236  74],[48.25668449 15.74331551] ; [233.74331551  76.25668449],0
n6,1,0.551546,0.354554,[48 15] ; [245  63],[49.75471698 13.24528302] ; [243.24528302  64.75471698],0
r4,1,0.551586,0.354484,[53 12] ; [262  48],[54.6 10.4] ; [260.4  49.6],0
p8,1,0.683073,0.166687,[32 32] ; [143 160],[30.51771117 33.48228883] ; [144.48228883 158.51771117],0
n3,1,0.710985,0.137295,[10  5] ; [55 22],[10.59782609  4.40217391] ; [54.40217391 22.59782609],0
u2,1,0.72554,0.123247,[13 11] ; [34 34],[12.26086957 11.73913043] ; [34.73913043 33.26086957],0
s2,1,0.743688,0.106912,[22 41] ; [101 207],[20.88679245 42.11320755] ; [102.11320755 205.88679245],0
s5,1,0.758028,0.094908,[15 48] ; [ 77 223],[15.96694215 47.03305785] ; [ 76.03305785 223.96694215],0
a8,1,0.763606,0.09045,[ 7 51] ; [ 30 250],[ 6.34911243 51.65088757] ; [ 30.65088757 249.34911243],0
p6,1,0.767505,0.087403,[18 47] ; [ 78 223],[17.04918033 47.95081967] ; [ 78.95081967 222.04918033],0
s7,1,0.768026,0.087,[18 43] ; [ 81 212],[17.05932203 43.94067797] ; [ 81.94067797 211.05932203],0
v1,1,0.772977,0.083222,[29 34] ; [146 158],[30.04087193 32.95912807] ; [144.95912807 159.04087193],0
u3,1,0.917606,0.010702,[13 11] ; [36 32],[12.7826087 11.2173913] ; [36.2173913 31.7826087],0
n1,1,0.922507,0.009463,[ 5 10] ; [25 53],[ 4.83870968 10.16129032] ; [25.16129032 52.83870968],0
r1,1,0.946864,0.004442,[50 14] ; [241  66],[50.19946092 13.80053908] ; [240.80053908  66.19946092],0
n5,1,0.952666,0.003523,[45 19] ; [217  90],[45.1967655 18.8032345] ; [216.8032345  90.1967655],0
