Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v1,1,7e-06,20.134286,[93 52] ; [42 74],[75. 70.] ; [60. 56.],1
b5,1,0.187496,1.737185,[109  42] ; [77 42],[104.02222222  46.97777778] ; [81.97777778 37.02222222],0
a6,1,0.195319,1.677036,[106  45] ; [74 44],[101.04089219  49.95910781] ; [78.95910781 39.04089219],0
p3,1,0.20254,1.623964,[64 87] ; [41 77],[58.94052045 92.05947955] ; [46.05947955 71.94052045],0
p7,1,0.218563,1.51378,[71 77] ; [46 68],[66.09160305 81.90839695] ; [50.90839695 63.09160305],0
a1,1,0.230191,1.439684,[ 10 141] ; [  4 115],[  7.82962963 143.17037037] ; [  6.17037037 112.82962963],0
d2,1,0.241097,1.37417,[82 68] ; [56 62],[77.23880597 72.76119403] ; [60.76119403 57.23880597],0
s7,1,0.247098,1.339637,[88 58] ; [60 53],[83.42857143 62.57142857] ; [64.57142857 48.42857143],0
p12,1,0.255206,1.294579,[ 13 138] ; [  6 113],[ 10.62592593 140.37407407] ; [  8.37407407 110.62592593],0
s4,1,0.267027,1.231955,[ 29 121] ; [29 87],[ 32.70676692 117.29323308] ; [25.29323308 90.70676692],0
r4,1,0.270045,1.216519,[129  22] ; [107  12],[131.98518519  19.01481481] ; [104.01481481  14.98518519],0
n3,1,0.2859,1.138829,[32  9] ; [27 13],[29.86419753 11.13580247] ; [29.13580247 10.86419753],0
n5,1,0.309837,1.031368,[105  43] ; [91 28],[108.64419476  39.35580524] ; [87.35580524 31.64419476],0
s3,1,0.339786,0.911238,[95 51] ; [84 35],[98.61886792 47.38113208] ; [80.38113208 38.61886792],0
n1,1,0.386157,0.75101,[13 28] ; [16 23],[14.8625 26.1375] ; [14.1375 24.8625],0
s8,1,0.435828,0.607241,[77 74] ; [55 64],[73.82222222 77.17777778] ; [58.17777778 60.82222222],0
s5,1,0.452216,0.565092,[54 92] ; [49 69],[56.96212121 89.03787879] ; [46.03787879 71.96212121],0
u4,1,0.469054,0.524205,[  2 149] ; [  3 116],[  2.7962963 148.2037037] ; [  2.2037037 116.7962963],0
u1,1,0.497849,0.45952,[ 37 114] ; [25 94],[ 34.67407407 116.32592593] ; [27.32592593 91.67407407],0
p5,1,0.597786,0.278349,[  8 143] ; [  8 109],[  9.01492537 141.98507463] ; [  6.98507463 110.01492537],0
r2,1,0.615607,0.25209,[137  11] ; [112   7],[138.02247191   9.97752809] ; [110.97752809   8.02247191],0
p4,1,0.627422,0.235572,[80 71] ; [59 59],[78.0260223 72.9739777] ; [60.9739777 57.0260223],0
b4,1,0.6857,0.16378,[95 56] ; [72 47],[93.3962963 57.6037037] ; [73.6037037 45.3962963],0
a3,1,0.728036,0.120923,[107  44] ; [82 37],[105.7  45.3] ; [83.3 35.7],0
s2,1,0.755527,0.096945,[96 52] ; [75 44],[94.78651685 53.21348315] ; [76.21348315 42.78651685],0
p2,1,0.811611,0.05681,[112  39] ; [86 32],[111.14498141  39.85501859] ; [86.85501859 31.14498141],0
n4,1,0.83781,0.0419,[116  34] ; [90 28],[115.29850746  34.70149254] ; [90.70149254 27.29850746],0
a8,1,0.84958,0.035969,[ 18 116] ; [14 97],[ 17.50204082 116.49795918] ; [14.49795918 96.50204082],0
n6,1,0.905578,0.01407,[126  23] ; [100  19],[125.64925373  23.35074627] ; [100.35074627  18.64925373],0
u2,1,0.91551,0.011255,[24 18] ; [21 15],[24.23076923 17.76923077] ; [20.76923077 15.23076923],0
u3,1,0.943167,0.005082,[29 15] ; [24 12],[29.15 14.85] ; [23.85 12.15],0
n2,1,0.945902,0.004604,[30 11] ; [29 11],[29.86419753 11.13580247] ; [29.13580247 10.86419753],0
p11,1,0.979787,0.000642,[103  48] ; [81 38],[102.9037037  48.0962963] ; [81.0962963 37.9037037],0
a2,1,0.987869,0.000231,[ 42 109] ; [33 86],[ 41.94444444 109.05555556] ; [33.05555556 85.94444444],0
a4,1,0.991221,0.000121,[69 82] ; [54 64],[69.04460967 81.95539033] ; [53.95539033 64.04460967],0
