Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.003159,8.713063,[34  3] ; [20 12],[28.95652174  8.04347826] ; [25.04347826  6.95652174],0
p9,1,0.358796,0.842103,[28  9] ; [21 11],[26.27536232 10.72463768] ; [22.72463768  9.27536232],0
v1,1,0.411019,0.67585,[18 19] ; [12 19],[16.32352941 20.67647059] ; [13.67647059 17.32352941],0
s8,1,0.464651,0.534669,[13 24] ; [14 18],[14.47826087 22.52173913] ; [12.52173913 19.47826087],0
a7,1,0.464651,0.534669,[24 13] ; [18 14],[22.52173913 14.47826087] ; [19.47826087 12.52173913],0
a1,1,0.471185,0.519195,[ 1 36] ; [ 2 30],[ 1.60869565 35.39130435] ; [ 1.39130435 30.60869565],0
s5,1,0.471847,0.517647,[ 8 28] ; [ 9 21],[ 9.27272727 26.72727273] ; [ 7.72727273 22.27272727],0
b5,1,0.478453,0.502388,[20 17] ; [20 12],[21.44927536 15.55072464] ; [18.55072464 13.44927536],0
u3,1,0.489534,0.477551,[9 3] ; [12  2],[9.69230769 2.30769231] ; [11.30769231  2.69230769],0
u1,1,0.502541,0.449566,[ 4 33] ; [ 2 30],[ 3.2173913 33.7826087] ; [ 2.7826087 29.2173913],0
p1,1,0.502541,0.449566,[ 4 33] ; [ 2 30],[ 3.2173913 33.7826087] ; [ 2.7826087 29.2173913],0
b4,1,0.504013,0.446477,[19 18] ; [19 13],[20.37681159 16.62318841] ; [17.62318841 14.37681159],0
p5,1,0.527906,0.398421,[ 4 33] ; [ 2 29],[ 3.26470588 33.73529412] ; [ 2.73529412 28.26470588],0
a2,1,0.548868,0.359348,[ 6 31] ; [ 7 25],[ 6.97101449 30.02898551] ; [ 6.02898551 25.97101449],0
n4,1,0.551956,0.353825,[20 17] ; [15 17],[18.76811594 18.23188406] ; [16.23188406 15.76811594],0
p6,1,0.572473,0.318562,[14 22] ; [10 21],[12.89552239 23.10447761] ; [11.10447761 19.89552239],0
b2,1,0.612531,0.256506,[ 8 15] ; [ 7 18],[ 7.1875 15.8125] ; [ 7.8125 17.1875],0
b3,1,0.612531,0.256506,[ 8 15] ; [ 7 18],[ 7.1875 15.8125] ; [ 7.8125 17.1875],0
d2,1,0.628037,0.234733,[16 21] ; [12 20],[15.01449275 21.98550725] ; [12.98550725 19.01449275],0
a6,1,0.732802,0.116554,[24 13] ; [22 10],[24.66666667 12.33333333] ; [21.33333333 10.66666667],0
p2,1,0.763746,0.090339,[30  7] ; [26  5],[30.47058824  6.52941176] ; [25.52941176  5.47058824],0
p7,1,0.826215,0.048206,[25 11] ; [23  9],[25.41176471 10.58823529] ; [22.58823529  9.41176471],0
u2,1,0.829399,0.046429,[9 3] ; [11  3],[9.23076923 2.76923077] ; [10.76923077  3.23076923],0
v4,1,0.85917,0.031481,[32  4] ; [28  4],[31.76470588  4.23529412] ; [28.23529412  3.76470588],0
s2,1,0.873944,0.02517,[16 21] ; [14 17],[16.32352941 20.67647059] ; [13.67647059 17.32352941],0
p3,1,0.910849,0.012537,[19 18] ; [16 16],[18.76811594 18.23188406] ; [16.23188406 15.76811594],0
p11,1,0.916294,0.011047,[25 12] ; [22 10],[25.20289855 11.79710145] ; [21.79710145 10.20289855],0
d4,1,0.94821,0.004219,[28  9] ; [24  8],[27.88405797  9.11594203] ; [24.11594203  7.88405797],0
s7,1,0.968366,0.001573,[13 22] ; [11 19],[12.92307692 22.07692308] ; [11.07692308 18.92307692],0
