Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,6e-06,20.427075,[14 59] ; [18  9],[23.36 49.64] ; [ 8.64 18.36],1
b3,1,0.348174,0.880102,[18 31] ; [ 5 15],[16.33333333 32.66666667] ; [ 6.66666667 13.33333333],0
a5,1,0.40875,0.682433,[42 34] ; [18 10],[43.84615385 32.15384615] ; [16.15384615 11.84615385],0
a8,1,0.42548,0.635131,[10 58] ; [ 2 22],[ 8.86956522 59.13043478] ; [ 3.13043478 20.86956522],0
p7,1,0.517554,0.418765,[33 41] ; [14 13],[34.43564356 39.56435644] ; [12.56435644 14.43564356],0
d2,1,0.601002,0.273488,[38 36] ; [16 12],[39.17647059 34.82352941] ; [14.82352941 13.17647059],0
a1,1,0.603651,0.269525,[ 8 68] ; [ 2 26],[ 7.30769231 68.69230769] ; [ 2.69230769 25.30769231],0
n1,1,0.642067,0.216049,[11 16] ; [4 4],[11.57142857 15.42857143] ; [3.42857143 4.57142857],0
a4,1,0.682055,0.167822,[27 47] ; [ 9 19],[26.11764706 47.88235294] ; [ 9.88235294 18.11764706],0
a6,1,0.726682,0.12218,[46 30] ; [18 10],[46.76923077 29.23076923] ; [17.23076923 10.76923077],0
n4,1,0.730167,0.118959,[63 13] ; [24  4],[63.57692308 12.42307692] ; [23.42307692  4.57692308],0
n3,1,0.771756,0.084146,[14 14] ; [5 4],[14.37837838 13.62162162] ; [4.62162162 4.37837838],0
a7,1,0.78344,0.075536,[46 29] ; [18 10],[46.60194175 28.39805825] ; [17.39805825 10.60194175],0
a2,1,0.800323,0.063973,[12 64] ; [ 5 23],[12.42307692 63.57692308] ; [ 4.57692308 23.42307692],0
b5,1,0.877798,0.023643,[42 34] ; [15 13],[41.65384615 34.34615385] ; [15.34615385 12.65384615],0
s1,1,0.921765,0.009645,[ 6 69] ; [ 2 25],[ 5.88235294 69.11764706] ; [ 2.11764706 24.88235294],0
s4,1,0.98513,0.000347,[11 64] ; [ 4 23],[11.02941176 63.97058824] ; [ 3.97058824 23.02941176],0
