Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,2e-06,22.950254,[17 94] ; [19 15],[27.55862069 83.44137931] ; [ 8.44137931 25.55862069],1
u4,1,0.688823,0.160363,[  5 106] ; [ 1 33],[  4.59310345 106.40689655] ; [ 1.40689655 32.59310345],0
n4,1,0.693947,0.154845,[71 40] ; [23 11],[71.95862069 39.04137931] ; [22.04137931 11.95862069],0
a5,1,0.693947,0.154845,[71 40] ; [23 11],[71.95862069 39.04137931] ; [22.04137931 11.95862069],0
n2,1,0.746668,0.104352,[31  9] ; [5 1],[31.30434783  8.69565217] ; [4.69565217 1.30434783],0
b1,1,0.747372,0.103752,[52 59] ; [17 17],[52.82068966 58.17931034] ; [16.17931034 17.82068966],0
a3,1,0.754235,0.098007,[68 42] ; [20 14],[67.22222222 42.77777778] ; [20.77777778 13.22222222],0
s3,1,0.771001,0.08472,[53 56] ; [17 16],[53.73239437 55.26760563] ; [16.26760563 16.73239437],0
d5,1,0.79254,0.069176,[76 34] ; [22 11],[75.38461538 34.61538462] ; [22.61538462 10.38461538],0
a6,1,0.804055,0.061555,[64 46] ; [20 13],[64.61538462 45.38461538] ; [19.38461538 13.61538462],0
r2,1,0.846552,0.03745,[106   4] ; [33  1],[106.18055556   3.81944444] ; [32.81944444  1.18055556],0
b5,1,0.861836,0.030289,[70 41] ; [22 12],[70.42758621 40.57241379] ; [21.57241379 12.42758621],0
a1,1,0.915127,0.011358,[  6 105] ; [ 2 32],[  6.12413793 104.87586207] ; [ 1.87586207 32.12413793],0
p11,1,0.937095,0.006229,[71 40] ; [22 12],[71.19310345 39.80689655] ; [21.80689655 12.19310345],0
