Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,5e-06,20.880682,[51 81] ; [47 17],[66. 66.] ; [32. 32.],1
v1,1,0.081575,3.033244,[56 72] ; [36 27],[61.65445026 66.34554974] ; [30.34554974 32.65445026],0
v2,1,0.095157,2.784887,[50 74] ; [33 29],[55.33333333 68.66666667] ; [27.66666667 34.33333333],0
d4,1,0.11295,2.512455,[87 46] ; [49 15],[91.81725888 41.18274112] ; [44.18274112 19.81725888],0
s5,1,0.113862,2.499779,[28 99] ; [20 41],[32.42553191 94.57446809] ; [15.57446809 45.42553191],0
p11,1,0.143758,2.137268,[100  33] ; [54 10],[103.96954315  29.03045685] ; [50.03045685 13.96954315],0
a8,1,0.157432,1.998721,[ 12 112] ; [10 49],[ 14.90710383 109.09289617] ; [ 7.09289617 51.90710383],0
v3,1,0.159134,1.982439,[35 90] ; [24 39],[39.2287234 85.7712766] ; [19.7712766 43.2287234],0
r2,1,0.1674,1.906076,[118  14] ; [61  3],[120.55102041  11.44897959] ; [58.44897959  5.55102041],0
v4,1,0.287135,1.133006,[122   9] ; [62  2],[123.61025641   7.38974359] ; [60.38974359  3.61025641],0
s4,1,0.337437,0.920143,[ 22 111] ; [14 49],[ 24.42857143 108.57142857] ; [11.57142857 51.42857143],0
r1,1,0.363747,0.824916,[82 50] ; [44 20],[84.85714286 47.14285714] ; [41.14285714 22.85714286],0
r3,1,0.373037,0.793522,[122  11] ; [60  3],[123.5   9.5] ; [58.5  4.5],0
a4,1,0.470841,0.520002,[ 27 105] ; [16 48],[ 28.95918367 103.04081633] ; [14.04081633 49.95918367],0
u2,1,0.496183,0.463091,[41 36] ; [17 11],[42.53333333 34.46666667] ; [15.46666667 12.53333333],0
u3,1,0.516396,0.421085,[39 39] ; [16 12],[40.47169811 37.52830189] ; [14.52830189 13.47169811],0
b5,1,0.521506,0.410913,[81 52] ; [42 22],[83.04060914 49.95939086] ; [39.95939086 24.04060914],0
s2,1,0.553096,0.3518,[58 74] ; [31 33],[59.93877551 72.06122449] ; [29.06122449 34.93877551],0
a6,1,0.56475,0.331546,[69 64] ; [36 28],[70.88832487 62.11167513] ; [34.11167513 29.88832487],0
u4,1,0.595046,0.282532,[  1 132] ; [ 1 63],[  1.35025381 131.64974619] ; [ 0.64974619 63.35025381],0
n2,1,0.602698,0.270946,[22  9] ; [14  4],[22.7755102  8.2244898] ; [13.2244898  4.7755102],0
b1,1,0.615469,0.252288,[43 90] ; [23 41],[44.55837563 88.44162437] ; [21.44162437 42.55837563],0
p10,1,0.618859,0.247475,[112  20] ; [56  8],[113.14285714  18.85714286] ; [54.85714286  9.14285714],0
s1,1,0.630485,0.231404,[  6 125] ; [ 2 62],[  5.37435897 125.62564103] ; [ 2.62564103 61.37435897],0
a7,1,0.663598,0.189183,[90 43] ; [40 22],[88.66666667 44.33333333] ; [41.33333333 20.66666667],0
a1,1,0.716351,0.132016,[  3 130] ; [ 2 62],[  3.37563452 129.62436548] ; [ 1.62436548 62.37563452],0
d1,1,0.717858,0.130555,[45 88] ; [20 44],[43.88324873 89.11675127] ; [21.11675127 42.88324873],0
s3,1,0.767938,0.087068,[74 56] ; [35 29],[73.04123711 56.95876289] ; [35.95876289 28.04123711],0
d2,1,0.798092,0.065443,[ 27 106] ; [12 52],[ 26.32994924 106.67005076] ; [12.67005076 51.32994924],0
u1,1,0.821777,0.050742,[  5 128] ; [ 2 62],[  4.72588832 128.27411168] ; [ 2.27411168 61.72588832],0
n6,1,0.852156,0.034733,[104  29] ; [50 13],[104.5  28.5] ; [49.5 13.5],0
n3,1,0.92534,0.008781,[22  9] ; [13  5],[22.14285714  8.85714286] ; [12.85714286  5.14285714],0
b4,1,0.929078,0.007922,[76 57] ; [37 27],[76.2893401 56.7106599] ; [36.7106599 27.2893401],0
d3,1,0.949942,0.003941,[80 53] ; [37 25],[79.8 53.2] ; [37.2 24.8],0
