Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.012649,6.217578,[13 11] ; [23 62],[ 7.9266055 16.0733945] ; [28.0733945 56.9266055],0
u2,1,0.225841,1.466864,[3 2] ; [13 27],[1.77777778 3.22222222] ; [14.22222222 25.77777778],0
s4,1,0.244237,1.355971,[ 2 22] ; [16 72],[ 3.85714286 20.14285714] ; [14.14285714 73.85714286],0
s1,1,0.250291,1.321678,[ 3 21] ; [ 5 83],[ 1.71428571 22.28571429] ; [ 6.28571429 81.71428571],0
s2,1,0.288549,1.126381,[ 8 15] ; [21 67],[ 6.00900901 16.99099099] ; [22.99099099 65.00900901],0
p2,1,0.296346,1.090564,[10 13] ; [49 39],[12.22522523 10.77477477] ; [46.77477477 41.22522523],0
r1,1,0.320619,0.986421,[ 9 14] ; [25 63],[ 7.04504505 15.95495495] ; [26.95495495 61.04504505],0
s6,1,0.346541,0.886083,[10 13] ; [29 59],[ 8.08108108 14.91891892] ; [30.91891892 57.08108108],0
a1,1,0.382666,0.76212,[ 4 20] ; [ 9 79],[ 2.78571429 21.21428571] ; [10.21428571 77.78571429],0
n4,1,0.384678,0.755699,[16  8] ; [50 38],[14.14285714  9.85714286] ; [51.85714286 36.14285714],0
p4,1,0.399208,0.71071,[ 5 18] ; [27 61],[ 6.63063063 16.36936937] ; [25.36936937 62.63063063],0
s3,1,0.418835,0.653581,[ 6 16] ; [31 54],[ 7.60747664 14.39252336] ; [29.39252336 55.60747664],0
n3,1,0.422444,0.643507,[8 5] ; [20 21],[6.74074074 6.25925926] ; [21.25925926 19.74074074],0
u3,1,0.450339,0.569799,[3 3] ; [14 27],[2.17021277 3.82978723] ; [14.82978723 26.17021277],0
v4,1,0.450342,0.569792,[15  8] ; [48 37],[13.41666667  9.58333333] ; [49.58333333 35.41666667],0
p8,1,0.470774,0.520159,[ 7 17] ; [19 67],[ 5.67272727 18.32727273] ; [20.32727273 65.67272727],0
n5,1,0.501611,0.451526,[15  8] ; [50 37],[13.59090909  9.40909091] ; [51.40909091 35.59090909],0
s5,1,0.510928,0.432165,[ 3 21] ; [16 72],[ 4.07142857 19.92857143] ; [14.92857143 73.07142857],0
p11,1,0.531346,0.391817,[10 14] ; [43 45],[11.35714286 12.64285714] ; [41.64285714 46.35714286],0
a4,1,0.549153,0.358836,[ 9 15] ; [27 60],[ 7.78378378 16.21621622] ; [28.21621622 58.78378378],0
n2,1,0.562278,0.335775,[8 5] ; [22 20],[7.09090909 5.90909091] ; [22.90909091 19.09090909],0
s7,1,0.576657,0.31167,[ 7 15] ; [22 63],[ 5.96261682 16.03738318] ; [23.03738318 61.96261682],0
p10,1,0.611715,0.257685,[13 10] ; [44 43],[11.91818182 11.08181818] ; [45.08181818 41.91818182],0
n6,1,0.632319,0.22893,[14  9] ; [47 38],[12.99074074 10.00925926] ; [48.00925926 36.99074074],0
p9,1,0.724344,0.124369,[13 10] ; [44 40],[12.25233645 10.74766355] ; [44.74766355 39.25233645],0
p7,1,0.731529,0.117712,[ 6 16] ; [27 60],[ 6.66055046 15.33944954] ; [26.33944954 60.66055046],0
n1,1,0.74317,0.10736,[4 9] ; [15 27],[4.49090909 8.50909091] ; [14.50909091 27.49090909],0
b4,1,0.762682,0.09118,[15  9] ; [52 36],[14.35714286  9.64285714] ; [52.64285714 35.35714286],0
p3,1,0.892344,0.018317,[ 5 18] ; [18 70],[ 4.76576577 18.23423423] ; [18.23423423 69.76576577],0
a5,1,0.92137,0.009743,[12 12] ; [45 43],[12.21428571 11.78571429] ; [44.78571429 43.21428571],0
b5,1,0.92137,0.009743,[12 12] ; [43 45],[11.78571429 12.21428571] ; [43.21428571 44.78571429],0
r3,1,0.931325,0.007427,[12 11] ; [44 42],[11.81651376 11.18348624] ; [44.18348624 41.81651376],0
