Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,9e-06,19.632063,[13 25] ; [39  9],[22.97674419 15.02325581] ; [29.02325581 18.97674419],1
p3,1,0.333484,0.935322,[ 9 28] ; [16 31],[11.01190476 25.98809524] ; [13.98809524 33.01190476],0
d1,1,0.344759,0.892655,[14 24] ; [23 26],[16.16091954 21.83908046] ; [20.83908046 28.16091954],0
s3,1,0.368889,0.807402,[13 25] ; [21 27],[15.02325581 22.97674419] ; [18.97674419 29.02325581],0
p9,1,0.374192,0.789696,[22 15] ; [33 15],[23.94117647 13.05882353] ; [31.05882353 16.94117647],0
a1,1,0.400708,0.706199,[ 2 36] ; [ 5 44],[ 3.05747126 34.94252874] ; [ 3.94252874 45.05747126],0
v2,1,0.409492,0.680276,[14 23] ; [22 25],[15.85714286 21.14285714] ; [20.14285714 26.85714286],0
s1,1,0.41393,0.667485,[ 2 36] ; [ 1 48],[ 1.31034483 36.68965517] ; [ 1.68965517 47.31034483],0
p4,1,0.422808,0.642497,[17 21] ; [17 30],[15.2 22.8] ; [18.8 28.2],0
d5,1,0.437651,0.602433,[25 13] ; [36 13],[26.64367816 11.35632184] ; [34.35632184 14.64367816],0
u1,1,0.440644,0.594605,[ 1 37] ; [ 3 46],[ 1.74712644 36.25287356] ; [ 2.25287356 46.74712644],0
p1,1,0.440644,0.594605,[ 1 37] ; [ 3 46],[ 1.74712644 36.25287356] ; [ 2.25287356 46.74712644],0
r2,1,0.483235,0.491553,[24 14] ; [31 13],[25.48780488 12.51219512] ; [29.51219512 14.48780488],0
b4,1,0.507302,0.439628,[19 19] ; [28 21],[20.52873563 17.47126437] ; [26.47126437 22.52873563],0
a2,1,0.508725,0.436689,[ 3 35] ; [ 6 43],[ 3.93103448 34.06896552] ; [ 5.06896552 43.93103448],0
b1,1,0.523397,0.407194,[22 16] ; [25 24],[20.52873563 17.47126437] ; [26.47126437 22.52873563],0
p6,1,0.525785,0.40253,[ 8 29] ; [13 34],[ 9.25 27.75] ; [11.75 35.25],0
r3,1,0.52645,0.401239,[22 16] ; [31 17],[23.41860465 14.58139535] ; [29.58139535 18.41860465],0
s8,1,0.553698,0.350733,[ 8 30] ; [13 36],[ 9.17241379 28.82758621] ; [11.82758621 37.17241379],0
b5,1,0.713719,0.13459,[21 17] ; [29 20],[21.83908046 16.16091954] ; [28.16091954 20.83908046],0
p7,1,0.722098,0.126491,[15 22] ; [20 25],[15.79268293 21.20731707] ; [19.20731707 25.79268293],0
p2,1,0.724537,0.124187,[27 11] ; [35 12],[27.71764706 10.28235294] ; [34.28235294 12.71764706],0
v1,1,0.773361,0.082933,[14 23] ; [16 30],[13.37349398 23.62650602] ; [16.62650602 29.37349398],0
b3,1,0.781685,0.076797,[ 5 12] ; [10 20],[ 5.42553191 11.57446809] ; [ 9.57446809 20.42553191],0
b2,1,0.781685,0.076797,[ 5 12] ; [10 20],[ 5.42553191 11.57446809] ; [ 9.57446809 20.42553191],0
p10,1,0.782187,0.076436,[22 16] ; [28 18],[22.61904762 15.38095238] ; [27.38095238 18.61904762],0
d3,1,0.829294,0.046486,[22 15] ; [28 21],[21.51162791 15.48837209] ; [28.48837209 20.51162791],0
d4,1,0.848222,0.036629,[27 11] ; [35 13],[27.39534884 10.60465116] ; [34.60465116 13.39534884],0
p12,1,0.878879,0.023223,[ 1 37] ; [ 1 46],[ 0.89411765 37.10588235] ; [ 1.10588235 45.89411765],0
p8,1,0.891248,0.018694,[14 24] ; [17 31],[13.69767442 24.30232558] ; [17.30232558 30.69767442],0
u2,1,0.900339,0.015683,[11  9] ; [9 8],[10.81081081  9.18918919] ; [9.18918919 7.81081081],0
s5,1,0.900961,0.015487,[ 6 31] ; [ 7 39],[ 5.79518072 31.20481928] ; [ 7.20481928 38.79518072],0
a8,1,0.901143,0.01543,[ 1 36] ; [ 1 43],[ 0.91358025 36.08641975] ; [ 1.08641975 42.91358025],0
s2,1,0.915294,0.011313,[12 26] ; [16 33],[12.22988506 25.77011494] ; [15.77011494 33.22988506],0
p5,1,0.941114,0.005457,[ 3 35] ; [ 4 44],[ 3.09302326 34.90697674] ; [ 3.90697674 44.09302326],0
s4,1,0.941327,0.005417,[ 8 30] ; [10 39],[ 7.86206897 30.13793103] ; [10.13793103 38.86206897],0
r1,1,0.98202,0.000508,[10 28] ; [13 36],[10.04597701 27.95402299] ; [12.95402299 36.04597701],0
