Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,5e-06,20.907147,[10  4] ; [20 97],[ 3.20610687 10.79389313] ; [26.79389313 90.20610687],1
r4,1,0.284141,1.147174,[14  1] ; [99 21],[12.55555556  2.44444444] ; [100.44444444  19.55555556],0
d5,1,0.299252,1.077524,[ 5 10] ; [57 63],[6.88888889 8.11111111] ; [55.11111111 64.88888889],0
b5,1,0.323066,0.976492,[7 8] ; [72 48],[8.77777778 6.22222222] ; [70.22222222 49.77777778],0
b4,1,0.327938,0.957023,[10  5] ; [64 56],[8.22222222 6.77777778] ; [65.77777778 54.22222222],0
b1,1,0.340323,0.909213,[7 8] ; [41 79],[5.33333333 9.66666667] ; [42.66666667 77.33333333],0
r1,1,0.376309,0.782725,[12  3] ; [82 37],[10.52238806  4.47761194] ; [83.47761194 35.52238806],0
p10,1,0.484951,0.487708,[13  2] ; [94 25],[11.97761194  3.02238806] ; [95.02238806 23.97761194],0
n4,1,0.495116,0.465389,[12  3] ; [86 34],[10.88888889  4.11111111] ; [87.11111111 32.88888889],0
a6,1,0.535724,0.383523,[10  5] ; [70 50],[8.88888889 6.11111111] ; [71.11111111 48.88888889],0
r2,1,0.555096,0.348266,[14  1] ; [105  14],[13.32089552  1.67910448] ; [105.67910448  13.32089552],0
s4,1,0.574383,0.315404,[ 2 13] ; [23 96],[ 2.79850746 12.20149254] ; [22.20149254 96.79850746],0
p2,1,0.60401,0.26899,[11  4] ; [95 25],[11.77777778  3.22222222] ; [94.22222222 25.77777778],0
a4,1,0.611819,0.257534,[ 3 12] ; [31 88],[ 3.80597015 11.19402985] ; [30.19402985 88.80597015],0
n2,1,0.613796,0.254684,[3 1] ; [28  5],[3.35135135 0.64864865] ; [27.64864865  5.35135135],0
d1,1,0.657789,0.196221,[ 1 14] ; [  5 115],[ 0.66666667 14.33333333] ; [  5.33333333 114.66666667],0
u2,1,0.659081,0.194642,[4 3] ; [29 31],[3.44776119 3.55223881] ; [29.55223881 30.44776119],0
a8,1,0.681,0.169002,[ 1 14] ; [11 99],[ 1.44 13.56] ; [10.56 99.44],0
s3,1,0.768537,0.086606,[6 8] ; [55 62],[6.51908397 7.48091603] ; [54.48091603 62.51908397],0
a7,1,0.805775,0.060457,[9 6] ; [68 52],[8.55555556 6.44444444] ; [68.44444444 51.55555556],0
a3,1,0.807665,0.059263,[8 7] ; [60 60],[7.55555556 7.44444444] ; [60.44444444 59.55555556],0
a2,1,0.823959,0.049487,[ 1 14] ; [ 10 110],[ 1.22222222 13.77777778] ; [  9.77777778 110.22222222],0
u3,1,0.848296,0.036593,[3 4] ; [28 32],[3.23880597 3.76119403] ; [27.76119403 32.23880597],0
v2,1,0.905723,0.014027,[7 8] ; [50 61],[6.78571429 8.21428571] ; [50.21428571 60.78571429],0
s8,1,0.908119,0.01332,[5 9] ; [41 79],[4.80597015 9.19402985] ; [41.19402985 78.80597015],0
v1,1,0.943026,0.005108,[7 8] ; [53 63],[6.87022901 8.12977099] ; [53.12977099 62.87022901],0
d2,1,0.944642,0.004821,[ 4 11] ; [31 89],[ 3.88888889 11.11111111] ; [31.11111111 88.88888889],0
s2,1,0.94758,0.004323,[ 5 10] ; [40 77],[5.11363636 9.88636364] ; [39.88636364 77.11363636],0
