Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,47.922754,[109   8] ; [ 9 16],[97.22535211 19.77464789] ; [20.77464789  4.22535211],1
p6,1,0.31825,0.996125,[41 76] ; [11 13],[43.14893617 73.85106383] ; [ 8.85106383 15.14893617],0
s7,1,0.327927,0.957067,[31 77] ; [ 5 21],[29.01492537 78.98507463] ; [ 6.98507463 19.01492537],0
a7,1,0.352682,0.863782,[87 30] ; [17  9],[85.09090909 31.90909091] ; [18.90909091  7.09090909],0
s2,1,0.368814,0.807657,[22 94] ; [ 3 23],[20.42253521 95.57746479] ; [ 4.57746479 21.42253521],0
b1,1,0.37276,0.794444,[43 74] ; [12 14],[45. 72.] ; [10. 16.],0
s8,1,0.39248,0.731245,[32 85] ; [ 5 21],[30.27272727 86.72727273] ; [ 6.72727273 19.27272727],0
p5,1,0.415842,0.662037,[ 10 107] ; [ 1 25],[  9. 108.] ; [ 2. 24.],0
b4,1,0.47553,0.509098,[63 54] ; [16 10],[64.63636364 52.36363636] ; [14.36363636 11.63636364],0
v2,1,0.498806,0.457476,[69 44] ; [14 12],[67.47482014 45.52517986] ; [15.52517986 10.47482014],0
n3,1,0.506984,0.440286,[13  5] ; [6 4],[12.21428571  5.78571429] ; [6.78571429 3.21428571],0
d1,1,0.520688,0.412531,[71 46] ; [14 12],[69.54545455 47.45454545] ; [15.45454545 10.54545455],0
u1,1,0.531792,0.390967,[ 14 103] ; [ 2 24],[ 13.09090909 103.90909091] ; [ 2.90909091 23.09090909],0
r2,1,0.540109,0.375338,[106   9] ; [23  3],[105.21276596   9.78723404] ; [23.78723404  2.21276596],0
a6,1,0.564563,0.331865,[74 43] ; [18  8],[75.27272727 41.72727273] ; [16.72727273  9.27272727],0
s3,1,0.640521,0.218061,[27 88] ; [ 5 21],[26.09929078 88.90070922] ; [ 5.90070922 20.09929078],0
a2,1,0.682665,0.167142,[22 95] ; [ 4 22],[21.27272727 95.72727273] ; [ 4.72727273 21.27272727],0
r3,1,0.69067,0.158361,[105  12] ; [24  2],[105.54545455  11.45454545] ; [23.45454545  2.54545455],0
u2,1,0.715337,0.133005,[20 22] ; [5 7],[19.44444444 22.55555556] ; [5.55555556 6.44444444],0
d2,1,0.722221,0.126375,[54 63] ; [13 13],[54.81818182 62.18181818] ; [12.18181818 13.81818182],0
n1,1,0.778096,0.079412,[ 7 11] ; [3 6],[ 6.66666667 11.33333333] ; [3.33333333 5.66666667],0
p7,1,0.783683,0.075363,[87 28] ; [19  7],[86.45390071 28.54609929] ; [19.54609929  6.45390071],0
d3,1,0.865968,0.028487,[79 38] ; [18  8],[79.36363636 37.63636364] ; [17.63636364  8.36363636],0
n2,1,0.900744,0.015556,[13  5] ; [7 3],[12.85714286  5.14285714] ; [7.14285714 2.85714286],0
p1,1,0.951438,0.003709,[ 14 103] ; [ 3 23],[ 13.90909091 103.09090909] ; [ 3.09090909 22.90909091],0
