Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,1e-06,24.561404,[ 9 48] ; [19  8],[19. 38.] ; [ 9. 18.],1
p4,1,0.439523,0.597527,[33 25] ; [19 10],[34.66666667 23.33333333] ; [17.33333333 11.66666667],0
v4,1,0.455192,0.557692,[51  7] ; [27  2],[52.  6.] ; [26.  3.],0
u3,1,0.472423,0.516303,[ 9 10] ; [5 3],[9.85185185 9.14814815] ; [4.14814815 3.85185185],0
n2,1,0.512091,0.429792,[9 4] ; [5 4],[8.27272727 4.72727273] ; [5.72727273 3.27272727],0
d2,1,0.539635,0.376216,[32 26] ; [18 11],[33.33333333 24.66666667] ; [16.66666667 12.33333333],0
s4,1,0.547121,0.3625,[ 9 49] ; [ 6 23],[10. 48.] ; [ 5. 24.],0
p11,1,0.565716,0.329903,[46 13] ; [21  8],[44.92045455 14.07954545] ; [22.07954545  6.92045455],0
a8,1,0.591738,0.287638,[ 8 47] ; [ 5 21],[ 8.82716049 46.17283951] ; [ 4.17283951 21.82716049],0
d4,1,0.679886,0.170254,[48 10] ; [25  4],[48.66666667  9.33333333] ; [24.33333333  4.66666667],0
p3,1,0.697211,0.151389,[32 27] ; [17 12],[32.85227273 26.14772727] ; [16.14772727 12.85227273],0
n6,1,0.70359,0.144764,[49 10] ; [25  4],[49.61363636  9.38636364] ; [24.38636364  4.61363636],0
b5,1,0.711016,0.137264,[22 37] ; [12 17],[22.79545455 36.20454545] ; [11.20454545 17.79545455],0
a3,1,0.740475,0.10971,[40 18] ; [21  8],[40.66666667 17.33333333] ; [20.33333333  8.66666667],0
n3,1,0.768571,0.08658,[8 3] ; [6 3],[7.7 3.3] ; [6.3 2.7],0
p2,1,0.81928,0.052199,[48 11] ; [23  6],[47.60227273 11.39772727] ; [23.39772727  5.60227273],0
p5,1,0.824792,0.049012,[13 46] ; [ 7 22],[13.40909091 45.59090909] ; [ 6.59090909 22.40909091],0
d3,1,0.924101,0.009076,[36 23] ; [18 11],[36.20454545 22.79545455] ; [17.79545455 11.20454545],0
v2,1,0.94623,0.004548,[33 26] ; [16 13],[32.85227273 26.14772727] ; [16.14772727 12.85227273],0
b4,1,0.953306,0.003429,[37 22] ; [18 11],[36.875 22.125] ; [18.125 10.875],0
a1,1,0.983686,0.000418,[ 4 55] ; [ 2 27],[ 4.02272727 54.97727273] ; [ 1.97727273 27.02272727],0
s3,1,1.0,0.0,[10 48] ; [ 5 24],[10. 48.] ; [ 5. 24.],0
r2,1,1.0,0.0,[52  6] ; [26  3],[52.  6.] ; [26.  3.],0
