Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v1,1,2.6e-05,17.67619,[23  7] ; [ 6 22],[15. 15.] ; [14. 14.],1
s1,1,0.33373,0.934372,[ 3 28] ; [ 1 28],[ 2.06666667 28.93333333] ; [ 1.93333333 27.06666667],0
u1,1,0.350371,0.872112,[ 3 29] ; [ 1 28],[ 2.09836066 29.90163934] ; [ 1.90163934 27.09836066],0
d1,1,0.384987,0.754717,[19 13] ; [14 15],[17.31147541 14.68852459] ; [15.68852459 13.31147541],0
b4,1,0.384987,0.754717,[19 13] ; [14 15],[17.31147541 14.68852459] ; [15.68852459 13.31147541],0
n6,1,0.403563,0.697684,[27  5] ; [22  7],[25.70491803  6.29508197] ; [23.29508197  5.70491803],0
p4,1,0.410107,0.67849,[20 12] ; [21  8],[21.50819672 10.49180328] ; [19.49180328  9.50819672],0
s6,1,0.411607,0.674154,[21  9] ; [23  6],[22.37288136  7.62711864] ; [21.62711864  7.37288136],0
d4,1,0.412455,0.671713,[26  6] ; [21  8],[24.6557377  7.3442623] ; [22.3442623  6.6557377],0
a8,1,0.413423,0.668937,[ 4 25] ; [ 2 26],[ 3.05263158 25.94736842] ; [ 2.94736842 25.05263158],0
a5,1,0.43598,0.606841,[19 13] ; [20  9],[20.45901639 11.54098361] ; [18.54098361 10.45901639],0
v4,1,0.438323,0.600667,[27  4] ; [27  2],[27.9  3.1] ; [26.1  2.9],0
d3,1,0.533416,0.38788,[18 14] ; [14 15],[16.78688525 15.21311475] ; [15.21311475 13.78688525],0
p9,1,0.541793,0.372227,[27  5] ; [26  3],[27.80327869  4.19672131] ; [25.19672131  3.80327869],0
d2,1,0.561148,0.33772,[12 20] ; [13 16],[13.1147541 18.8852459] ; [11.8852459 17.1147541],0
b5,1,0.572958,0.317758,[21 11] ; [17 12],[19.93442623 12.06557377] ; [18.06557377 10.93442623],0
a3,1,0.583378,0.300806,[22 10] ; [18 11],[20.98360656 11.01639344] ; [19.01639344  9.98360656],0
s2,1,0.599609,0.275585,[24  8] ; [20  9],[23.08196721  8.91803279] ; [20.91803279  8.08196721],0
s3,1,0.599609,0.275585,[24  8] ; [20  9],[23.08196721  8.91803279] ; [20.91803279  8.08196721],0
p12,1,0.613315,0.255376,[ 2 30] ; [ 1 28],[ 1.57377049 30.42622951] ; [ 1.42622951 27.57377049],0
b1,1,0.621079,0.244354,[13 19] ; [10 19],[12.06557377 19.93442623] ; [10.93442623 18.06557377],0
n3,1,0.700668,0.147778,[7 2] ; [7 3],[6.63157895 2.36842105] ; [7.36842105 2.63157895],0
n2,1,0.700668,0.147778,[7 2] ; [7 3],[6.63157895 2.36842105] ; [7.36842105 2.63157895],0
a6,1,0.723155,0.12549,[18 14] ; [15 14],[17.31147541 14.68852459] ; [15.68852459 13.31147541],0
p3,1,0.756764,0.095934,[20 12] ; [17 12],[19.40983607 12.59016393] ; [17.59016393 11.40983607],0
a4,1,0.781356,0.077036,[11 21] ; [ 9 20],[10.49180328 21.50819672] ; [ 9.50819672 19.49180328],0
p8,1,0.78241,0.076275,[16 15] ; [16 13],[16.53333333 14.46666667] ; [15.46666667 13.53333333],0
r4,1,0.788238,0.072146,[22 10] ; [19 10],[21.50819672 10.49180328] ; [19.49180328  9.50819672],0
a2,1,0.791981,0.069558,[ 4 28] ; [ 3 26],[ 3.67213115 28.32786885] ; [ 3.32786885 25.67213115],0
u3,1,0.800838,0.063636,[6 4] ; [6 5],[5.71428571 4.28571429] ; [6.28571429 4.71428571],0
p5,1,0.8298,0.046207,[ 4 28] ; [ 3 25],[ 3.73333333 28.26666667] ; [ 3.26666667 24.73333333],0
p2,1,0.86478,0.029,[27  5] ; [24  5],[26.75409836  5.24590164] ; [24.24590164  4.75409836],0
p11,1,0.86478,0.029,[27  5] ; [24  5],[26.75409836  5.24590164] ; [24.24590164  4.75409836],0
a1,1,0.918855,0.010379,[ 2 30] ; [ 2 27],[ 2.09836066 29.90163934] ; [ 1.90163934 27.09836066],0
s7,1,0.942103,0.005275,[23  7] ; [22  7],[22.88135593  7.11864407] ; [22.11864407  6.88135593],0
a7,1,0.952297,0.003579,[19 13] ; [17 12],[18.8852459 13.1147541] ; [17.1147541 11.8852459],0
