Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a5,1,1.2e-05,19.135295,[ 7 17] ; [47 12],[15.61445783  8.38554217] ; [38.38554217 20.61445783],1
p5,1,0.650114,0.205757,[ 1 23] ; [ 4 55],[ 1.44578313 22.55421687] ; [ 3.55421687 55.44578313],0
a8,1,0.698975,0.14954,[ 3 20] ; [ 5 45],[ 2.52054795 20.47945205] ; [ 5.47945205 44.52054795],0
b4,1,0.783798,0.07528,[13 11] ; [30 29],[12.43373494 11.56626506] ; [30.56626506 28.43373494],0
s8,1,0.80138,0.063283,[ 8 16] ; [18 41],[ 7.51807229 16.48192771] ; [18.48192771 40.51807229],0
a4,1,0.841388,0.040047,[10 14] ; [26 33],[10.40963855 13.59036145] ; [25.59036145 33.40963855],0
n5,1,0.850091,0.035722,[17  7] ; [43 16],[17.34939759  6.65060241] ; [42.65060241 16.34939759],0
s5,1,0.921259,0.009771,[ 4 18] ; [10 48],[ 3.85 18.15] ; [10.15 47.85],0
n2,1,0.925558,0.00873,[5 2] ; [11  4],[5.09090909 1.90909091] ; [10.90909091  4.09090909],0
p1,1,0.935723,0.006504,[ 3 21] ; [ 7 52],[ 2.89156627 21.10843373] ; [ 7.10843373 51.89156627],0
u3,1,0.951159,0.003752,[5 6] ; [7 8],[5.07692308 5.92307692] ; [6.92307692 8.07692308],0
