Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,35.629286,[11 23] ; [84 14],[24.46969697  9.53030303] ; [70.53030303 27.46969697],1
p11,1,0.322365,0.979327,[14 20] ; [50 48],[16.48484848 17.51515152] ; [47.51515152 50.48484848],0
a4,1,0.334986,0.929527,[11 22] ; [42 56],[13.35114504 19.64885496] ; [39.64885496 58.35114504],0
n1,1,0.352236,0.865385,[ 3 10] ; [12 20],[4.33333333 8.66666667] ; [10.66666667 21.33333333],0
a3,1,0.368802,0.807699,[20 14] ; [66 32],[22.15151515 11.84848485] ; [63.84848485 34.15151515],0
s2,1,0.396671,0.718396,[10 24] ; [36 60],[12.03076923 21.96923077] ; [33.96923077 62.03076923],0
v2,1,0.434602,0.610494,[14 20] ; [47 49],[15.95384615 18.04615385] ; [45.04615385 50.95384615],0
p1,1,0.442028,0.591012,[ 3 31] ; [ 5 92],[ 2.07633588 31.92366412] ; [ 5.92366412 91.07633588],0
s5,1,0.446632,0.579186,[ 5 27] ; [21 75],[ 6.5 25.5] ; [19.5 76.5],0
s8,1,0.447474,0.577043,[ 6 28] ; [23 73],[ 7.58461538 26.41538462] ; [21.41538462 74.58461538],0
u2,1,0.469111,0.524069,[6 7] ; [18 13],[7.09090909 5.90909091] ; [16.90909091 14.09090909],0
s6,1,0.487699,0.4816,[15 19] ; [49 47],[16.73846154 17.26153846] ; [47.26153846 48.73846154],0
p8,1,0.504122,0.446247,[10 24] ; [35 63],[11.59090909 22.40909091] ; [33.40909091 64.59090909],0
d1,1,0.51297,0.428004,[19 15] ; [61 37],[20.60606061 13.39393939] ; [59.39393939 38.60606061],0
p7,1,0.575946,0.312834,[13 21] ; [42 54],[14.38461538 19.61538462] ; [40.61538462 55.38461538],0
a1,1,0.590303,0.289872,[ 3 31] ; [ 6 92],[ 2.31818182 31.68181818] ; [ 6.68181818 91.31818182],0
b1,1,0.637635,0.221849,[21 13] ; [56 42],[19.83333333 14.16666667] ; [57.16666667 40.83333333],0
v1,1,0.64569,0.211377,[11 23] ; [36 62],[12.10606061 21.89393939] ; [34.89393939 63.10606061],0
p6,1,0.674027,0.176927,[ 7 26] ; [17 78],[ 6.1875 26.8125] ; [17.8125 77.1875],0
s3,1,0.727349,0.12156,[13 20] ; [42 56],[13.85496183 19.14503817] ; [41.14503817 56.85496183],0
v3,1,0.729332,0.119726,[10 24] ; [31 64],[10.80620155 23.19379845] ; [30.19379845 64.80620155],0
n6,1,0.778351,0.079224,[21 12] ; [65 33],[21.66412214 11.33587786] ; [64.33587786 33.66412214],0
d2,1,0.874656,0.024884,[18 15] ; [55 43],[18.38931298 14.61068702] ; [54.61068702 43.38931298],0
a6,1,0.875993,0.024352,[21 13] ; [62 36],[21.37878788 12.62121212] ; [61.62121212 36.37878788],0
d3,1,0.888075,0.019808,[23 11] ; [65 33],[22.66666667 11.33333333] ; [65.33333333 32.66666667],0
n2,1,0.908086,0.013329,[9 5] ; [20 12],[8.82608696 5.17391304] ; [20.17391304 11.82608696],0
b3,1,0.924362,0.009014,[ 7 14] ; [19 40],[ 6.825 14.175] ; [19.175 39.825],0
b2,1,0.924362,0.009014,[ 7 14] ; [19 40],[ 6.825 14.175] ; [19.175 39.825],0
p3,1,0.971456,0.00128,[11 22] ; [33 65],[11.08396947 21.91603053] ; [32.91603053 65.08396947],0
p5,1,0.971932,0.001238,[ 1 33] ; [ 3 95],[ 1.03030303 32.96969697] ; [ 2.96969697 95.03030303],0
p4,1,0.974827,0.000996,[13 21] ; [37 59],[13.07692308 20.92307692] ; [36.92307692 59.07692308],0
b5,1,0.980609,0.000591,[19 15] ; [55 43],[19.06060606 14.93939394] ; [54.93939394 43.06060606],0
