Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1e-06,24.028071,[ 9 22] ; [100  33],[20.60365854 10.39634146] ; [88.39634146 44.60365854],1
d4,1,0.448927,0.573359,[20 11] ; [95 38],[21.73780488  9.26219512] ; [93.26219512 39.73780488],0
p3,1,0.470378,0.521087,[12 19] ; [61 72],[13.79878049 17.20121951] ; [59.20121951 73.79878049],0
p8,1,0.474874,0.510613,[12 19] ; [60 71],[13.77777778 17.22222222] ; [58.22222222 72.77777778],0
u2,1,0.516193,0.421493,[9 9] ; [21 30],[ 7.82608696 10.17391304] ; [22.17391304 28.82608696],0
p4,1,0.57493,0.314502,[17 14] ; [65 67],[15.59509202 15.40490798] ; [66.40490798 65.59509202],0
u1,1,0.635337,0.224892,[ 1 30] ; [  7 126],[ 1.51219512 29.48780488] ; [  6.48780488 126.51219512],0
b4,1,0.654481,0.200297,[18 13] ; [83 50],[19.09146341 11.90853659] ; [81.90853659 51.09146341],0
n3,1,0.696006,0.152661,[7 3] ; [26 15],[6.47058824 3.52941176] ; [26.52941176 14.47058824],0
n5,1,0.696552,0.152084,[23  8] ; [94 39],[22.11585366  8.88414634] ; [94.88414634 38.11585366],0
d2,1,0.704307,0.14403,[10 21] ; [47 84],[10.90740741 20.09259259] ; [46.09259259 84.90740741],0
p1,1,0.810064,0.057765,[ 3 28] ; [ 11 121],[ 2.66257669 28.33742331] ; [ 11.33742331 120.66257669],0
a6,1,0.824513,0.04917,[17 14] ; [70 63],[16.44512195 14.55487805] ; [70.55487805 62.44512195],0
n4,1,0.876818,0.024026,[21 10] ; [92 41],[21.3597561  9.6402439] ; [91.6402439 41.3597561],0
n1,1,0.91691,0.010884,[3 7] ; [13 28],[3.1372549 6.8627451] ; [12.8627451 28.1372549],0
a1,1,0.927111,0.008369,[ 2 29] ; [  8 125],[ 1.8902439 29.1097561] ; [  8.1097561 124.8902439],0
s4,1,0.943048,0.005104,[ 6 25] ; [ 25 108],[ 5.8597561 25.1402439] ; [ 25.1402439 107.8597561],0
s1,1,0.94924,0.004053,[ 1 30] ; [  4 129],[ 0.94512195 30.05487805] ; [  4.05487805 128.94512195],0
d3,1,0.962685,0.002189,[17 14] ; [73 59],[17.11656442 13.88343558] ; [72.88343558 59.11656442],0
n2,1,0.963683,0.002073,[7 3] ; [29 12],[7.05882353 2.94117647] ; [28.94117647 12.05882353],0
p11,1,0.977772,0.000776,[23  8] ; [99 34],[23.06097561  7.93902439] ; [98.93902439 34.06097561],0
b2,1,0.977807,0.000774,[ 7 13] ; [26 49],[ 6.94736842 13.05263158] ; [26.05263158 48.94736842],0
b3,1,0.977807,0.000774,[ 7 13] ; [26 49],[ 6.94736842 13.05263158] ; [26.05263158 48.94736842],0
