Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1.2e-05,19.105454,[91 30] ; [ 9 19],[81.20805369 39.79194631] ; [18.79194631  9.20805369],1
p7,1,0.328835,0.953481,[68 52] ; [12 14],[65.75342466 54.24657534] ; [14.24657534 11.75342466],0
s2,1,0.338434,0.916356,[57 64] ; [16 12],[59.28187919 61.71812081] ; [13.71812081 14.28187919],0
v2,1,0.346708,0.885469,[51 67] ; [ 9 18],[48.82758621 69.17241379] ; [11.17241379 15.82758621],0
s3,1,0.358097,0.844556,[57 63] ; [16 12],[59.18918919 60.81081081] ; [13.81081081 14.18918919],0
p5,1,0.366825,0.814392,[ 16 104] ; [ 2 26],[ 14.59459459 105.40540541] ; [ 3.40540541 24.59459459],0
a3,1,0.460796,0.543961,[74 47] ; [15 13],[72.27516779 48.72483221] ; [16.72483221 11.27516779],0
s5,1,0.482401,0.493431,[33 81] ; [ 6 21],[31.53191489 82.46808511] ; [ 7.46808511 19.53191489],0
n3,1,0.51957,0.414747,[24 12] ; [7 2],[24.8 11.2] ; [6.2 2.8],0
d4,1,0.543028,0.369956,[89 32] ; [19  9],[87.70469799 33.29530201] ; [20.29530201  7.70469799],0
s4,1,0.543991,0.368193,[24 97] ; [ 7 21],[25.17449664 95.82550336] ; [ 5.82550336 22.17449664],0
p1,1,0.595252,0.282217,[ 13 108] ; [ 4 24],[ 13.80536913 107.19463087] ; [ 3.19463087 24.80536913],0
u1,1,0.644038,0.2135,[  6 115] ; [ 2 26],[  6.4966443 114.5033557] ; [ 1.5033557 26.4966443],0
v1,1,0.659788,0.193782,[56 63] ; [11 15],[54.9862069 64.0137931] ; [12.0137931 13.9862069],0
d1,1,0.663545,0.189246,[53 68] ; [11 17],[51.97315436 69.02684564] ; [12.02684564 15.97315436],0
a7,1,0.670169,0.181404,[78 42] ; [17 11],[77.02702703 42.97297297] ; [17.97297297 10.02702703],0
s8,1,0.710005,0.138272,[43 78] ; [11 17],[43.85234899 77.14765101] ; [10.14765101 17.85234899],0
a6,1,0.739847,0.110261,[69 52] ; [15 13],[68.2147651 52.7852349] ; [15.7852349 12.2147651],0
a1,1,0.785802,0.073856,[  7 114] ; [ 2 26],[  7.30872483 113.69127517] ; [ 1.69127517 26.30872483],0
b5,1,0.820686,0.051376,[75 46] ; [18 10],[75.52348993 45.47651007] ; [17.47651007 10.52348993],0
d3,1,0.916209,0.011069,[68 52] ; [15 12],[67.75510204 52.24489796] ; [15.24489796 11.75510204],0
s7,1,0.917943,0.010614,[46 68] ; [11 17],[45.76056338 68.23943662] ; [11.23943662 16.76056338],0
a8,1,0.918048,0.010587,[ 12 103] ; [ 3 24],[ 12.14788732 102.85211268] ; [ 2.85211268 24.14788732],0
n1,1,0.941825,0.005326,[14 22] ; [3 5],[13.90909091 22.09090909] ; [3.09090909 4.90909091],0
d2,1,0.943166,0.005082,[42 78] ; [10 18],[42.16216216 77.83783784] ; [ 9.83783784 18.16216216],0
s1,1,0.943924,0.004948,[  4 117] ; [ 1 27],[  4.06040268 116.93959732] ; [ 0.93959732 27.06040268],0
u2,1,0.966598,0.001754,[25 22] ; [7 6],[25.06666667 21.93333333] ; [6.93333333 6.06666667],0
a2,1,0.996373,2.1e-05,[ 13 108] ; [ 3 25],[ 12.99328859 108.00671141] ; [ 3.00671141 24.99328859],0
