Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.000436,12.36998,[ 2 27] ; [16 18],[ 8.28571429 20.71428571] ; [ 9.71428571 24.28571429],1
p3,1,0.427939,0.628409,[ 6 23] ; [10 24],[ 7.36507937 21.63492063] ; [ 8.63492063 25.36507937],0
u1,1,0.462471,0.539909,[ 2 27] ; [ 1 33],[ 1.38095238 27.61904762] ; [ 1.61904762 32.38095238],0
p4,1,0.474639,0.511156,[11 18] ; [10 24],[ 9.66666667 19.33333333] ; [11.33333333 22.66666667],0
n4,1,0.489788,0.476992,[19 10] ; [25  9],[20.25396825  8.74603175] ; [23.74603175 10.25396825],0
s8,1,0.525732,0.402634,[ 7 22] ; [ 6 28],[ 5.98412698 23.01587302] ; [ 7.01587302 26.98412698],0
b1,1,0.546824,0.363037,[14 15] ; [19 15],[15.19047619 13.80952381] ; [17.80952381 16.19047619],0
p10,1,0.586094,0.296486,[13 14] ; [14 20],[11.95081967 15.04918033] ; [15.04918033 18.95081967],0
v3,1,0.591297,0.288324,[ 6 23] ; [ 9 25],[ 6.9047619 22.0952381] ; [ 8.0952381 25.9047619],0
s5,1,0.601509,0.272727,[ 4 25] ; [ 6 26],[ 4.75409836 24.24590164] ; [ 5.24590164 26.75409836],0
n5,1,0.643433,0.21428,[18 11] ; [23 11],[18.87301587 10.12698413] ; [22.12698413 11.87301587],0
p2,1,0.644106,0.213412,[14 15] ; [14 19],[13.09677419 15.90322581] ; [14.90322581 18.09677419],0
n2,1,0.664558,0.188034,[5 4] ; [6 7],[4.5 4.5] ; [6.5 6.5],0
v1,1,0.689399,0.159736,[ 9 20] ; [ 9 25],[ 8.28571429 20.71428571] ; [ 9.71428571 24.28571429],0
n6,1,0.692112,0.156809,[15 13] ; [16 17],[14.2295082 13.7704918] ; [16.7704918 16.2295082],0
a3,1,0.701197,0.147229,[17 11] ; [19 15],[16.25806452 11.74193548] ; [19.74193548 14.25806452],0
u2,1,0.706197,0.142105,[4 8] ; [ 4 11],[3.55555556 8.44444444] ; [ 4.44444444 10.55555556],0
p9,1,0.709949,0.138328,[14 13] ; [16 18],[13.27868852 13.72131148] ; [16.72131148 17.27868852],0
a7,1,0.711996,0.136291,[14 15] ; [18 16],[14.73015873 14.26984127] ; [17.26984127 16.73015873],0
p6,1,0.742553,0.107896,[ 5 23] ; [ 7 26],[ 5.50819672 22.49180328] ; [ 6.49180328 26.50819672],0
s1,1,0.777925,0.079538,[ 2 27] ; [ 3 31],[ 2.3015873 26.6984127] ; [ 2.6984127 31.3015873],0
s6,1,0.788238,0.072146,[10 19] ; [10 22],[ 9.50819672 19.49180328] ; [10.49180328 21.50819672],0
p5,1,0.802124,0.0628,[ 3 25] ; [ 3 31],[ 2.70967742 25.29032258] ; [ 3.29032258 30.70967742],0
p1,1,0.858143,0.031947,[ 3 26] ; [ 4 30],[ 3.22222222 25.77777778] ; [ 3.77777778 30.22222222],0
a4,1,0.87726,0.023853,[10 19] ; [12 21],[10.29032258 18.70967742] ; [11.70967742 21.29032258],0
d4,1,0.888757,0.019566,[20  9] ; [24 10],[20.25396825  8.74603175] ; [23.74603175 10.25396825],0
s2,1,0.892961,0.018106,[ 7 21] ; [ 8 26],[ 6.77419355 21.22580645] ; [ 8.22580645 25.77419355],0
p8,1,0.892961,0.018106,[ 7 21] ; [ 8 26],[ 6.77419355 21.22580645] ; [ 8.22580645 25.77419355],0
a2,1,0.917809,0.010649,[ 4 25] ; [ 5 29],[ 4.14285714 24.85714286] ; [ 4.85714286 29.14285714],0
n1,1,0.936898,0.006268,[4 5] ; [6 7],[4.09090909 4.90909091] ; [5.90909091 7.09090909],0
s7,1,0.962953,0.002157,[ 5 21] ; [ 6 26],[ 4.93103448 21.06896552] ; [ 6.06896552 25.93103448],0
