Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p1,1,7.2e-05,15.751183,[ 15 138] ; [11 18],[ 21.85714286 131.14285714] ; [ 4.14285714 24.85714286],1
n1,1,0.296482,1.089953,[ 9 25] ; [4 5],[10.27906977 23.72093023] ; [2.72093023 6.27906977],0
b2,1,0.389019,0.742007,[28 65] ; [ 8 12],[29.62831858 63.37168142] ; [ 6.37168142 13.62831858],0
b3,1,0.389019,0.742007,[28 65] ; [ 8 12],[29.62831858 63.37168142] ; [ 6.37168142 13.62831858],0
d4,1,0.426356,0.632728,[121  32] ; [21  8],[119.37362637  33.62637363] ; [22.62637363  6.37362637],0
r3,1,0.437267,0.603443,[142  10] ; [25  3],[141.02222222  10.97777778] ; [25.97777778  2.02222222],0
r1,1,0.447498,0.576981,[116  36] ; [24  5],[117.56906077  34.43093923] ; [22.43093923  6.56906077],0
u2,1,0.472236,0.516739,[27 20] ; [4 5],[26.01785714 20.98214286] ; [4.98214286 4.01785714],0
b4,1,0.478005,0.503411,[90 63] ; [15 14],[88.26923077 64.73076923] ; [16.73076923 12.26923077],0
n2,1,0.498543,0.458038,[23 11] ; [5 4],[22.13953488 11.86046512] ; [5.86046512 3.13953488],0
n4,1,0.501694,0.45135,[118  35] ; [24  5],[119.37362637  33.62637363] ; [22.62637363  6.37362637],0
r2,1,0.573058,0.317593,[140  11] ; [26  3],[139.25555556  11.74444444] ; [26.74444444  2.25555556],0
d5,1,0.584025,0.299772,[118  35] ; [21  8],[116.85164835  36.14835165] ; [22.14835165  6.85164835],0
s3,1,0.687619,0.161675,[93 59] ; [16 12],[92.04444444 59.95555556] ; [16.95555556 11.04444444],0
s8,1,0.750824,0.10084,[63 90] ; [12 15],[63.75 89.25] ; [11.25 15.75],0
r4,1,0.753478,0.098631,[134  19] ; [26  3],[134.50549451  18.49450549] ; [25.49450549  3.50549451],0
u3,1,0.760447,0.09296,[23 23] ; [5 4],[23.41818182 22.58181818] ; [4.58181818 4.41818182],0
a7,1,0.795525,0.067155,[104  49] ; [19 10],[103.4010989  49.5989011] ; [19.5989011  9.4010989],0
a5,1,0.820976,0.051207,[113  40] ; [22  7],[113.48901099  39.51098901] ; [21.51098901  7.48901099],0
u1,1,0.827885,0.047269,[ 29 124] ; [ 6 23],[ 29.42307692 123.57692308] ; [ 5.57692308 23.42307692],0
p10,1,0.841739,0.039868,[118  34] ; [23  6],[118.40883978  33.59116022] ; [22.59116022  6.40883978],0
a6,1,0.849798,0.035863,[103  50] ; [19 10],[102.56043956  50.43956044] ; [19.43956044  9.56043956],0
d3,1,0.891718,0.018532,[97 56] ; [18 11],[96.67582418 56.32417582] ; [18.32417582 10.67582418],0
a8,1,0.899594,0.01592,[ 14 127] ; [ 3 25],[ 14.18343195 126.81656805] ; [ 2.81656805 25.18343195],0
v4,1,0.905534,0.014083,[143  10] ; [26  2],[142.85635359  10.14364641] ; [26.14364641  1.85635359],0
v2,1,0.962762,0.00218,[65 85] ; [12 16],[64.88764045 85.11235955] ; [12.11235955 15.88764045],0
a3,1,0.973072,0.001139,[106  47] ; [20  9],[105.92307692  47.07692308] ; [20.07692308  8.92307692],0
