Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,1e-06,24.47195,[29 29] ; [105  19],[42.7032967 15.2967033] ; [91.2967033 32.7032967],1
s3,1,0.217457,1.521073,[46 12] ; [84 35],[42.59887006 15.40112994] ; [87.40112994 31.59887006],0
a3,1,0.241595,1.371263,[45 13] ; [105  19],[47.8021978 10.1978022] ; [102.1978022  21.8021978],0
p12,1,0.318164,0.996477,[ 6 51] ; [ 20 104],[ 8.1878453 48.8121547] ; [ 17.8121547 106.1878453],0
n1,1,0.329889,0.949333,[9 5] ; [11 12],[7.56756757 6.43243243] ; [12.43243243 10.56756757],0
p11,1,0.335482,0.927621,[49  9] ; [98 27],[46.59016393 11.40983607] ; [100.40983607  24.59016393],0
a4,1,0.382542,0.762518,[28 30] ; [69 56],[30.7431694 27.2568306] ; [66.2568306 58.7431694],0
u2,1,0.435078,0.609231,[6 7] ; [12  8],[7.09090909 5.90909091] ; [10.90909091  9.09090909],0
n3,1,0.442703,0.589266,[8 6] ; [16  7],[9.08108108 4.91891892] ; [14.91891892  8.08108108],0
p7,1,0.450023,0.570595,[45 11] ; [91 30],[43.02824859 12.97175141] ; [92.97175141 28.02824859],0
p2,1,0.49624,0.462969,[48  9] ; [109  15],[49.44198895  7.55801105] ; [107.55801105  16.44198895],0
s4,1,0.496316,0.462805,[15 43] ; [26 96],[13.21111111 44.78888889] ; [27.78888889 94.21111111],0
a8,1,0.511671,0.430648,[ 7 50] ; [18 94],[ 8.43195266 48.56804734] ; [16.56804734 95.43195266],0
v2,1,0.522409,0.409135,[37 21] ; [83 38],[38.88268156 19.11731844] ; [81.11731844 39.88268156],0
s1,1,0.542526,0.370878,[ 1 57] ; [  4 116],[ 1.62921348 56.37078652] ; [  3.37078652 116.62921348],0
s7,1,0.542968,0.370067,[36 21] ; [80 38],[37.78285714 19.21714286] ; [78.21714286 39.78285714],0
r4,1,0.56151,0.337096,[54  4] ; [119   6],[54.83060109  3.16939891] ; [118.16939891   6.83060109],0
s6,1,0.569351,0.32377,[47  9] ; [108  16],[48.22222222  7.77777778] ; [106.77777778  17.22222222],0
n2,1,0.575082,0.314253,[13  1] ; [20  3],[12.48648649  1.51351351] ; [20.51351351  2.48648649],0
n4,1,0.65133,0.204228,[48  9] ; [101  23],[46.92265193 10.07734807] ; [102.07734807  21.92265193],0
u3,1,0.71615,0.132212,[9 4] ; [15  5],[9.45454545 3.54545455] ; [14.54545455  5.45454545],0
d4,1,0.723248,0.125402,[52  5] ; [115   9],[52.59116022  4.40883978] ; [114.40883978   9.59116022],0
b4,1,0.775779,0.081125,[37 21] ; [77 48],[36.13114754 21.86885246] ; [77.86885246 47.13114754],0
p3,1,0.779382,0.07847,[36 21] ; [75 48],[35.15 21.85] ; [75.85 47.15],0
v3,1,0.798488,0.06518,[29 29] ; [64 59],[29.80110497 28.19889503] ; [63.19889503 59.80110497],0
d2,1,0.816857,0.053634,[31 27] ; [68 55],[31.72375691 26.27624309] ; [67.27624309 55.72375691],0
s8,1,0.853769,0.033971,[39 19] ; [81 42],[38.45303867 19.54696133] ; [81.54696133 41.45303867],0
r3,1,0.856324,0.032781,[56  2] ; [120   5],[55.78142077  2.21857923] ; [120.21857923   4.78142077],0
n5,1,0.885497,0.020737,[47  9] ; [103  21],[46.66666667  9.33333333] ; [103.33333333  20.66666667],0
p8,1,0.893098,0.018059,[37 19] ; [80 43],[36.60335196 19.39664804] ; [80.39664804 42.60335196],0
p5,1,0.949438,0.004021,[14 43] ; [31 93],[14.17127072 42.82872928] ; [30.82872928 93.17127072],0
s2,1,0.954755,0.003219,[46 12] ; [98 25],[46.14364641 11.85635359] ; [97.85635359 25.14364641],0
v4,1,0.961517,0.002328,[57  1] ; [121   2],[57.03867403  0.96132597] ; [120.96132597   2.03867403],0
d5,1,0.993096,7.5e-05,[51  6] ; [111  13],[51.01657459  5.98342541] ; [110.98342541  13.01657459],0
r1,1,0.99593,2.6e-05,[50  8] ; [106  17],[49.98895028  8.01104972] ; [106.01104972  16.98895028],0
