Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,1e-06,24.701333,[17 10] ; [14 78],[ 7.03361345 19.96638655] ; [23.96638655 68.03361345],1
b5,1,0.717983,0.130434,[15 12] ; [48 45],[14.175 12.825] ; [48.825 44.175],0
b2,1,0.736705,0.113043,[ 8 10] ; [24 36],[ 7.38461538 10.61538462] ; [24.61538462 35.38461538],0
b3,1,0.736705,0.113043,[ 8 10] ; [24 36],[ 7.38461538 10.61538462] ; [24.61538462 35.38461538],0
d4,1,0.749324,0.1021,[18  9] ; [65 28],[18.675  8.325] ; [64.325 28.675],0
n2,1,0.763753,0.090334,[5 4] ; [25 16],[5.4 3.6] ; [24.6 16.4],0
d2,1,0.776938,0.080266,[13 14] ; [41 50],[12.3559322 14.6440678] ; [41.6440678 49.3559322],0
d3,1,0.826955,0.04779,[13 14] ; [47 46],[13.5 13.5] ; [46.5 46.5],0
p1,1,0.843249,0.039101,[ 2 25] ; [ 8 85],[ 2.25 24.75] ; [ 7.75 85.25],0
d1,1,0.869315,0.02707,[12 15] ; [43 50],[12.375 14.625] ; [42.625 50.375],0
n5,1,0.91159,0.012328,[17 10] ; [59 33],[17.24369748  9.75630252] ; [58.75630252 33.24369748],0
n1,1,0.917645,0.010692,[4 5] ; [19 22],[4.14 4.86] ; [18.86 22.14],0
a5,1,0.928886,0.007965,[16 11] ; [56 37],[16.2 10.8] ; [55.8 37.2],0
s4,1,0.953583,0.003388,[ 3 23] ; [11 81],[ 3.08474576 22.91525424] ; [10.91525424 81.08474576],0
