Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.024496,5.059159,[45 16] ; [11 12],[40.66666667 20.33333333] ; [15.33333333  7.66666667],0
b5,1,0.572019,0.319316,[36 25] ; [12 11],[34.85714286 26.14285714] ; [13.14285714  9.85714286],0
a7,1,0.586942,0.295145,[46 15] ; [16  7],[45.02380952 15.97619048] ; [16.97619048  6.02380952],0
n1,1,0.626928,0.23625,[ 5 11] ; [1 4],[ 4.57142857 11.42857143] ; [1.42857143 3.57142857],0
s3,1,0.653131,0.201975,[32 28] ; [11 12],[31.08433735 28.91566265] ; [11.91566265 11.08433735],0
p7,1,0.684482,0.165124,[47 14] ; [16  6],[46.30120482 14.69879518] ; [16.69879518  5.30120482],0
d4,1,0.69007,0.15901,[48 13] ; [19  4],[48.6547619 12.3452381] ; [18.3452381  4.6547619],0
a6,1,0.701055,0.147377,[37 24] ; [15  8],[37.76190476 23.23809524] ; [14.23809524  8.76190476],0
d1,1,0.704844,0.143482,[32 29] ; [11 12],[31.22619048 29.77380952] ; [11.77380952 11.22619048],0
a2,1,0.705032,0.14329,[10 51] ; [ 3 20],[ 9.44047619 51.55952381] ; [ 3.55952381 19.44047619],0
u1,1,0.713394,0.134911,[ 7 54] ; [ 2 21],[ 6.53571429 54.46428571] ; [ 2.46428571 20.53571429],0
r3,1,0.734369,0.115138,[57  4] ; [21  2],[56.64285714  4.35714286] ; [21.35714286  1.64285714],0
d5,1,0.784416,0.07484,[46 15] ; [18  5],[46.47619048 14.52380952] ; [17.52380952  5.47619048],0
r1,1,0.786236,0.07355,[41 19] ; [15  8],[40.48192771 19.51807229] ; [15.51807229  7.48192771],0
d2,1,0.795193,0.067378,[22 39] ; [ 9 14],[22.51190476 38.48809524] ; [ 8.48809524 14.51190476],0
a8,1,0.852258,0.034685,[ 2 53] ; [ 1 21],[ 2.14285714 52.85714286] ; [ 0.85714286 21.14285714],0
p9,1,0.860516,0.030877,[48 12] ; [18  5],[47.71084337 12.28915663] ; [18.28915663  4.71084337],0
u2,1,0.865455,0.028708,[16  9] ; [3 2],[15.83333333  9.16666667] ; [3.16666667 1.83333333],0
b4,1,0.904509,0.014392,[38 23] ; [14  9],[37.76190476 23.23809524] ; [14.23809524  8.76190476],0
p2,1,0.920483,0.009965,[49 11] ; [19  4],[49.15662651 10.84337349] ; [18.84337349  4.15662651],0
p11,1,0.949758,0.00397,[42 19] ; [16  7],[42.11904762 18.88095238] ; [15.88095238  7.11904762],0
p1,1,0.950903,0.003791,[ 8 51] ; [ 3 20],[ 7.91463415 51.08536585] ; [ 3.08536585 19.91463415],0
v3,1,0.965194,0.001904,[15 41] ; [ 6 16],[15.07692308 40.92307692] ; [ 5.92307692 16.07692308],0
