Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b1,1,3e-06,21.899676,[33 17] ; [20 61],[20.22900763 29.77099237] ; [32.77099237 48.22900763],1
r2,1,0.078866,3.088111,[37 12] ; [70 10],[40.64341085  8.35658915] ; [66.35658915 13.64341085],0
u3,1,0.119473,2.424215,[11 11] ; [26 11],[13.79661017  8.20338983] ; [23.20338983 13.79661017],0
b5,1,0.121226,2.401405,[34 16] ; [44 37],[29.77099237 20.22900763] ; [48.22900763 32.77099237],0
s7,1,0.136502,2.21695,[10 35] ; [27 50],[13.64754098 31.35245902] ; [23.35245902 53.64754098],0
s4,1,0.230888,1.435386,[13 37] ; [14 67],[10.30534351 39.69465649] ; [16.69465649 64.30534351],0
u2,1,0.26102,1.263337,[11 11] ; [24 13],[13.05084746  8.94915254] ; [21.94915254 15.05084746],0
v3,1,0.310448,1.028771,[ 9 38] ; [10 70],[ 7.03149606 39.96850394] ; [11.96850394 68.03149606],0
a7,1,0.321353,0.983432,[31 18] ; [58 23],[33.54615385 15.45384615] ; [55.45384615 25.54615385],0
p4,1,0.340146,0.90988,[18 32] ; [36 45],[20.61068702 29.38931298] ; [33.38931298 47.61068702],0
a6,1,0.354668,0.856685,[23 27] ; [44 37],[25.57251908 24.42748092] ; [41.42748092 39.57251908],0
b2,1,0.384064,0.757653,[ 6 22] ; [15 34],[ 7.63636364 20.36363636] ; [13.36363636 35.63636364],0
b3,1,0.384064,0.757653,[ 6 22] ; [15 34],[ 7.63636364 20.36363636] ; [13.36363636 35.63636364],0
p5,1,0.386856,0.7488,[ 1 49] ; [ 4 76],[ 1.92307692 48.07692308] ; [ 3.07692308 76.92307692],0
d3,1,0.422996,0.641975,[28 21] ; [52 29],[30.15384615 18.84615385] ; [49.84615385 31.15384615],0
u1,1,0.428824,0.626007,[ 2 48] ; [ 6 75],[ 3.05343511 46.94656489] ; [ 4.94656489 76.05343511],0
a2,1,0.434154,0.611685,[ 4 46] ; [10 71],[ 5.34351145 44.65648855] ; [ 8.65648855 72.34351145],0
s5,1,0.485006,0.487585,[11 36] ; [23 56],[12.68253968 34.31746032] ; [21.31746032 57.68253968],0
d1,1,0.588781,0.292253,[18 32] ; [33 48],[19.46564885 30.53435115] ; [31.53435115 49.46564885],0
s3,1,0.641711,0.216511,[20 29] ; [36 44],[21.27131783 27.72868217] ; [34.72868217 45.27131783],0
d4,1,0.742066,0.108319,[37 13] ; [62 19],[37.78625954 12.21374046] ; [61.21374046 19.78625954],0
v1,1,0.785039,0.074397,[13 36] ; [23 57],[13.6744186 35.3255814] ; [22.3255814 57.6744186],0
a1,1,0.802934,0.062276,[ 2 48] ; [ 4 77],[ 2.29007634 47.70992366] ; [ 3.70992366 77.29007634],0
n1,1,0.821098,0.051136,[ 5 15] ; [ 7 18],[ 5.33333333 14.66666667] ; [ 6.66666667 18.33333333],0
b4,1,0.823435,0.049787,[30 20] ; [47 34],[29.38931298 20.61068702] ; [47.61068702 33.38931298],0
d2,1,0.867512,0.027829,[18 32] ; [28 53],[17.55725191 32.44274809] ; [28.44274809 52.55725191],0
p3,1,0.911891,0.012244,[19 31] ; [30 51],[18.70229008 31.29770992] ; [30.29770992 50.70229008],0
a3,1,0.930923,0.007514,[27 22] ; [44 37],[26.76153846 22.23846154] ; [44.23846154 36.76153846],0
a4,1,0.937442,0.00616,[17 33] ; [27 54],[16.79389313 33.20610687] ; [27.20610687 53.79389313],0
p1,1,0.939809,0.005702,[ 3 47] ; [ 5 74],[ 3.10077519 46.89922481] ; [ 4.89922481 74.10077519],0
s2,1,0.954361,0.003275,[19 31] ; [30 50],[18.84615385 31.15384615] ; [30.15384615 49.84615385],0
n3,1,0.976305,0.000882,[13  6] ; [17  8],[12.95454545  6.04545455] ; [17.04545455  7.95454545],0
d5,1,0.988326,0.000214,[32 17] ; [53 28],[32.03846154 16.96153846] ; [52.96153846 28.03846154],0
n2,1,1.0,0.0,[12  8] ; [15 10],[12.  8.] ; [15. 10.],0
