Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.003307,8.630008,[4 5] ; [ 1 24],[1.32352941 7.67647059] ; [ 3.67647059 21.32352941],0
n5,1,0.724159,0.124542,[6 3] ; [15 10],[5.55882353 3.44117647] ; [15.44117647  9.55882353],0
d3,1,0.736193,0.113501,[2 7] ; [ 7 18],[2.38235294 6.61764706] ; [ 6.61764706 18.38235294],0
a6,1,0.736193,0.113501,[2 7] ; [ 7 18],[2.38235294 6.61764706] ; [ 6.61764706 18.38235294],0
a3,1,0.773938,0.0825,[3 5] ; [ 8 17],[2.66666667 5.33333333] ; [ 8.33333333 16.66666667],0
s1,1,0.777816,0.079618,[1 8] ; [ 2 23],[0.79411765 8.20588235] ; [ 2.20588235 22.79411765],0
a1,1,0.777816,0.079618,[1 8] ; [ 2 23],[0.79411765 8.20588235] ; [ 2.20588235 22.79411765],0
v2,1,0.804997,0.060952,[2 6] ; [ 5 19],[1.75 6.25] ; [ 5.25 18.75],0
v3,1,0.810088,0.05775,[1 7] ; [ 4 21],[1.21212121 6.78787879] ; [ 3.78787879 21.21212121],0
b5,1,0.854603,0.03358,[4 5] ; [12 13],[4.23529412 4.76470588] ; [11.76470588 13.23529412],0
r2,1,0.885663,0.020677,[5 4] ; [14 10],[5.18181818 3.81818182] ; [13.81818182 10.18181818],0
b4,1,0.885857,0.020606,[6 3] ; [16  9],[5.82352941 3.17647059] ; [16.17647059  8.82352941],0
p6,1,0.913303,0.011853,[1 8] ; [ 3 21],[1.09090909 7.90909091] ; [ 2.90909091 21.09090909],0
p11,1,0.914143,0.011624,[2 7] ; [ 6 19],[2.11764706 6.88235294] ; [ 5.88235294 19.11764706],0
n3,1,1.0,0.0,[3 3] ; [7 7],[3. 3.] ; [7. 7.],0
n2,1,1.0,0.0,[3 3] ; [7 7],[3. 3.] ; [7. 7.],0
