Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,61.584906,[25 77] ; [81 21],[53. 49.] ; [53. 49.],1
b1,1,0.483227,0.491572,[51 53] ; [55 47],[53.51456311 50.48543689] ; [52.48543689 49.51456311],0
s1,1,0.494367,0.467008,[ 5 99] ; [ 7 92],[ 6.14778325 97.85221675] ; [ 5.85221675 93.14778325],0
a1,1,0.49657,0.462259,[  4 100] ; [ 6 96],[ 5.04854369 98.95145631] ; [ 4.95145631 97.04854369],0
a3,1,0.519159,0.415563,[65 36] ; [70 32],[67.16748768 33.83251232] ; [67.83251232 34.16748768],0
n4,1,0.52504,0.403982,[61 43] ; [63 37],[63.21568627 40.78431373] ; [60.78431373 39.21568627],0
n6,1,0.544584,0.367109,[73 31] ; [74 26],[74.94117647 29.05882353] ; [72.05882353 27.94117647],0
a6,1,0.585731,0.297061,[61 43] ; [63 38],[62.90731707 41.09268293] ; [61.09268293 39.90731707],0
b2,1,0.616922,0.250217,[14 37] ; [16 34],[15.14851485 35.85148515] ; [14.85148515 35.14851485],0
b3,1,0.616922,0.250217,[14 37] ; [16 34],[15.14851485 35.85148515] ; [14.85148515 35.14851485],0
b5,1,0.804391,0.061339,[69 35] ; [66 36],[68.15533981 35.84466019] ; [66.84466019 35.15533981],0
n5,1,0.839875,0.040826,[62 42] ; [61 39],[62.70588235 41.29411765] ; [60.29411765 39.70588235],0
p8,1,0.843398,0.039025,[35 67] ; [33 67],[34.33663366 67.66336634] ; [33.66336634 66.33663366],0
n1,1,0.990294,0.000148,[16 25] ; [14 22],[15.97402597 25.02597403] ; [14.02597403 21.97402597],0
