Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,1e-06,24.46487,[ 8 27] ; [30  7],[18.47222222 16.52777778] ; [19.52777778 17.47222222],1
b5,1,0.617661,0.249169,[19 16] ; [24 16],[20.06666667 14.93333333] ; [22.93333333 17.06666667],0
p7,1,0.649417,0.206636,[13 20] ; [17 21],[13.94366197 19.05633803] ; [16.05633803 21.94366197],0
p4,1,0.673392,0.17766,[13 22] ; [13 27],[12.13333333 22.86666667] ; [13.86666667 26.13333333],0
v1,1,0.676675,0.173893,[11 24] ; [13 23],[11.83098592 23.16901408] ; [12.16901408 23.83098592],0
p8,1,0.698736,0.14979,[13 20] ; [14 26],[12.20547945 20.79452055] ; [14.79452055 25.20547945],0
s5,1,0.714435,0.133887,[ 7 27] ; [ 6 29],[ 6.4057971 27.5942029] ; [ 6.5942029 28.4057971],0
d4,1,0.763164,0.090799,[27  8] ; [32  8],[27.53333333  7.46666667] ; [31.46666667  8.53333333],0
s3,1,0.769607,0.085784,[13 21] ; [15 21],[13.6 20.4] ; [14.4 21.6],0
p10,1,0.842613,0.039423,[21 13] ; [22 15],[20.5915493 13.4084507] ; [22.4084507 14.5915493],0
n3,1,0.848698,0.036397,[9 8] ; [9 7],[9.27272727 7.72727273] ; [8.72727273 7.27272727],0
b1,1,0.852043,0.034787,[15 20] ; [18 22],[15.4 19.6] ; [17.6 22.4],0
s2,1,0.875712,0.024463,[11 24] ; [11 26],[10.69444444 24.30555556] ; [11.30555556 25.69444444],0
d1,1,0.901748,0.015241,[17 18] ; [20 20],[17.26666667 17.73333333] ; [19.73333333 20.26666667],0
r2,1,0.922489,0.009467,[21 13] ; [20 13],[20.80597015 13.19402985] ; [20.19402985 12.80597015],0
p12,1,0.938137,0.006024,[ 1 34] ; [ 1 38],[ 0.94594595 34.05405405] ; [ 1.05405405 37.94594595],0
d3,1,0.956001,0.003044,[24 10] ; [28 12],[23.89189189 10.10810811] ; [28.10810811 11.89189189],0
p6,1,0.963608,0.002082,[ 8 26] ; [ 9 30],[ 7.91780822 26.08219178] ; [ 9.08219178 29.91780822],0
b4,1,0.975112,0.000973,[20 15] ; [23 17],[20.06666667 14.93333333] ; [22.93333333 17.06666667],0
r1,1,0.988976,0.000191,[11 24] ; [12 26],[11.02739726 23.97260274] ; [11.97260274 26.02739726],0
