Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.009984,6.637781,[94  9] ; [26  9],[89.56521739 13.43478261] ; [30.43478261  4.56521739],0
p1,1,0.629692,0.232479,[ 5 97] ; [ 1 33],[ 4.5 97.5] ; [ 1.5 32.5],0
a1,1,0.646344,0.210541,[ 4 99] ; [ 2 33],[ 4.47826087 98.52173913] ; [ 1.52173913 33.47826087],0
r1,1,0.652743,0.20246,[74 28] ; [24 11],[72.96350365 29.03649635] ; [25.03649635  9.96350365],0
p6,1,0.652894,0.202271,[33 68] ; [10 25],[31.93382353 69.06617647] ; [11.06617647 23.93382353],0
n1,1,0.659658,0.193939,[ 5 17] ; [3 7],[ 5.5 16.5] ; [2.5 7.5],0
p2,1,0.697452,0.151136,[82 21] ; [26  8],[81.19708029 21.80291971] ; [26.80291971  7.19708029],0
p3,1,0.70309,0.145277,[45 58] ; [14 21],[44.03623188 58.96376812] ; [14.96376812 20.03623188],0
d2,1,0.749768,0.101726,[41 61] ; [13 22],[40.20437956 61.79562044] ; [13.79562044 21.20437956],0
p11,1,0.772787,0.083366,[80 23] ; [28  7],[80.60869565 22.39130435] ; [27.39130435  7.60869565],0
p10,1,0.782447,0.076248,[84 19] ; [27  7],[83.45255474 19.54744526] ; [27.54744526  6.45255474],0
p12,1,0.842266,0.039599,[10 93] ; [ 3 32],[ 9.70289855 93.29710145] ; [ 3.29710145 31.70289855],0
p5,1,0.85207,0.034774,[ 7 96] ; [ 2 32],[ 6.76642336 96.23357664] ; [ 2.23357664 31.76642336],0
n2,1,0.862667,0.029922,[17  5] ; [8 2],[17.1875  4.8125] ; [7.8125 2.1875],0
v3,1,0.913631,0.011764,[33 66] ; [11 21],[33.2519084 65.7480916] ; [10.7480916 21.2519084],0
v2,1,0.922023,0.009582,[47 48] ; [16 17],[46.7578125 48.2421875] ; [16.2421875 16.7578125],0
r2,1,0.963691,0.002072,[93  9] ; [32  3],[93.06569343  8.93430657] ; [31.93430657  3.06569343],0
p7,1,0.985583,0.000327,[59 41] ; [20 14],[58.95522388 41.04477612] ; [20.04477612 13.95522388],0
b4,1,0.988567,0.000205,[59 44] ; [20 15],[58.96376812 44.03623188] ; [20.03623188 14.96376812],0
