Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,5e-06,20.764447,[33 25] ; [117  18],[45.07772021 12.92227979] ; [104.92227979  30.07772021],1
p4,1,0.629095,0.23329,[47 13] ; [113  26],[48.24120603 11.75879397] ; [111.75879397  27.24120603],0
b1,1,0.633579,0.227238,[25 35] ; [63 76],[26.53266332 33.46733668] ; [61.46733668 77.53266332],0
d3,1,0.636608,0.223206,[46 13] ; [104  35],[44.6969697 14.3030303] ; [105.3030303  33.6969697],0
n2,1,0.686225,0.163202,[11  2] ; [19  5],[10.54054054  2.45945946] ; [19.45945946  4.54054054],0
a4,1,0.724489,0.124232,[34 26] ; [75 64],[32.86432161 27.13567839] ; [76.13567839 62.86432161],0
r3,1,0.812386,0.056335,[56  3] ; [133   6],[56.31818182  2.68181818] ; [132.68181818   6.31818182],0
p7,1,0.871471,0.026176,[50  9] ; [114  22],[49.62051282  9.37948718] ; [114.37948718  21.62051282],0
a6,1,0.897921,0.016458,[39 21] ; [91 47],[39.39393939 20.60606061] ; [90.60606061 47.39393939],0
a2,1,0.943092,0.005096,[18 42] ; [41 98],[17.78894472 42.21105528] ; [41.21105528 97.78894472],0
a1,1,0.94465,0.00482,[ 5 55] ; [ 12 127],[ 5.12562814 54.87437186] ; [ 11.87437186 127.12562814],0
u2,1,1.0,0.0,[12  6] ; [18  9],[12.  6.] ; [18.  9.],0
