Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,7.3e-05,15.732841,[ 37 117] ; [19 13],[ 46.3655914 107.6344086] ; [ 9.6344086 22.3655914],1
r3,1,0.82269,0.050215,[138  16] ; [30  3],[138.35294118  15.64705882] ; [29.64705882  3.35294118],0
s1,1,0.840997,0.040248,[  8 146] ; [ 2 31],[  8.23529412 145.76470588] ; [ 1.76470588 31.23529412],0
b5,1,0.872494,0.025758,[91 63] ; [19 14],[90.58823529 63.41176471] ; [19.41176471 13.58823529],0
u2,1,0.879734,0.022894,[33 30] ; [6 6],[32.76 30.24] ; [6.24 5.76],0
r1,1,0.904254,0.01447,[105  48] ; [23 10],[105.29032258  47.70967742] ; [22.70967742 10.29032258],0
b1,1,0.907696,0.013443,[59 95] ; [13 20],[59.29411765 94.70588235] ; [12.70588235 20.29411765],0
d1,1,0.910055,0.012762,[73 81] ; [16 17],[73.29411765 80.70588235] ; [15.70588235 17.29411765],0
n2,1,0.919245,0.010279,[31 19] ; [7 4],[31.14754098 18.85245902] ; [6.85245902 4.14754098],0
d5,1,0.921664,0.00967,[112  42] ; [23  9],[111.77419355  42.22580645] ; [23.22580645  8.77419355],0
p5,1,0.939275,0.005804,[  5 147] ; [ 1 32],[  4.92972973 147.07027027] ; [ 1.07027027 31.92972973],0
p12,1,0.939275,0.005804,[  5 147] ; [ 1 32],[  4.92972973 147.07027027] ; [ 1.07027027 31.92972973],0
b2,1,0.950263,0.003891,[20 54] ; [ 5 14],[19.89247312 54.10752688] ; [ 5.10752688 13.89247312],0
b3,1,0.950263,0.003891,[20 54] ; [ 5 14],[19.89247312 54.10752688] ; [ 5.10752688 13.89247312],0
