Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1e-06,24.625008,[ 6 20] ; [65 20],[16.63063063  9.36936937] ; [54.36936937 30.63063063],1
s4,1,0.453015,0.563097,[ 7 19] ; [17 68],[ 5.62162162 20.37837838] ; [18.37837838 66.62162162],0
d1,1,0.456491,0.554484,[ 8 18] ; [33 52],[ 9.6036036 16.3963964] ; [31.3963964 53.6036036],0
s3,1,0.460254,0.545277,[15 11] ; [41 42],[13.35779817 12.64220183] ; [42.64220183 40.35779817],0
a1,1,0.463996,0.536239,[ 3 23] ; [ 6 79],[ 2.10810811 23.89189189] ; [ 6.89189189 78.10810811],0
s5,1,0.472565,0.515972,[ 5 20] ; [22 59],[ 6.36792453 18.63207547] ; [20.63207547 60.36792453],0
n1,1,0.475703,0.508698,[5 5] ; [10 17],[4.05405405 5.94594595] ; [10.94594595 16.05405405],0
s7,1,0.493016,0.469938,[ 9 16] ; [35 45],[10.47619048 14.52380952] ; [33.52380952 46.47619048],0
p6,1,0.507562,0.439091,[ 9 15] ; [37 45],[10.41509434 13.58490566] ; [35.58490566 46.41509434],0
a8,1,0.509055,0.436009,[ 3 23] ; [ 6 75],[ 2.18691589 23.81308411] ; [ 6.81308411 74.18691589],0
d4,1,0.526156,0.40181,[16 10] ; [58 27],[17.33333333  8.66666667] ; [56.66666667 28.33333333],0
b5,1,0.549501,0.358211,[17  9] ; [50 35],[15.69369369 10.30630631] ; [51.30630631 33.69369369],0
a2,1,0.558417,0.342452,[ 2 24] ; [10 75],[ 2.81081081 23.18918919] ; [ 9.18918919 75.81081081],0
v2,1,0.561721,0.336733,[11 15] ; [41 43],[12.29090909 13.70909091] ; [39.70909091 44.29090909],0
a6,1,0.577253,0.310697,[14 12] ; [51 34],[15.22522523 10.77477477] ; [49.77477477 35.22522523],0
p12,1,0.581798,0.303337,[ 1 24] ; [ 6 79],[ 1.59090909 23.40909091] ; [ 5.40909091 79.59090909],0
a3,1,0.608029,0.263054,[14 12] ; [50 34],[15.12727273 10.87272727] ; [48.87272727 35.12727273],0
d2,1,0.698952,0.149565,[ 9 17] ; [26 59],[ 8.1981982 17.8018018] ; [26.8018018 58.1981982],0
s2,1,0.748525,0.102774,[11 15] ; [39 46],[11.71171171 14.28828829] ; [38.28828829 46.71171171],0
p4,1,0.779125,0.078658,[15 10] ; [53 31],[15.59633028  9.40366972] ; [52.40366972 31.59633028],0
s6,1,0.799876,0.064266,[15 11] ; [49 32],[15.55140187 10.44859813] ; [48.44859813 32.55140187],0
s1,1,0.853259,0.034211,[ 1 25] ; [ 4 81],[ 1.17117117 24.82882883] ; [ 3.82882883 81.17117117],0
p5,1,0.901219,0.015406,[ 3 22] ; [11 74],[ 3.18181818 21.81818182] ; [10.81818182 74.18181818],0
n2,1,0.931859,0.007311,[8 3] ; [20  7],[8.10526316 2.89473684] ; [19.89473684  7.10526316],0
