Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,2e-05,18.181658,[61 28] ; [281  40],[74.23902439 14.76097561] ; [267.76097561  53.23902439],1
b5,1,0.192608,1.697554,[57 32] ; [182 141],[51.62864078 37.37135922] ; [187.37135922 135.62864078],0
a2,1,0.23441,1.4139,[21 68] ; [ 97 226],[25.49029126 63.50970874] ; [ 92.50970874 230.49029126],0
p6,1,0.252824,1.307632,[45 42] ; [143 176],[40.28571429 46.71428571] ; [147.71428571 171.28571429],0
p4,1,0.254541,1.298209,[55 34] ; [219 102],[59.47804878 29.52195122] ; [214.52195122 106.47804878],0
a1,1,0.264192,1.246656,[ 3 86] ; [ 21 302],[ 5.18446602 83.81553398] ; [ 18.81553398 304.18446602],0
a7,1,0.310087,1.030307,[59 30] ; [232  91],[62.86165049 26.13834951] ; [228.13834951  94.86165049],0
a3,1,0.360342,0.836702,[70 19] ; [266  55],[72.93658537 16.06341463] ; [263.06341463  57.93658537],0
n2,1,0.390635,0.736965,[19  3] ; [53 15],[17.6  4.4] ; [54.4 13.6],0
p7,1,0.40318,0.698822,[62 22] ; [217  97],[58.88442211 25.11557789] ; [220.11557789  93.88442211],0
d4,1,0.446931,0.578423,[73 16] ; [273  47],[75.29095355 13.70904645] ; [270.70904645  49.29095355],0
p8,1,0.479074,0.500972,[51 35] ; [175 143],[48.10891089 37.89108911] ; [177.89108911 140.10891089],0
a4,1,0.498662,0.457783,[42 47] ; [165 157],[44.82481752 44.17518248] ; [162.17518248 159.82481752],0
p3,1,0.498726,0.457646,[48 41] ; [186 135],[50.79512195 38.20487805] ; [183.20487805 137.79512195],0
p11,1,0.517525,0.418822,[68 21] ; [257  66],[70.20631068 18.79368932] ; [254.79368932  68.20631068],0
u2,1,0.521121,0.411674,[11  8] ; [37 19],[12.16  6.84] ; [35.84 20.16],0
s8,1,0.540314,0.374959,[59 30] ; [223  97],[61.36430318 27.63569682] ; [220.63569682  99.36430318],0
d2,1,0.604566,0.268165,[48 41] ; [183 138],[50.14390244 38.85609756] ; [180.85609756 140.14390244],0
s1,1,0.610706,0.259149,[ 5 83] ; [ 14 305],[ 4.10810811 83.89189189] ; [ 14.89189189 304.10810811],0
a6,1,0.657384,0.196718,[57 32] ; [213 107],[58.75305623 30.24694377] ; [211.24694377 108.75305623],0
b4,1,0.765109,0.089269,[52 37] ; [183 140],[50.76456311 38.23543689] ; [184.23543689 138.76456311],0
p12,1,0.776349,0.080702,[ 8 81] ; [ 32 288],[ 8.70415648 80.29584352] ; [ 31.29584352 288.70415648],0
p9,1,0.818241,0.052812,[78  9] ; [285  36],[77.40441176  9.59558824] ; [285.59558824  35.40441176],0
p1,1,0.862103,0.030171,[10 79] ; [ 34 287],[ 9.55121951 79.44878049] ; [ 34.44878049 286.55121951],0
d1,1,0.865205,0.028816,[57 32] ; [210 113],[57.67718447 31.32281553] ; [209.32281553 113.67718447],0
u1,1,0.911495,0.012355,[22 67] ; [ 78 245],[21.60194175 67.39805825] ; [ 78.39805825 244.60194175],0
p10,1,0.916639,0.010956,[75 13] ; [275  46],[75.30562347 12.69437653] ; [274.69437653  46.30562347],0
d5,1,0.94792,0.004267,[74 15] ; [267  53],[74.20293399 14.79706601] ; [266.79706601  53.20293399],0
p2,1,0.962825,0.002172,[75 14] ; [272  50],[75.14111922 13.85888078] ; [271.85888078  50.14111922],0
b1,1,0.999051,1e-06,[35 54] ; [127 196],[34.99514563 54.00485437] ; [127.00485437 195.99514563],0
u3,1,1.0,0.0,[13  6] ; [39 18],[13.  6.] ; [39. 18.],0
