Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.0,40.8,[22 42] ; [63  9],[40. 24.] ; [45. 27.],1
a4,1,0.293055,1.105532,[28 36] ; [38 34],[31.05882353 32.94117647] ; [34.94117647 37.05882353],0
n4,1,0.323135,0.976215,[49 15] ; [60 12],[51.29411765 12.70588235] ; [57.70588235 14.29411765],0
a6,1,0.340762,0.907563,[37 26] ; [48 24],[39.66666667 23.33333333] ; [45.33333333 26.66666667],0
s6,1,0.379147,0.773467,[42 20] ; [53 18],[44.28571429 17.71428571] ; [50.71428571 20.28571429],0
u3,1,0.392147,0.732274,[9 7] ; [12  5],[10.18181818  5.81818182] ; [10.81818182  6.18181818],0
b1,1,0.397104,0.717078,[23 41] ; [31 41],[25.41176471 38.58823529] ; [28.58823529 43.41176471],0
s4,1,0.427491,0.62963,[14 50] ; [20 52],[16. 48.] ; [18. 54.],0
p1,1,0.458524,0.549495,[ 4 60] ; [ 7 65],[ 5.17647059 58.82352941] ; [ 5.82352941 66.17647059],0
b4,1,0.458524,0.549495,[36 28] ; [45 27],[38.11764706 25.88235294] ; [42.88235294 29.11764706],0
u1,1,0.462526,0.539774,[11 53] ; [16 56],[12.70588235 51.29411765] ; [14.29411765 57.70588235],0
a2,1,0.4711,0.519394,[16 48] ; [22 50],[17.88235294 46.11764706] ; [20.11764706 51.88235294],0
n3,1,0.502927,0.448754,[17  8] ; [5 4],[16.17647059  8.82352941] ; [5.82352941 3.17647059],0
n1,1,0.502944,0.448718,[12 14] ; [3 6],[11.14285714 14.85714286] ; [3.85714286 5.14285714],0
d2,1,0.564987,0.331142,[31 32] ; [39 33],[32.66666667 30.33333333] ; [37.33333333 34.66666667],0
r2,1,0.607976,0.263133,[59  3] ; [67  5],[58.29850746  3.70149254] ; [67.70149254  4.29850746],0
a3,1,0.736677,0.113069,[48 16] ; [55 16],[48.82962963 15.17037037] ; [54.17037037 16.82962963],0
a8,1,0.752225,0.09967,[10 48] ; [10 56],[ 9.35483871 48.64516129] ; [10.64516129 55.35483871],0
u2,1,0.754725,0.097603,[8 7] ; [10  7],[8.4375 6.5625] ; [9.5625 7.4375],0
a1,1,0.819117,0.052295,[ 3 61] ; [ 4 68],[ 3.29411765 60.70588235] ; [ 3.70588235 68.29411765],0
a7,1,0.820359,0.051567,[46 18] ; [53 19],[46.58823529 17.41176471] ; [52.41176471 19.58823529],0
a5,1,0.820359,0.051567,[46 18] ; [53 19],[46.58823529 17.41176471] ; [52.41176471 19.58823529],0
n2,1,0.846667,0.037393,[21  5] ; [7 2],[20.8  5.2] ; [7.2 1.8],0
s2,1,0.901948,0.015179,[38 26] ; [42 30],[37.64705882 26.35294118] ; [42.35294118 29.64705882],0
d1,1,0.919077,0.010322,[35 29] ; [40 32],[35.29411765 28.70588235] ; [39.70588235 32.29411765],0
b5,1,0.951462,0.003705,[35 29] ; [39 33],[34.82352941 29.17647059] ; [39.17647059 32.82352941],0
s3,1,0.961619,0.002316,[39 23] ; [45 27],[38.86567164 23.13432836] ; [45.13432836 26.86567164],0
b2,1,0.976524,0.000866,[15 27] ; [17 31],[14.93333333 27.06666667] ; [17.06666667 30.93333333],0
b3,1,0.976524,0.000866,[15 27] ; [17 31],[14.93333333 27.06666667] ; [17.06666667 30.93333333],0
