Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u3,1,0.006745,7.339627,[3 8] ; [10  2],[6.2173913 4.7826087] ; [6.7826087 5.2173913],0
v4,1,0.695817,0.15286,[27  5] ; [22  3],[27.50877193  4.49122807] ; [21.49122807  3.50877193],0
u1,1,0.705808,0.1425,[ 4 28] ; [ 4 21],[ 4.49122807 27.50877193] ; [ 3.50877193 21.49122807],0
p5,1,0.708281,0.14,[ 3 29] ; [ 3 21],[ 3.42857143 28.57142857] ; [ 2.57142857 21.42857143],0
a7,1,0.721903,0.126677,[19 13] ; [16  9],[19.64912281 12.35087719] ; [15.35087719  9.64912281],0
n4,1,0.725631,0.123161,[23  9] ; [19  6],[23.57894737  8.42105263] ; [18.42105263  6.57894737],0
s1,1,0.748632,0.102684,[ 3 29] ; [ 3 22],[ 3.36842105 28.63157895] ; [ 2.63157895 22.36842105],0
p7,1,0.749217,0.10219,[18 14] ; [13 12],[17.40350877 14.59649123] ; [13.59649123 11.40350877],0
n5,1,0.790131,0.070831,[22 10] ; [18  7],[22.45614035  9.54385965] ; [17.54385965  7.45614035],0
p12,1,0.797444,0.065873,[ 2 30] ; [ 2 23],[ 2.24561404 29.75438596] ; [ 1.75438596 23.24561404],0
r2,1,0.855508,0.033159,[29  3] ; [23  2],[29.19298246  2.80701754] ; [22.80701754  2.19298246],0
a1,1,0.855508,0.033159,[ 3 29] ; [ 2 23],[ 2.80701754 29.19298246] ; [ 2.19298246 22.80701754],0
b1,1,0.880862,0.022463,[16 16] ; [12 13],[15.71929825 16.28070175] ; [12.28070175 12.71929825],0
d2,1,0.930749,0.007552,[14 17] ; [11 14],[13.83928571 17.16071429] ; [11.16071429 13.83928571],0
d5,1,0.9518,0.003654,[22 10] ; [17  8],[21.89473684 10.10526316] ; [17.10526316  7.89473684],0
a6,1,0.961934,0.002278,[19 13] ; [15 10],[19.0877193 12.9122807] ; [14.9122807 10.0877193],0
r4,1,0.969267,0.001484,[27  5] ; [21  4],[26.94736842  5.05263158] ; [21.05263158  3.94736842],0
d4,1,0.991685,0.000109,[23  9] ; [18  7],[23.01754386  8.98245614] ; [17.98245614  7.01754386],0
a5,1,0.991685,0.000109,[23  9] ; [18  7],[23.01754386  8.98245614] ; [17.98245614  7.01754386],0
