Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v1,1,2e-06,22.54902,[93 69] ; [ 75 151],[70.1443299 91.8556701] ; [ 97.8556701 128.1443299],1
p9,1,0.189399,1.722288,[138  27] ; [177  49],[132.92838875  32.07161125] ; [182.07161125  43.92838875],0
p11,1,0.19897,1.649916,[128  39] ; [163  67],[122.41057935  44.58942065] ; [168.58942065  61.41057935],0
n3,1,0.206827,1.593495,[31  7] ; [45 19],[28.31372549  9.68627451] ; [47.68627451 16.31372549],0
d1,1,0.216788,1.525509,[99 68] ; [122 108],[92.96473552 74.03526448] ; [128.03526448 101.96473552],0
s1,1,0.220313,1.502333,[  4 161] ; [ 11 217],[  6.29770992 158.70229008] ; [  8.70229008 219.29770992],0
n6,1,0.220984,1.497972,[138  28] ; [179  50],[133.22025316  32.77974684] ; [183.77974684  45.22025316],0
d2,1,0.222207,1.490063,[80 87] ; [ 96 134],[74.03526448 92.96473552] ; [101.96473552 128.03526448],0
p10,1,0.254101,1.300616,[131  34] ; [169  58],[126.2755102  38.7244898] ; [173.7244898  53.2755102],0
s8,1,0.31996,0.989112,[ 65 102] ; [ 78 151],[ 60.30555556 106.69444444] ; [ 82.69444444 146.30555556],0
p7,1,0.335131,0.92897,[102  63] ; [127  96],[97.38402062 67.61597938] ; [131.61597938  91.38402062],0
p8,1,0.335894,0.92604,[75 89] ; [115 112],[79.69309463 84.30690537] ; [110.30690537 116.69309463],0
a2,1,0.335976,0.925726,[ 44 123] ; [ 51 179],[ 39.96221662 127.03778338] ; [ 55.03778338 174.96221662],0
s2,1,0.339572,0.912046,[82 84] ; [102 127],[77.32658228 88.67341772] ; [106.67341772 122.32658228],0
n4,1,0.359664,0.839066,[123  44] ; [159  70],[118.92424242  48.07575758] ; [163.07575758  65.92424242],0
s5,1,0.360269,0.836957,[ 50 111] ; [ 60 164],[ 46. 115.] ; [ 64. 160.],0
r4,1,0.420657,0.648479,[147  20] ; [196  34],[144.28463476  22.71536524] ; [198.71536524  31.28463476],0
p4,1,0.428719,0.626291,[99 67] ; [128 102],[95.15656566 70.84343434] ; [131.84343434  98.15656566],0
a4,1,0.464755,0.534419,[71 96] ; [ 89 140],[67.47474747 99.52525253] ; [ 92.52525253 136.47474747],0
v4,1,0.500118,0.454685,[155  10] ; [212  18],[153.30379747  11.69620253] ; [213.69620253  16.30379747],0
p1,1,0.511445,0.431109,[  9 158] ; [ 16 212],[ 10.56962025 156.43037975] ; [ 14.43037975 213.56962025],0
r2,1,0.55649,0.345818,[151  11] ; [207  19],[149.4742268  12.5257732] ; [208.5257732  17.4742268],0
p5,1,0.568137,0.325809,[ 12 155] ; [ 20 208],[ 13.52911392 153.47088608] ; [ 18.47088608 209.52911392],0
a8,1,0.647818,0.208662,[ 23 125] ; [ 30 187],[ 21.49041096 126.50958904] ; [ 31.50958904 185.49041096],0
b5,1,0.713189,0.135112,[109  58] ; [146  84],[107.26700252  59.73299748] ; [147.73299748  82.26700252],0
s4,1,0.759561,0.093671,[ 31 135] ; [ 45 181],[ 32.18367347 133.81632653] ; [ 43.81632653 182.18367347],0
p2,1,0.763636,0.090426,[136  31] ; [190  40],[137.13350126  29.86649874] ; [188.86649874  41.13350126],0
b4,1,0.826437,0.048081,[94 73] ; [132  98],[95.06801008 71.93198992] ; [130.93198992  99.06801008],0
n5,1,0.827295,0.047599,[112  52] ; [154  75],[111.00254453  52.99745547] ; [154.99745547  74.00254453],0
a1,1,0.868789,0.02729,[  6 161] ; [  9 221],[  6.30982368 160.69017632] ; [  8.69017632 221.30982368],0
u3,1,0.885808,0.020624,[27 19] ; [48 32],[27.38095238 18.61904762] ; [47.61904762 32.38095238],0
b1,1,0.90194,0.015181,[ 62 105] ; [ 84 146],[ 61.41561713 105.58438287] ; [ 84.58438287 145.41561713],0
p12,1,0.903184,0.014796,[  7 160] ; [  9 219],[  6.76455696 160.23544304] ; [  9.23544304 218.76455696],0
s3,1,0.956346,0.002996,[86 80] ; [118 111],[85.73164557 80.26835443] ; [118.26835443 110.73164557],0
b2,1,0.970047,0.00141,[32 67] ; [42 87],[32.13157895 66.86842105] ; [41.86842105 87.13157895],0
b3,1,0.970047,0.00141,[32 67] ; [42 87],[32.13157895 66.86842105] ; [41.86842105 87.13157895],0
u2,1,0.978767,0.000708,[24 21] ; [43 38],[23.92857143 21.07142857] ; [43.07142857 37.92857143],0
