Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.0,42.0,[27  5] ; [15 65],[12. 20.] ; [30. 50.],1
b1,1,0.471063,0.519481,[18 18] ; [36 48],[16.2 19.8] ; [37.8 46.2],0
n1,1,0.641581,0.21668,[5 6] ; [12 20],[4.34883721 6.65116279] ; [12.65116279 19.34883721],0
p7,1,0.677246,0.173242,[12 22] ; [26 57],[11.04273504 22.95726496] ; [26.95726496 56.04273504],0
a1,1,0.690328,0.15873,[ 3 33] ; [ 9 75],[ 3.6 32.4] ; [ 8.4 75.6],0
u3,1,0.707852,0.140432,[7 5] ; [14 13],[6.46153846 5.53846154] ; [14.53846154 12.46153846],0
p8,1,0.719313,0.129152,[ 8 28] ; [21 62],[ 8.77310924 27.22689076] ; [20.22689076 62.77310924],0
s4,1,0.756494,0.096155,[ 7 29] ; [14 68],[ 6.40677966 29.59322034] ; [14.59322034 67.40677966],0
a3,1,0.759015,0.09411,[24 12] ; [57 25],[24.71186441 11.28813559] ; [56.28813559 25.71186441],0
n3,1,0.803075,0.062185,[7 4] ; [19 13],[6.65116279 4.34883721] ; [19.34883721 12.65116279],0
p1,1,0.835927,0.042893,[ 3 33] ; [ 8 76],[ 3.3 32.7] ; [ 7.7 76.3],0
a8,1,0.955683,0.003088,[ 4 29] ; [10 70],[ 4.08849558 28.91150442] ; [ 9.91150442 70.08849558],0
