Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.00134,10.286453,[6 7] ; [555 126],[10.50864553  2.49135447] ; [550.49135447 130.50864553],0
n4,1,0.234171,1.415348,[12  1] ; [537 145],[10.26906475  2.73093525] ; [538.73093525 143.26906475],0
s2,1,0.295347,1.095088,[8 5] ; [319 361],[6.13419913 6.86580087] ; [320.86580087 359.13419913],0
p10,1,0.300759,1.070828,[9 4] ; [544 130],[10.4643377  2.5356623] ; [542.5356623 131.4643377],0
s8,1,0.310529,1.028426,[7 5] ; [297 383],[5.2716763 6.7283237] ; [298.7283237 381.2716763],0
p4,1,0.327662,0.958114,[6 7] ; [403 273],[7.71698113 5.28301887] ; [401.28301887 274.71698113],0
u2,1,0.338155,0.917412,[1 2] ; [120  78],[1.80597015 1.19402985] ; [119.19402985  78.80597015],0
a3,1,0.347024,0.884309,[10  2] ; [483 198],[8.53679654 3.46320346] ; [484.46320346 196.53679654],0
p12,1,0.347351,0.883113,[ 2 11] ; [ 55 621],[ 1.0754717 11.9245283] ; [ 55.9245283 620.0754717],0
s1,1,0.354073,0.858806,[ 1 12] ; [ 21 652],[ 0.41690962 12.58309038] ; [ 21.58309038 651.41690962],0
u1,1,0.358501,0.843136,[ 1 12] ; [119 565],[ 2.23816356 10.76183644] ; [117.76183644 566.23816356],0
p3,1,0.400921,0.705562,[8 5] ; [338 341],[6.5 6.5] ; [339.5 339.5],0
n6,1,0.421714,0.645533,[12  1] ; [572 108],[10.95526696  2.04473304] ; [573.04473304 106.95526696],0
s6,1,0.440391,0.595264,[9 3] ; [433 241],[7.73177843 4.26822157] ; [434.26822157 239.73177843],0
n2,1,0.473915,0.512832,[6 1] ; [103  37],[5.19047619 1.80952381] ; [103.80952381  36.19047619],0
b2,1,0.506279,0.441749,[3 7] ; [171 252],[4.01847575 5.98152425] ; [169.98152425 253.01847575],0
b3,1,0.506279,0.441749,[3 7] ; [171 252],[4.01847575 5.98152425] ; [169.98152425 253.01847575],0
b5,1,0.517763,0.418348,[9 4] ; [413 271],[7.87087518 5.12912482] ; [414.12912482 269.87087518],0
v3,1,0.531671,0.391197,[4 8] ; [276 376],[5.06024096 6.93975904] ; [274.93975904 377.06024096],0
a1,1,0.589674,0.290854,[ 1 12] ; [ 31 653],[ 0.59684362 12.40315638] ; [ 31.40315638 652.59684362],0
n3,1,0.622316,0.242625,[4 2] ; [105  34],[4.51034483 1.48965517] ; [104.48965517  34.51034483],0
a5,1,0.692668,0.156212,[9 4] ; [506 177],[9.61925287 3.38074713] ; [505.38074713 177.61925287],0
a7,1,0.704432,0.143903,[9 4] ; [504 178],[9.59568345 3.40431655] ; [503.40431655 178.59568345],0
p6,1,0.730806,0.118373,[4 9] ; [237 433],[4.58711567 8.41288433] ; [236.41288433 433.58711567],0
s7,1,0.914866,0.011428,[5 6] ; [306 344],[5.17549168 5.82450832] ; [305.82450832 344.17549168],0
r1,1,0.933384,0.006987,[11  2] ; [581  99],[11.10533911  1.89466089] ; [580.89466089  99.10533911],0
s3,1,0.947658,0.00431,[6 5] ; [362 314],[5.8922853 5.1077147] ; [362.1077147 313.8922853],0
v1,1,0.949054,0.004083,[7 6] ; [364 301],[7.11356932 5.88643068] ; [363.88643068 301.11356932],0
p9,1,0.953827,0.003353,[10  2] ; [565 108],[10.0729927  1.9270073] ; [564.9270073 108.0729927],0
