Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,2e-06,23.098458,[117  27] ; [82 67],[97.80204778 46.19795222] ; [101.19795222  47.80204778],1
b3,1,0.154107,2.03112,[52 53] ; [43 65],[46.83098592 58.16901408] ; [48.16901408 59.83098592],0
b2,1,0.154107,2.03112,[52 53] ; [43 65],[46.83098592 58.16901408] ; [48.16901408 59.83098592],0
r1,1,0.15931,1.980768,[118  26] ; [130  18],[122.30136986  21.69863014] ; [125.69863014  22.30136986],0
u1,1,0.160747,1.967185,[ 43 101] ; [ 34 116],[ 37.71428571 106.28571429] ; [ 39.28571429 110.71428571],0
s4,1,0.162328,1.952402,[ 34 108] ; [ 26 124],[ 29.17808219 112.82191781] ; [ 30.82191781 119.17808219],0
s3,1,0.190614,1.712863,[109  34] ; [122  26],[113.51546392  29.48453608] ; [117.48453608  30.51546392],0
n2,1,0.198579,1.652791,[19  9] ; [31  7],[21.21212121  6.78787879] ; [28.78787879  9.21212121],0
d1,1,0.220096,1.503744,[100  44] ; [94 56],[95.02040816 48.97959184] ; [98.97959184 51.02040816],0
u2,1,0.223665,1.4807,[20  6] ; [14  9],[18.04081633  7.95918367] ; [15.95918367  7.04081633],0
u3,1,0.256039,1.290047,[21  5] ; [16  8],[19.24  6.76] ; [17.76  6.24],0
s2,1,0.259706,1.270325,[117  27] ; [113  36],[113.03754266  30.96245734] ; [116.96245734  32.03754266],0
s6,1,0.274246,1.195383,[122  19] ; [135  14],[124.95517241  16.04482759] ; [132.04482759  16.95517241],0
d3,1,0.290408,1.11773,[106  38] ; [102  48],[101.87755102  42.12244898] ; [106.12244898  43.87755102],0
d2,1,0.325316,0.967454,[85 59] ; [80 70],[80.81632653 63.18367347] ; [84.18367347 65.81632653],0
d5,1,0.34935,0.875818,[123  20] ; [123  27],[120.06143345  22.93856655] ; [125.93856655  24.06143345],0
d4,1,0.40471,0.694288,[125  18] ; [126  24],[122.50170648  20.49829352] ; [128.49829352  21.50170648],0
b4,1,0.430226,0.622213,[75 69] ; [85 65],[78.36734694 65.63265306] ; [81.63265306 68.36734694],0
a6,1,0.433288,0.613995,[93 50] ; [104  46],[96.14675768 46.85324232] ; [100.85324232  49.14675768],0
v2,1,0.492494,0.471073,[91 51] ; [86 57],[88.18947368 53.81052632] ; [88.81052632 54.18947368],0
b5,1,0.501417,0.451935,[90 54] ; [88 62],[87.18367347 56.81632653] ; [90.81632653 59.18367347],0
s1,1,0.531222,0.392053,[  7 137] ; [  5 142],[  5.93814433 138.06185567] ; [  6.06185567 140.93814433],0
a5,1,0.561903,0.336421,[119  25] ; [120  30],[117.06122449  26.93877551] ; [121.93877551  28.06122449],0
r4,1,0.582512,0.302192,[134  10] ; [137  13],[132.73469388  11.26530612] ; [138.26530612  11.73469388],0
n1,1,0.642789,0.215113,[16 12] ; [19 18],[15.07692308 12.92307692] ; [19.92307692 17.07692308],0
a7,1,0.713949,0.134364,[96 48] ; [103  47],[97.46938776 46.53061224] ; [101.53061224  48.46938776],0
a3,1,0.73393,0.115534,[118  25] ; [126  24],[119.08532423  23.91467577] ; [124.91467577  25.08532423],0
p10,1,0.756383,0.096245,[126  17] ; [133  16],[126.8390411  16.1609589] ; [132.1609589  16.8390411],0
a2,1,0.767882,0.087111,[ 40 104] ; [ 44 106],[ 41.14285714 102.85714286] ; [ 42.85714286 107.14285714],0
n3,1,0.792737,0.069042,[20  8] ; [26 12],[19.51515152  8.48484848] ; [26.48484848 11.51515152],0
u4,1,0.854053,0.033838,[  7 137] ; [  8 142],[  7.34693878 136.65306122] ; [  7.65306122 142.34693878],0
b1,1,0.865187,0.028824,[59 85] ; [60 90],[58.28571429 85.71428571] ; [60.71428571 89.28571429],0
p11,1,0.904751,0.014319,[116  28] ; [120  30],[115.59183673  28.40816327] ; [120.40816327  29.59183673],0
a8,1,0.931499,0.007389,[ 24 108] ; [ 24 111],[ 23.73033708 108.26966292] ; [ 24.26966292 110.73033708],0
r3,1,0.942443,0.005213,[138   6] ; [144   6],[138.12244898   5.87755102] ; [143.87755102   6.12244898],0
v4,1,0.972951,0.00115,[141   3] ; [145   3],[141.04109589   2.95890411] ; [144.95890411   3.04109589],0
v3,1,1.0,0.0,[70 71] ; [70 71],[70. 71.] ; [70. 71.],0
