Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,4e-06,21.199242,[115   6] ; [34 15],[106.05294118  14.94705882] ; [42.94705882  6.05294118],1
n3,1,0.470393,0.521053,[24 12] ; [15 11],[22.64516129 13.35483871] ; [16.35483871  9.64516129],0
n1,1,0.495516,0.464527,[16 21] ; [14 13],[17.34375 19.65625] ; [12.65625 14.34375],0
d3,1,0.495524,0.464509,[70 51] ; [25 23],[68.01775148 52.98224852] ; [26.98224852 21.01775148],0
u4,1,0.503268,0.448039,[  5 116] ; [ 1 48],[  4.27058824 116.72941176] ; [ 1.72941176 47.27058824],0
s2,1,0.65827,0.195632,[53 66] ; [20 29],[51.70833333 67.29166667] ; [21.29166667 27.70833333],0
b2,1,0.726925,0.121954,[28 49] ; [12 18],[28.78504673 48.21495327] ; [11.21495327 18.78504673],0
b3,1,0.726925,0.121954,[28 49] ; [12 18],[28.78504673 48.21495327] ; [11.21495327 18.78504673],0
u3,1,0.755848,0.096683,[25 19] ; [11  7],[25.5483871 18.4516129] ; [10.4516129  7.5483871],0
d2,1,0.845731,0.037857,[59 60] ; [23 25],[58.43113772 60.56886228] ; [23.56886228 24.43113772],0
b1,1,0.906333,0.013845,[58 63] ; [23 26],[57.65294118 63.34705882] ; [23.34705882 25.65294118],0
a3,1,0.911853,0.012255,[77 43] ; [31 18],[76.68639053 43.31360947] ; [31.31360947 17.68639053],0
p8,1,0.922624,0.009434,[28 93] ; [11 38],[27.75882353 93.24117647] ; [11.24117647 37.75882353],0
