Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a7,1,2.5e-05,17.727087,[63 13] ; [12 17],[54.28571429 21.71428571] ; [20.71428571  8.28571429],1
n4,1,0.76218,0.091579,[29 48] ; [10 19],[28.33018868 48.66981132] ; [10.66981132 18.33018868],0
v3,1,0.795945,0.066873,[20 54] ; [ 8 19],[20.51485149 53.48514851] ; [ 7.48514851 19.51485149],0
s6,1,0.906773,0.013715,[64 13] ; [23  5],[63.8 13.2] ; [23.2  4.8],0
a5,1,0.907327,0.013551,[54 23] ; [20  9],[53.75471698 23.24528302] ; [20.24528302  8.75471698],0
u1,1,0.910398,0.012664,[14 63] ; [ 5 24],[13.80188679 63.19811321] ; [ 5.19811321 23.80188679],0
b5,1,0.92267,0.009423,[47 30] ; [18 11],[47.21698113 29.78301887] ; [17.78301887 11.21698113],0
d4,1,0.948279,0.004208,[66 11] ; [25  4],[66.10377358 10.89622642] ; [24.89622642  4.10377358],0
n2,1,0.954452,0.003262,[14  5] ; [8 3],[13.93333333  5.06666667] ; [8.06666667 2.93333333],0
v2,1,0.967257,0.001685,[37 35] ; [14 13],[37.09090909 34.90909091] ; [13.90909091 13.09090909],0
s5,1,0.988827,0.000196,[31 42] ; [11 15],[30.96969697 42.03030303] ; [11.03030303 14.96969697],0
