Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.0,50.244361,[106  65] ; [ 26 100],[76. 95.] ; [56. 70.],1
r1,1,0.11998,2.417582,[142  33] ; [92 33],[136.5  38.5] ; [97.5 27.5],0
d2,1,0.148697,2.085568,[92 82] ; [76 48],[98.09395973 75.90604027] ; [69.90604027 54.09395973],0
a4,1,0.177281,1.820267,[87 88] ; [72 53],[92.75 82.25] ; [66.25 58.75],0
n1,1,0.230424,1.438244,[13 28] ; [22 28],[15.76923077 25.23076923] ; [19.23076923 30.76923077],0
v3,1,0.251349,1.31579,[ 54 117] ; [31 91],[ 49.60750853 121.39249147] ; [35.39249147 86.60750853],0
b1,1,0.286075,1.138003,[76 99] ; [47 79],[ 71.51162791 103.48837209] ; [51.48837209 74.51162791],0
d4,1,0.313312,1.016661,[143  31] ; [109  17],[146.16  27.84] ; [105.84  20.16],0
u3,1,0.333998,0.933333,[22 18] ; [13 17],[20. 20.] ; [15. 15.],0
n6,1,0.338347,0.916685,[141  32] ; [97 29],[137.70568562  35.29431438] ; [100.29431438  25.70568562],0
p12,1,0.34163,0.904304,[ 13 161] ; [  6 120],[ 11.02 162.98] ; [  7.98 118.02],0
p1,1,0.410168,0.678314,[ 11 164] ; [ 11 114],[ 12.83333333 162.16666667] ; [  9.16666667 115.83333333],0
u1,1,0.442454,0.589909,[ 30 145] ; [ 26 100],[ 32.55813953 142.44186047] ; [ 23.44186047 102.55813953],0
u2,1,0.457524,0.551946,[23 16] ; [15 15],[21.47826087 17.52173913] ; [16.52173913 13.47826087],0
a1,1,0.470345,0.521166,[  9 166] ; [  9 117],[ 10.46511628 164.53488372] ; [  7.53488372 118.46511628],0
n2,1,0.517443,0.418986,[30 13] ; [33 19],[28.51578947 14.48421053] ; [34.48421053 17.51578947],0
n5,1,0.56174,0.3367,[117  57] ; [88 37],[119.29765886  54.70234114] ; [85.70234114 39.29765886],0
s1,1,0.563874,0.333041,[  6 167] ; [  6 119],[  6.96644295 166.03355705] ; [  5.03355705 119.96644295],0
d5,1,0.622696,0.242097,[146  28] ; [103  23],[144.42  29.58] ; [104.58  21.42],0
b5,1,0.687308,0.162015,[93 82] ; [64 62],[91.27906977 83.72093023] ; [65.72093023 60.27906977],0
s4,1,0.763721,0.090359,[ 33 141] ; [ 22 103],[ 32.00668896 141.99331104] ; [ 22.99331104 102.00668896],0
d3,1,0.789311,0.071399,[124  50] ; [88 38],[122.96  51.04] ; [89.04 36.96],0
a2,1,0.795922,0.066889,[ 51 124] ; [35 91],[ 50. 125.] ; [36. 90.],0
n4,1,0.805964,0.060337,[134  41] ; [98 28],[134.88372093  40.11627907] ; [97.11627907 28.88372093],0
a7,1,0.829725,0.046248,[123  52] ; [90 36],[123.8372093  51.1627907] ; [89.1627907 36.8372093],0
a6,1,0.859702,0.031242,[130  44] ; [93 33],[129.34  44.66] ; [93.66 32.34],0
r2,1,0.922639,0.00943,[159  13] ; [115   9],[159.21621622  12.78378378] ; [114.78378378   9.21621622],0
b2,1,0.944616,0.004826,[36 65] ; [26 48],[35.78285714 65.21714286] ; [26.21714286 47.78285714],0
b3,1,0.944616,0.004826,[36 65] ; [26 48],[35.78285714 65.21714286] ; [26.21714286 47.78285714],0
a3,1,0.963193,0.00213,[134  41] ; [96 29],[134.16666667  40.83333333] ; [95.83333333 29.16666667],0
d1,1,0.977577,0.00079,[110  65] ; [79 47],[109.88372093  65.11627907] ; [79.11627907 46.88372093],0
