Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,1e-06,24.546016,[10 18] ; [86 18],[20.36363636  7.63636364] ; [75.63636364 28.36363636],1
n3,1,0.548624,0.359788,[12  4] ; [15  3],[12.70588235  3.29411765] ; [14.29411765  3.70588235],0
v4,1,0.618944,0.247355,[28  1] ; [103   2],[28.35074627  0.64925373] ; [102.64925373   2.35074627],0
p7,1,0.691817,0.157125,[23  6] ; [85 18],[23.72727273  5.27272727] ; [84.27272727 18.72727273],0
s5,1,0.702875,0.145499,[ 8 20] ; [33 69],[ 8.83076923 19.16923077] ; [32.16923077 69.83076923],0
a7,1,0.760321,0.093061,[20  8] ; [78 27],[20.63157895  7.36842105] ; [77.36842105 27.63157895],0
u3,1,0.857514,0.032234,[8 6] ; [18 12],[8.27272727 5.72727273] ; [17.72727273 12.27272727],0
d3,1,0.924969,0.008869,[18  9] ; [71 34],[18.20454545  8.79545455] ; [70.79545455 34.20454545],0
b5,1,0.939854,0.005693,[19 10] ; [68 37],[18.82835821 10.17164179] ; [68.17164179 36.82835821],0
b2,1,0.940858,0.005504,[7 9] ; [30 37],[7.13253012 8.86746988] ; [29.86746988 37.13253012],0
b3,1,0.940858,0.005504,[7 9] ; [30 37],[7.13253012 8.86746988] ; [29.86746988 37.13253012],0
p5,1,0.948754,0.004131,[ 4 25] ; [14 91],[ 3.89552239 25.10447761] ; [14.10447761 90.89552239],0
n1,1,0.983339,0.000436,[ 5 11] ; [ 6 13],[ 5.02857143 10.97142857] ; [ 5.97142857 13.02857143],0
