Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.008099,7.011376,[44  3] ; [36 13],[39.16666667  7.83333333] ; [40.83333333  8.16666667],0
p3,1,0.516803,0.420268,[15 32] ; [18 29],[16.5 30.5] ; [16.5 30.5],0
d1,1,0.527572,0.399066,[27 20] ; [25 24],[25.45833333 21.54166667] ; [26.54166667 22.45833333],0
b1,1,0.540203,0.375163,[22 25] ; [26 23],[23.5 23.5] ; [24.5 24.5],0
n4,1,0.561781,0.336631,[15 32] ; [13 36],[13.70833333 33.29166667] ; [14.29166667 34.70833333],0
n1,1,0.610745,0.259091,[ 4 12] ; [ 4 18],[ 3.36842105 12.63157895] ; [ 4.63157895 17.36842105],0
p10,1,0.691509,0.157457,[21 24] ; [20 27],[20.05434783 24.94565217] ; [20.94565217 26.05434783],0
v1,1,0.712059,0.13623,[14 31] ; [17 32],[14.84042553 30.15957447] ; [16.15957447 32.84042553],0
a3,1,0.71212,0.136168,[28 18] ; [28 21],[27.11578947 18.88421053] ; [28.88421053 20.11578947],0
a7,1,0.816185,0.054035,[32 14] ; [33 16],[31.47368421 14.52631579] ; [33.52631579 15.47368421],0
s3,1,0.82591,0.048378,[21 25] ; [23 25],[21.53191489 24.46808511] ; [22.46808511 25.53191489],0
a6,1,0.857106,0.032421,[26 21] ; [28 21],[26.4375 20.5625] ; [27.5625 21.4375],0
n3,1,0.893314,0.017986,[11  5] ; [14  7],[10.81081081  5.18918919] ; [14.18918919  6.81081081],0
v3,1,0.918679,0.010424,[13 32] ; [12 31],[12.78409091 32.21590909] ; [12.21590909 30.78409091],0
d5,1,0.933593,0.006943,[36 10] ; [38 11],[35.83157895 10.16842105] ; [38.16842105 10.83157895],0
p6,1,0.959483,0.002581,[ 9 37] ; [ 9 38],[ 8.90322581 37.09677419] ; [ 9.09677419 37.90322581],0
a4,1,0.961662,0.002311,[18 29] ; [19 30],[18.11458333 28.88541667] ; [18.88541667 30.11458333],0
b4,1,0.968912,0.001519,[28 19] ; [29 20],[27.90625 19.09375] ; [29.09375 19.90625],0
a1,1,0.976242,0.000887,[ 1 46] ; [ 1 48],[ 0.97916667 46.02083333] ; [ 1.02083333 47.97916667],0
