Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,94.918091,[ 8 48] ; [133  22],[37.42180095 18.57819905] ; [103.57819905  51.42180095],1
s4,1,0.401849,0.702786,[ 9 47] ; [ 33 122],[11.14691943 44.85308057] ; [ 30.85308057 124.14691943],0
v2,1,0.412708,0.670986,[26 29] ; [79 68],[28.58910891 26.41089109] ; [76.41089109 70.58910891],0
p3,1,0.415907,0.661852,[20 36] ; [65 90],[22.55924171 33.44075829] ; [62.44075829 92.55924171],0
r3,1,0.450268,0.569976,[55  1] ; [154   1],[55.46919431  0.53080569] ; [153.53080569   1.46919431],0
r2,1,0.451205,0.567622,[55  1] ; [148   6],[54.13333333  1.86666667] ; [148.86666667   5.13333333],0
p1,1,0.467739,0.527312,[ 3 52] ; [ 13 140],[ 4.23076923 50.76923077] ; [ 11.76923077 141.23076923],0
n1,1,0.476802,0.506168,[ 6 12] ; [10 31],[ 4.88135593 13.11864407] ; [11.11864407 29.88135593],0
b5,1,0.529178,0.395969,[32 24] ; [96 59],[33.97156398 22.02843602] ; [94.02843602 60.97156398],0
v1,1,0.531728,0.391087,[19 37] ; [58 92],[20.93203883 35.06796117] ; [56.06796117 93.93203883],0
d2,1,0.603052,0.270417,[25 31] ; [63 92],[23.35545024 32.64454976] ; [64.64454976 90.35545024],0
b4,1,0.631139,0.23052,[36 20] ; [94 61],[34.50236967 21.49763033] ; [95.49763033 59.50236967],0
a1,1,0.631289,0.230316,[ 2 54] ; [  8 147],[ 2.65402844 53.34597156] ; [  7.34597156 147.65402844],0
r1,1,0.725368,0.123407,[45 11] ; [127  27],[45.86666667 10.13333333] ; [126.13333333  27.86666667],0
p4,1,0.73782,0.112052,[24 32] ; [70 84],[25.06666667 30.93333333] ; [68.93333333 85.06666667],0
a2,1,0.744812,0.105942,[ 8 48] ; [ 25 130],[ 8.75829384 47.24170616] ; [ 24.24170616 130.75829384],0
a4,1,0.755446,0.097011,[20 36] ; [59 96],[20.96682464 35.03317536] ; [58.03317536 96.96682464],0
v4,1,0.778893,0.078827,[52  3] ; [148   7],[52.38095238  2.61904762] ; [147.61904762   7.38095238],0
v3,1,0.785308,0.074206,[16 36] ; [ 42 104],[15.23232323 36.76767677] ; [ 42.76767677 103.23232323],0
n4,1,0.789416,0.071326,[25 31] ; [66 89],[24.15165877 31.84834123] ; [66.84834123 88.15165877],0
n2,1,0.793905,0.068248,[13  4] ; [30 11],[12.60344828  4.39655172] ; [30.39655172 10.60344828],0
u1,1,0.860252,0.030995,[ 7 49] ; [ 18 137],[ 6.63507109 49.36492891] ; [ 18.36492891 136.63507109],0
n3,1,0.895622,0.017212,[13  4] ; [32  9],[13.18965517  3.81034483] ; [31.81034483  9.18965517],0
u3,1,0.908384,0.013243,[16  8] ; [32 17],[15.78082192  8.21917808] ; [32.21917808 16.78082192],0
