Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,1.1e-05,19.273709,[54 26] ; [135  14],[66.02620087 13.97379913] ; [122.97379913  26.02620087],1
v2,1,0.304745,1.053314,[43 38] ; [86 57],[46.64732143 34.35267857] ; [82.35267857 60.64732143],0
s1,1,0.338454,0.916277,[ 5 77] ; [  5 142],[ 3.58078603 78.41921397] ; [  6.41921397 140.58078603],0
a5,1,0.348673,0.87828,[62 21] ; [120  30],[64.83261803 18.16738197] ; [117.16738197  32.83261803],0
p11,1,0.348673,0.87828,[62 21] ; [120  30],[64.83261803 18.16738197] ; [117.16738197  32.83261803],0
p3,1,0.398441,0.713027,[33 49] ; [69 81],[36.05172414 45.94827586] ; [65.94827586 84.05172414],0
p8,1,0.41686,0.659151,[33 48] ; [69 80],[35.92173913 45.07826087] ; [66.07826087 82.92173913],0
r3,1,0.472355,0.516461,[77  5] ; [144   6],[78.11206897  3.88793103] ; [142.88793103   7.11206897],0
u2,1,0.474063,0.51249,[10 10] ; [14  9],[11.1627907  8.8372093] ; [12.8372093 10.1627907],0
b4,1,0.478518,0.502238,[51 32] ; [85 65],[48.44635193 34.55364807] ; [87.55364807 62.44635193],0
d4,1,0.4984,0.458341,[66 16] ; [126  24],[67.86206897 14.13793103] ; [124.13793103  25.86206897],0
u3,1,0.510925,0.432173,[12  9] ; [16  8],[13.06666667  7.93333333] ; [14.93333333  9.06666667],0
a2,1,0.511064,0.431888,[21 62] ; [ 44 106],[23.15450644 59.84549356] ; [ 41.84549356 108.15450644],0
n3,1,0.589485,0.29115,[11  7] ; [26 12],[11.89285714  6.10714286] ; [25.10714286 12.89285714],0
p2,1,0.63377,0.226982,[68 15] ; [119  31],[66.61373391 16.38626609] ; [120.38626609  29.61373391],0
p4,1,0.636542,0.223293,[43 40] ; [82 67],[44.71982759 38.28017241] ; [80.28017241 68.71982759],0
b5,1,0.678806,0.171473,[51 32] ; [88 62],[49.51502146 33.48497854] ; [89.48497854 60.51502146],0
a8,1,0.69152,0.157445,[15 60] ; [ 24 111],[13.92857143 61.07142857] ; [ 25.07142857 109.92857143],0
u1,1,0.699329,0.14917,[17 66] ; [ 34 116],[18.16738197 64.83261803] ; [ 32.83261803 117.16738197],0
a4,1,0.733292,0.116111,[39 44] ; [67 83],[37.75965665 45.24034335] ; [68.24034335 81.75965665],0
d2,1,0.7579,0.095012,[42 40] ; [80 70],[43.12068966 38.87931034] ; [78.87931034 71.12068966],0
r2,1,0.810363,0.057579,[76  5] ; [140   8],[76.40174672  4.59825328] ; [139.59825328   8.40174672],0
n2,1,0.812403,0.056324,[15  4] ; [31  7],[15.33333333  3.66666667] ; [30.66666667  7.33333333],0
d3,1,0.812574,0.05622,[57 25] ; [102  48],[56.19827586 25.80172414] ; [102.80172414  47.19827586],0
a7,1,0.84785,0.036811,[58 25] ; [103  47],[57.35193133 25.64806867] ; [103.64806867  46.35193133],0
p1,1,0.848223,0.036628,[ 5 78] ; [ 10 140],[ 5.34334764 77.65665236] ; [  9.65665236 140.34334764],0
d5,1,0.859568,0.031302,[68 14] ; [123  27],[67.50862069 14.49137931] ; [123.49137931  26.50862069],0
a1,1,0.883726,0.021388,[ 3 80] ; [  6 144],[ 3.20600858 79.79399142] ; [  5.79399142 144.20600858],0
n4,1,0.969417,0.00147,[66 17] ; [118  30],[66.11255411 16.88744589] ; [117.88744589  30.11255411],0
b1,1,0.971308,0.001294,[33 50] ; [60 90],[33.12875536 49.87124464] ; [59.87124464 90.12875536],0
