Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,2.5e-05,17.740463,[50 22] ; [ 8 24],[40.15384615 31.84615385] ; [17.84615385 14.15384615],1
b3,1,0.245165,1.350649,[12 32] ; [ 3 18],[10.15384615 33.84615385] ; [ 4.84615385 16.15384615],0
b2,1,0.245165,1.350649,[12 32] ; [ 3 18],[10.15384615 33.84615385] ; [ 4.84615385 16.15384615],0
v2,1,0.275756,1.187887,[33 37] ; [11 20],[30.4950495 39.5049505] ; [13.5049505 17.4950495],0
u1,1,0.328625,0.954307,[12 60] ; [ 3 29],[10.38461538 61.61538462] ; [ 4.61538462 27.38461538],0
b1,1,0.341751,0.903853,[41 31] ; [15 17],[38.76923077 33.23076923] ; [17.23076923 14.76923077],0
r3,1,0.364027,0.823952,[66  5] ; [28  4],[64.7961165  6.2038835] ; [29.2038835  2.7961165],0
n1,1,0.403917,0.696635,[ 7 10] ; [ 5 13],[ 5.82857143 11.17142857] ; [ 6.17142857 11.82857143],0
s8,1,0.416162,0.661128,[21 50] ; [ 7 25],[19.30097087 51.69902913] ; [ 8.69902913 23.30097087],0
a7,1,0.425214,0.635861,[50 21] ; [20 12],[48.25242718 22.74757282] ; [21.74757282 10.25242718],0
v4,1,0.457502,0.551999,[67  4] ; [28  3],[66.12745098  4.87254902] ; [28.87254902  2.12745098],0
d4,1,0.46005,0.545773,[51 20] ; [20 11],[49.42156863 21.57843137] ; [21.57843137  9.42156863],0
a6,1,0.473448,0.513917,[48 24] ; [19 13],[46.38461538 25.61538462] ; [20.61538462 11.38461538],0
a4,1,0.479104,0.500902,[25 46] ; [ 9 23],[23.4368932 47.5631068] ; [10.5631068 21.4368932],0
p8,1,0.529665,0.395034,[29 43] ; [15 17],[30.46153846 41.53846154] ; [13.53846154 18.46153846],0
s5,1,0.537623,0.379964,[15 55] ; [ 5 26],[13.86138614 56.13861386] ; [ 6.13861386 24.86138614],0
b4,1,0.563962,0.33289,[47 25] ; [19 13],[45.69230769 26.30769231] ; [20.30769231 11.69230769],0
n2,1,0.626688,0.236579,[14  4] ; [12  5],[13.37142857  4.62857143] ; [12.62857143  4.37142857],0
n3,1,0.640654,0.217887,[14  5] ; [12  6],[13.35135135  5.64864865] ; [12.64864865  5.35135135],0
p7,1,0.649608,0.206394,[41 30] ; [20 12],[42.04854369 28.95145631] ; [18.95145631 13.04854369],0
u2,1,0.673214,0.177866,[16 14] ; [7 8],[15.33333333 14.66666667] ; [7.66666667 7.33333333],0
d2,1,0.696885,0.151733,[34 37] ; [14 18],[33.08737864 37.91262136] ; [14.91262136 17.08737864],0
a8,1,0.711233,0.137048,[ 6 57] ; [ 2 26],[ 5.53846154 57.46153846] ; [ 2.46153846 25.53846154],0
a3,1,0.717379,0.131018,[41 31] ; [17 15],[40.15384615 31.84615385] ; [17.84615385 14.15384615],0
p6,1,0.774638,0.081975,[20 50] ; [ 8 23],[19.40594059 50.59405941] ; [ 8.59405941 22.40594059],0
p3,1,0.822718,0.050198,[25 46] ; [12 20],[25.50485437 45.49514563] ; [11.49514563 20.50485437],0
p4,1,0.870085,0.026749,[37 35] ; [17 15],[37.38461538 34.61538462] ; [16.61538462 15.38461538],0
s1,1,0.940777,0.005519,[ 2 68] ; [ 1 31],[ 2.05882353 67.94117647] ; [ 0.94117647 31.05882353],0
d1,1,0.973881,0.001072,[34 38] ; [15 17],[33.92307692 38.07692308] ; [15.07692308 16.92307692],0
