Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.002987,8.815288,[56 38] ; [ 5 16],[49.86086957 44.13913043] ; [11.13913043  9.86086957],0
s2,1,0.361762,0.831769,[37 57] ; [11 11],[38.89655172 55.10344828] ; [ 9.10344828 12.89655172],0
n1,1,0.453129,0.562812,[ 7 16] ; [4 5],[ 7.90625 15.09375] ; [3.09375 5.90625],0
a6,1,0.486248,0.484818,[51 44] ; [10 12],[49.52991453 45.47008547] ; [11.47008547 10.52991453],0
u1,1,0.514082,0.425749,[ 2 93] ; [ 1 21],[ 2.43589744 92.56410256] ; [ 0.56410256 21.43589744],0
p1,1,0.538745,0.377871,[ 8 87] ; [ 1 21],[ 7.30769231 87.69230769] ; [ 1.69230769 20.30769231],0
d2,1,0.548639,0.359761,[24 70] ; [ 7 15],[25.12068966 68.87931034] ; [ 5.87931034 16.12068966],0
v1,1,0.561425,0.337243,[57 36] ; [12 10],[55.8 37.2] ; [13.2  8.8],0
p9,1,0.60598,0.266071,[71 23] ; [14  6],[70.0877193 23.9122807] ; [14.9122807  5.0877193],0
p7,1,0.658966,0.194783,[60 32] ; [12  8],[59.14285714 32.85714286] ; [12.85714286  7.14285714],0
p8,1,0.666743,0.185436,[43 52] ; [ 8 12],[42.13043478 52.86956522] ; [ 8.86956522 11.13043478],0
b3,1,0.672045,0.17922,[15 42] ; [2 8],[14.46268657 42.53731343] ; [2.53731343 7.46268657],0
b2,1,0.672045,0.17922,[15 42] ; [2 8],[14.46268657 42.53731343] ; [2.53731343 7.46268657],0
p6,1,0.728193,0.120777,[33 59] ; [ 8 12],[33.67857143 58.32142857] ; [ 7.32142857 12.67857143],0
v4,1,0.738283,0.111642,[88  7] ; [19  2],[87.62931034  7.37068966] ; [19.37068966  1.62931034],0
u3,1,0.76223,0.091538,[21 21] ; [5 4],[21.41176471 20.58823529] ; [4.58823529 4.41176471],0
p10,1,0.776759,0.080398,[68 25] ; [14  6],[67.48672566 25.51327434] ; [14.51327434  5.48672566],0
a3,1,0.77841,0.079181,[53 42] ; [13  9],[53.58974359 41.41025641] ; [12.41025641  9.58974359],0
d4,1,0.784485,0.07479,[71 23] ; [16  6],[70.5 23.5] ; [16.5  5.5],0
b4,1,0.793421,0.068577,[59 36] ; [13  9],[58.46153846 36.53846154] ; [13.53846154  8.46153846],0
b5,1,0.844805,0.038318,[54 41] ; [12 10],[53.58974359 41.41025641] ; [12.41025641  9.58974359],0
n2,1,0.934715,0.00671,[15  7] ; [6 3],[14.90322581  7.09677419] ; [6.09677419 2.90322581],0
p2,1,0.94958,0.003999,[74 21] ; [17  5],[73.88888889 21.11111111] ; [17.11111111  4.88888889],0
s5,1,0.962995,0.002153,[21 69] ; [ 5 16],[21.08108108 68.91891892] ; [ 4.91891892 16.08108108],0
s3,1,0.963823,0.002057,[47 46] ; [11 11],[46.90434783 46.09565217] ; [11.09565217 10.90434783],0
s7,1,0.965957,0.001822,[34 57] ; [ 7 12],[33.91818182 57.08181818] ; [ 7.08181818 11.91818182],0
d3,1,0.966543,0.001759,[60 35] ; [14  8],[60.08547009 34.91452991] ; [13.91452991  8.08547009],0
n3,1,0.976289,0.000883,[18  5] ; [7 2],[17.96875  5.03125] ; [7.03125 1.96875],0
r1,1,0.982652,0.000473,[65 30] ; [15  7],[64.95726496 30.04273504] ; [15.04273504  6.95726496],0
