Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,143.668966,[596  24] ; [13 18],[580.  40.] ; [29.  2.],1
b2,1,0.370236,0.802873,[151 226] ; [ 6 14],[149.0906801 227.9093199] ; [ 7.9093199 12.0906801],0
n1,1,0.420601,0.648636,[50 66] ; [3 7],[48.79365079 67.20634921] ; [4.20634921 5.79365079],0
p8,1,0.430153,0.622411,[337 269] ; [15 16],[334.86970173 271.13029827] ; [17.13029827 13.86970173],0
a8,1,0.456927,0.553411,[ 90 469] ; [ 6 22],[ 91.42078365 467.57921635] ; [ 4.57921635 23.42078365],0
u2,1,0.469521,0.523104,[89 75] ; [9 5],[90.29213483 73.70786517] ; [7.70786517 6.29213483],0
b1,1,0.472351,0.516472,[240 380] ; [14 17],[241.9047619 378.0952381] ; [12.0952381 18.9047619],0
n2,1,0.498103,0.458975,[95 25] ; [7 3],[94.15384615 25.84615385] ; [7.84615385 2.15384615],0
b4,1,0.500584,0.453698,[358 262] ; [16 15],[356.19047619 263.80952381] ; [17.80952381 13.19047619],0
b5,1,0.542931,0.370134,[374 246] ; [17 14],[372.38095238 247.61904762] ; [18.61904762 12.38095238],0
s4,1,0.575828,0.313028,[ 95 514] ; [ 6 25],[ 96.1078125 512.8921875] ; [ 4.8921875 26.1078125],0
p12,1,0.62802,0.234755,[ 55 557] ; [ 2 29],[ 54.25194401 557.74805599] ; [ 2.74805599 28.25194401],0
p1,1,0.654721,0.2,[ 54 562] ; [ 2 29],[ 53.31684699 562.68315301] ; [ 2.68315301 28.31684699],0
p10,1,0.708342,0.139938,[525  87] ; [25  5],[524.29906542  87.70093458] ; [25.70093458  4.29906542],0
p9,1,0.712053,0.136235,[537  75] ; [27  3],[537.64485981  74.35514019] ; [26.35514019  3.64485981],0
p4,1,0.730352,0.118789,[395 219] ; [19 12],[394.10232558 219.89767442] ; [19.89767442 11.10232558],0
a1,1,0.733979,0.11549,[ 28 592] ; [ 1 30],[ 27.61904762 592.38095238] ; [ 1.38095238 29.61904762],0
n3,1,0.785406,0.074137,[88 31] ; [7 3],[87.63565891 31.36434109] ; [7.36434109 2.63565891],0
v2,1,0.892753,0.018177,[344 250] ; [17 13],[343.64423077 250.35576923] ; [17.35576923 12.64423077],0
