Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,9.7e-05,15.192249,[ 9 21] ; [30  9],[16.95652174 13.04347826] ; [22.04347826 16.95652174],1
p10,1,0.3388,0.914966,[12 18] ; [11 27],[10.14705882 19.85294118] ; [12.85294118 25.14705882],0
u2,1,0.344085,0.895153,[5 9] ; [ 3 12],[ 3.86206897 10.13793103] ; [ 4.13793103 10.86206897],0
a4,1,0.373158,0.793121,[ 8 22] ; [14 24],[ 9.70588235 20.29411765] ; [12.29411765 25.70588235],0
n6,1,0.375621,0.784985,[11 19] ; [18 20],[12.79411765 17.20588235] ; [16.20588235 21.79411765],0
r2,1,0.385142,0.754226,[16 14] ; [23 13],[17.72727273 12.27272727] ; [21.27272727 14.72727273],0
d3,1,0.418444,0.654681,[17 12] ; [19 20],[15.35294118 13.64705882] ; [20.64705882 18.35294118],0
v1,1,0.42872,0.626289,[10 19] ; [10 29],[ 8.52941176 20.47058824] ; [11.47058824 27.52941176],0
n2,1,0.491574,0.473078,[ 7 11] ; [10 10],[8.05263158 9.94736842] ; [ 8.94736842 11.05263158],0
d5,1,0.493659,0.468541,[16 14] ; [24 15],[17.39130435 12.60869565] ; [22.60869565 16.39130435],0
a6,1,0.512307,0.429351,[13 17] ; [20 19],[14.34782609 15.65217391] ; [18.65217391 20.34782609],0
d1,1,0.51333,0.427274,[10 20] ; [16 23],[11.30434783 18.69565217] ; [14.69565217 24.30434783],0
s6,1,0.548216,0.360522,[ 8 22] ; [ 8 31],[ 6.95652174 23.04347826] ; [ 9.04347826 29.95652174],0
n3,1,0.552033,0.353688,[ 8 10] ; [ 7 13],[ 7.10526316 10.89473684] ; [ 7.89473684 12.10526316],0
b1,1,0.567916,0.326182,[18 12] ; [26 13],[19.13043478 10.86956522] ; [24.86956522 14.13043478],0
p1,1,0.599856,0.275214,[ 2 28] ; [ 4 35],[ 2.60869565 27.39130435] ; [ 3.39130435 35.60869565],0
a3,1,0.659765,0.193809,[16 13] ; [23 15],[16.88059701 12.11940299] ; [22.11940299 15.88059701],0
a8,1,0.666062,0.186243,[ 1 29] ; [ 2 34],[ 1.36363636 28.63636364] ; [ 1.63636364 34.36363636],0
b4,1,0.703836,0.144512,[14 16] ; [20 19],[14.7826087 15.2173913] ; [19.2173913 19.7826087],0
p6,1,0.724963,0.123787,[ 3 26] ; [ 5 33],[ 3.46268657 25.53731343] ; [ 4.53731343 33.46268657],0
s8,1,0.73593,0.113736,[ 3 27] ; [ 3 36],[ 2.60869565 27.39130435] ; [ 3.39130435 35.60869565],0
s5,1,0.751518,0.10026,[ 4 26] ; [ 4 33],[ 3.58208955 26.41791045] ; [ 4.41791045 32.58208955],0
v3,1,0.758707,0.094359,[ 6 24] ; [ 9 30],[ 6.52173913 23.47826087] ; [ 8.47826087 30.52173913],0
s4,1,0.810371,0.057575,[ 4 26] ; [ 6 33],[ 4.34782609 25.65217391] ; [ 5.65217391 33.34782609],0
v2,1,0.839152,0.0412,[ 7 22] ; [10 28],[ 7.35820896 21.64179104] ; [ 9.64179104 28.35820896],0
s3,1,0.888714,0.019581,[ 9 21] ; [12 26],[ 9.26470588 20.73529412] ; [11.73529412 26.26470588],0
s2,1,0.98004,0.000626,[ 7 23] ; [ 9 30],[ 6.95652174 23.04347826] ; [ 9.04347826 29.95652174],0
r1,1,1.0,0.0,[10 20] ; [13 26],[10. 20.] ; [13. 26.],0
