Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,1e-06,24.835757,[157  32] ; [32 30],[142.31474104  46.68525896] ; [46.68525896 15.31474104],1
a8,1,0.254155,1.30032,[ 24 153] ; [ 5 57],[ 21.47698745 155.52301255] ; [ 7.52301255 54.47698745],0
s6,1,0.262971,1.253047,[122  62] ; [35 25],[118.39344262  65.60655738] ; [38.60655738 21.39344262],0
u1,1,0.296022,1.092031,[ 13 177] ; [ 2 60],[ 11.30952381 178.69047619] ; [ 3.69047619 58.30952381],0
v2,1,0.305714,1.0491,[96 90] ; [25 32],[92.61728395 93.38271605] ; [28.38271605 28.61728395],0
b5,1,0.344335,0.894226,[ 88 102] ; [33 29],[91.23015873 98.76984127] ; [29.76984127 32.23015873],0
s4,1,0.369824,0.804257,[ 33 156] ; [14 48],[ 35.39043825 153.60956175] ; [11.60956175 50.39043825],0
n3,1,0.404424,0.695133,[33 15] ; [18  5],[34.47887324 13.52112676] ; [16.52112676  6.47887324],0
r4,1,0.414783,0.665049,[167  23] ; [52 10],[165.11904762  24.88095238] ; [53.88095238  8.11904762],0
a6,1,0.486069,0.485217,[ 80 110] ; [23 39],[ 77.65873016 112.34126984] ; [25.34126984 36.65873016],0
s8,1,0.571425,0.320305,[92 98] ; [27 34],[90.07968127 99.92031873] ; [28.92031873 32.07968127],0
s2,1,0.602472,0.271283,[94 95] ; [28 33],[92.232 96.768] ; [29.768 31.232],0
r2,1,0.611074,0.258614,[170  17] ; [55  7],[168.97590361  18.02409639] ; [56.02409639  5.97590361],0
u4,1,0.615298,0.252532,[  4 186] ; [ 2 60],[  4.52380952 185.47619048] ; [ 1.47619048 60.52380952],0
d2,1,0.627217,0.235853,[94 96] ; [28 33],[92.35059761 97.64940239] ; [29.64940239 31.35059761],0
a1,1,0.669502,0.182186,[ 12 178] ; [ 3 59],[ 11.30952381 178.69047619] ; [ 3.69047619 58.30952381],0
u2,1,0.813089,0.055905,[26 27] ; [14 13],[26.5 26.5] ; [13.5 13.5],0
p12,1,0.840339,0.040586,[ 11 177] ; [ 4 57],[ 11.3253012 176.6746988] ; [ 3.6746988 57.3253012],0
p1,1,0.856953,0.032492,[ 14 176] ; [ 5 57],[ 14.32539683 175.67460317] ; [ 4.67460317 57.32539683],0
b2,1,0.879358,0.023038,[53 72] ; [16 23],[52.59146341 72.40853659] ; [16.40853659 22.59146341],0
b3,1,0.879358,0.023038,[53 72] ; [16 23],[52.59146341 72.40853659] ; [16.40853659 22.59146341],0
a4,1,0.921511,0.009708,[ 84 105] ; [28 34],[ 84.33466135 104.66533865] ; [27.66533865 34.33466135],0
b4,1,0.988835,0.000196,[104  86] ; [34 28],[104.04761905  85.95238095] ; [33.95238095 28.04761905],0
