Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.005665,7.653814,[17 65] ; [13 14],[22.56880734 59.43119266] ; [ 7.43119266 19.56880734],0
u1,1,0.367216,0.813063,[ 5 79] ; [ 3 24],[ 6.05405405 77.94594595] ; [ 1.94594595 25.05405405],0
n6,1,0.368393,0.809079,[57 26] ; [16 11],[55.08181818 27.91818182] ; [17.91818182  9.08181818],0
s4,1,0.381857,0.764716,[10 74] ; [ 5 22],[11.35135135 72.64864865] ; [ 3.64864865 23.35135135],0
a3,1,0.392595,0.730889,[45 39] ; [17 10],[46.91891892 37.08108108] ; [15.08108108 11.91891892],0
p1,1,0.394762,0.724222,[10 73] ; [ 5 22],[11.31818182 71.68181818] ; [ 3.68181818 23.31818182],0
d4,1,0.413823,0.667791,[48 36] ; [13 14],[46.16216216 37.83783784] ; [14.83783784 12.16216216],0
s2,1,0.418181,0.655423,[13 71] ; [ 6 21],[14.37837838 69.62162162] ; [ 4.62162162 22.37837838],0
n5,1,0.425426,0.635278,[52 32] ; [19  8],[53.72972973 30.27027027] ; [17.27027027  9.72972973],0
v4,1,0.428117,0.627926,[58 25] ; [21  6],[59.60909091 23.39090909] ; [19.39090909  7.60909091],0
r4,1,0.454293,0.559917,[38 46] ; [10 17],[36.32432432 47.67567568] ; [11.67567568 15.32432432],0
p11,1,0.532704,0.389231,[44 40] ; [16 11],[45.40540541 38.59459459] ; [14.59459459 12.40540541],0
p7,1,0.540366,0.374862,[31 51] ; [12 15],[32.34862385 49.65137615] ; [10.65137615 16.34862385],0
d1,1,0.562151,0.335994,[30 54] ; [ 8 19],[28.75675676 55.24324324] ; [ 9.24324324 17.75675676],0
a4,1,0.582705,0.301882,[26 57] ; [10 17],[27.16363636 55.83636364] ; [ 8.83636364 18.16363636],0
u2,1,0.620473,0.245203,[15 24] ; [3 7],[14.32653061 24.67346939] ; [3.67346939 6.32653061],0
n4,1,0.669935,0.181678,[49 35] ; [17 10],[49.94594595 34.05405405] ; [16.05405405 10.94594595],0
a6,1,0.709491,0.138786,[47 37] ; [14 13],[46.16216216 37.83783784] ; [14.83783784 12.16216216],0
n3,1,0.732676,0.116669,[22 12] ; [5 2],[22.3902439 11.6097561] ; [4.6097561 2.3902439],0
a7,1,0.734704,0.114836,[43 40] ; [15 12],[43.76363636 39.23636364] ; [14.23636364 12.76363636],0
d3,1,0.773557,0.082786,[36 46] ; [11 16],[35.35779817 46.64220183] ; [11.64220183 15.35779817],0
a1,1,0.786718,0.073211,[ 5 79] ; [ 2 25],[ 5.2972973 78.7027027] ; [ 1.7027027 25.2972973],0
a2,1,0.81023,0.057662,[ 8 76] ; [ 3 24],[ 8.32432432 75.67567568] ; [ 2.67567568 24.32432432],0
s8,1,0.82014,0.051695,[11 73] ; [ 4 23],[11.35135135 72.64864865] ; [ 3.64864865 23.35135135],0
p6,1,0.87611,0.024306,[18 62] ; [ 6 19],[18.28571429 61.71428571] ; [ 5.71428571 19.28571429],0
p8,1,0.883886,0.021329,[24 58] ; [ 8 18],[24.2962963 57.7037037] ; [ 7.7037037 18.2962963],0
r2,1,0.900243,0.015714,[59 22] ; [20  7],[59.25 21.75] ; [19.75  7.25],0
b5,1,0.932292,0.007219,[49 35] ; [16 11],[49.18918919 34.81081081] ; [15.81081081 11.18918919],0
p2,1,0.973104,0.001137,[47 35] ; [15 11],[47.07407407 34.92592593] ; [14.92592593 11.07407407],0
d5,1,0.976739,0.00085,[52 31] ; [17 10],[52.06363636 30.93636364] ; [16.93636364 10.06363636],0
r3,1,0.98591,0.000312,[58 26] ; [18  8],[58.03636364 25.96363636] ; [17.96363636  8.03636364],0
