Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,1e-05,19.485505,[24 16] ; [ 2 26],[15.29411765 24.70588235] ; [10.70588235 17.29411765],1
r3,1,0.339925,0.910714,[30 10] ; [18 10],[28.23529412 11.76470588] ; [19.76470588  8.23529412],0
s8,1,0.346715,0.885445,[ 4 36] ; [ 5 23],[ 5.29411765 34.70588235] ; [ 3.70588235 24.29411765],0
s5,1,0.368201,0.809726,[ 4 35] ; [ 5 23],[ 5.23880597 33.76119403] ; [ 3.76119403 24.23880597],0
n3,1,0.376017,0.783683,[7 8] ; [10  6],[8.22580645 6.77419355] ; [8.77419355 7.22580645],0
p1,1,0.390797,0.736462,[ 2 37] ; [ 3 25],[ 2.91044776 36.08955224] ; [ 2.08955224 25.91044776],0
u3,1,0.403755,0.697115,[6 3] ; [10 10],[4.96551724 4.03448276] ; [11.03448276  8.96551724],0
p8,1,0.408969,0.681795,[ 9 30] ; [ 9 19],[10.47761194 28.52238806] ; [ 7.52238806 20.47761194],0
b1,1,0.443843,0.586327,[22 18] ; [18 10],[23.52941176 16.47058824] ; [16.47058824 11.52941176],0
s3,1,0.455922,0.555887,[20 20] ; [11 16],[18.50746269 21.49253731] ; [12.49253731 14.50746269],0
p10,1,0.493739,0.468367,[ 6 34] ; [ 6 22],[ 7.05882353 32.94117647] ; [ 4.94117647 23.05882353],0
v1,1,0.504121,0.44625,[13 27] ; [ 7 21],[11.76470588 28.23529412] ; [ 8.23529412 19.76470588],0
n5,1,0.564432,0.332089,[13 27] ; [11 17],[14.11764706 25.88235294] ; [ 9.88235294 18.11764706],0
v4,1,0.59536,0.282051,[27 12] ; [17 10],[26. 13.] ; [18.  9.],0
n2,1,0.597504,0.278776,[8 9] ; [9 7],[8.75757576 8.24242424] ; [8.24242424 7.75757576],0
s1,1,0.659782,0.193789,[ 4 35] ; [ 2 26],[ 3.49253731 35.50746269] ; [ 2.50746269 25.49253731],0
b2,1,0.682286,0.167564,[ 8 17] ; [ 5 14],[ 7.38636364 17.61363636] ; [ 5.61363636 13.38636364],0
b3,1,0.682286,0.167564,[ 8 17] ; [ 5 14],[ 7.38636364 17.61363636] ; [ 5.61363636 13.38636364],0
s7,1,0.693012,0.155844,[ 7 28] ; [ 4 21],[ 6.41666667 28.58333333] ; [ 4.58333333 20.41666667],0
a8,1,0.722968,0.125667,[ 2 36] ; [ 2 25],[ 2.33846154 35.66153846] ; [ 1.66153846 25.33846154],0
s6,1,0.730022,0.119091,[13 27] ; [ 8 20],[12.35294118 27.64705882] ; [ 8.64705882 19.35294118],0
s2,1,0.742506,0.107937,[10 30] ; [ 8 20],[10.58823529 29.41176471] ; [ 7.41176471 20.58823529],0
u1,1,0.777695,0.079707,[ 2 38] ; [ 1 27],[ 1.76470588 38.23529412] ; [ 1.23529412 26.76470588],0
n1,1,0.901312,0.015377,[ 5 10] ; [ 5 11],[ 4.83870968 10.16129032] ; [ 5.16129032 10.83870968],0
p11,1,0.95163,0.00368,[14 26] ; [10 18],[14.11764706 25.88235294] ; [ 9.88235294 18.11764706],0
