Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,9e-06,19.799614,[35 39] ; [252  90],[51.05288462 22.94711538] ; [235.94711538 106.05288462],1
a6,1,0.63625,0.22368,[52 22] ; [232 112],[50.27751196 23.72248804] ; [233.72248804 110.27751196],0
d4,1,0.656628,0.197645,[58 15] ; [281  63],[59.34532374 13.65467626] ; [279.65467626  64.34532374],0
d3,1,0.683705,0.165985,[50 24] ; [240 103],[51.46282974 22.53717026] ; [238.53717026 104.46282974],0
u4,1,0.687491,0.161815,[ 1 74] ; [  7 337],[ 1.43198091 73.56801909] ; [  6.56801909 337.43198091],0
v4,1,0.694417,0.154345,[70  3] ; [333  11],[70.54916067  2.45083933] ; [332.45083933  11.54916067],0
b5,1,0.784826,0.074548,[49 26] ; [219 125],[47.97136038 27.02863962] ; [220.02863962 123.97136038],0
n2,1,0.906353,0.013839,[22  7] ; [70 21],[22.23333333  6.76666667] ; [69.76666667 21.23333333],0
d5,1,0.9197,0.010163,[58 16] ; [267  76],[57.67386091 16.32613909] ; [267.32613909  75.67386091],0
a8,1,0.927969,0.008172,[11 58] ; [ 49 267],[10.75324675 58.24675325] ; [ 49.24675325 266.75324675],0
s3,1,0.964745,0.001954,[39 34] ; [181 156],[39.17073171 33.82926829] ; [180.82926829 156.17073171],0
