Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,3e-06,21.869775,[ 8 43] ; [19  9],[17.43037975 33.56962025] ; [ 9.56962025 18.43037975],1
r1,1,0.813525,0.05564,[14 37] ; [ 7 21],[13.55696203 37.44303797] ; [ 7.44303797 20.55696203],0
u2,1,0.816571,0.053804,[ 7 17] ; [3 6],[ 7.27272727 16.72727273] ; [2.72727273 6.27272727],0
v4,1,0.838806,0.04138,[37 14] ; [19  8],[36.61538462 14.38461538] ; [19.38461538  7.61538462],0
v2,1,0.846012,0.037717,[20 30] ; [11 15],[20.39473684 29.60526316] ; [10.60526316 15.39473684],0
a5,1,0.847902,0.036786,[28 23] ; [16 12],[28.40506329 22.59493671] ; [15.59493671 12.40506329],0
d1,1,0.884801,0.020992,[21 30] ; [12 16],[21.30379747 29.69620253] ; [11.69620253 16.30379747],0
u1,1,0.897913,0.01646,[ 5 46] ; [ 3 25],[ 5.16455696 45.83544304] ; [ 2.83544304 25.16455696],0
p12,1,0.924779,0.008914,[ 2 48] ; [ 1 27],[ 1.92307692 48.07692308] ; [ 1.07692308 26.92307692],0
d3,1,0.957175,0.002884,[27 24] ; [15 13],[27.11392405 23.88607595] ; [14.88607595 13.11392405],0
v3,1,0.966556,0.001758,[13 38] ; [ 7 20],[13.07692308 37.92307692] ; [ 6.92307692 20.07692308],0
a7,1,0.970946,0.001327,[23 27] ; [13 15],[23.07692308 26.92307692] ; [12.92307692 15.07692308],0
b5,1,0.980811,0.000579,[29 22] ; [16 12],[29.05063291 21.94936709] ; [15.94936709 12.05063291],0
u3,1,1.0,0.0,[ 8 16] ; [3 6],[ 8. 16.] ; [3. 6.],0
