Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,1.6e-05,18.594572,[35  8] ; [19 32],[24.70212766 18.29787234] ; [29.29787234 21.70212766],1
s5,1,0.718171,0.130252,[ 6 36] ; [ 6 45],[ 5.41935484 36.58064516] ; [ 6.58064516 44.41935484],0
v3,1,0.721531,0.127031,[ 7 34] ; [10 40],[ 7.65934066 33.34065934] ; [ 9.34065934 40.65934066],0
u3,1,0.726176,0.122652,[4 9] ; [ 9 26],[3.52083333 9.47916667] ; [ 9.47916667 25.52083333],0
p8,1,0.739659,0.110427,[10 31] ; [14 37],[10.69565217 30.30434783] ; [13.30434783 37.69565217],0
p11,1,0.743039,0.107473,[20 23] ; [22 29],[19.21276596 23.78723404] ; [22.78723404 28.21276596],0
b5,1,0.780609,0.077577,[24 19] ; [27 24],[23.32978723 19.67021277] ; [27.67021277 23.32978723],0
r2,1,0.858926,0.031592,[22 16] ; [28 22],[21.59090909 16.40909091] ; [28.40909091 21.59090909],0
p12,1,0.889444,0.019323,[ 1 41] ; [ 1 50],[ 0.90322581 41.09677419] ; [ 1.09677419 49.90322581],0
s1,1,0.898634,0.016227,[ 3 39] ; [ 4 47],[ 3.16129032 38.83870968] ; [ 3.83870968 47.16129032],0
b3,1,0.962883,0.002166,[ 7 16] ; [ 9 20],[ 7.07692308 15.92307692] ; [ 8.92307692 20.07692308],0
b2,1,0.962883,0.002166,[ 7 16] ; [ 9 20],[ 7.07692308 15.92307692] ; [ 8.92307692 20.07692308],0
p7,1,0.975945,0.000909,[14 26] ; [17 32],[13.93258427 26.06741573] ; [17.06741573 31.93258427],0
